
"0","",""
"442443","TD4024E.TXT.r_32;TD4024E.TXT.r_33"," lhun gyis grub ces bya bar brjod // / +so so rang gis rtogs bya'i phyir // / ","0.0#TD4025E.TXT.r#2166727#2166737#TD4025E.TXT.r_148;TD4025E.TXT.r_149;TD4025E.TXT.r_150;TD4025E.TXT.r_151# zhi ba chos kyi sku can phyir // / +lhun GYIS GRUB CES BYA BAR BRJOD // / "
"442453","TD4024E.TXT.r_34;TD4024E.TXT.r_35"," gzhan gyi rkyen gyis rtogs min pa // / +de ltar rnam gsum rtogs phyir mkhyen // / ","0.0#TD4025E.TXT.r#2166738#2166749#TD4025E.TXT.r_150;TD4025E.TXT.r_151;TD4025E.TXT.r_152;TD4025E.TXT.r_153# so so rang gis rtogs bya'i phyir // / +gzhan GYI RKYEN GYIS RTOGS MIN PA // / "
"442465","TD4024E.TXT.r_36;TD4024E.TXT.r_37"," lam ston phyir na thugs brtse ba // / +nus pa ye shes  thugs rje yis // / ","0.0#TD4025E.TXT.r#2166750#2166757#TD4025E.TXT.r_152;TD4025E.TXT.r_153;TD4025E.TXT.r_154# de ltar rnam gsum rtogs phyir mkhyen // / +lam STON PHYIR NA THUGS BRTSE BA // / "
"442474","TD4024E.TXT.r_38;TD4024E.TXT.r_39"," sdug bsngal nyon mongs spong phyir ro // / +dang po gsum gyis rang don te // / ","0.0#TD4025E.TXT.r#2166764#2166771#TD4025E.TXT.r_156;TD4025E.TXT.r_157;TD4025E.TXT.r_158# BSNGAL NYON MONGS SPONG PHYIR RO // / +dang PO GSUM GYIS RANG DON TE // / "
"442484","TD4024E.TXT.r_40;TD4024E.TXT.r_41"," phyi ma gsum gyis gzhan don yin // / +gang zhig med min yod min yod med ma yin yod med las gzhan du'ang // / ","0.0#TD4025E.TXT.r#2167363#2167370#TD4025E.TXT.r_243;TD4025E.TXT.r_244# gang zhig med  MIN YOD MIN YOD MED MA YIN YOD MED LAS GZHAN DU'ANG // / "
"442501","TD4024E.TXT.r_42"," brtag par mi nus nges tshig dang bral so so  rang gis rig zhi ba // / ","0.0#TD4025E.TXT.r#2167371#2167379#TD4025E.TXT.r_243;TD4025E.TXT.r_244;TD4025E.TXT.r_245# gang zhig med  min yod min yod med ma yin yod med las gzhan du'ang // / +brtag PAR MI NUS NGES TSHIG DANG BRAL SO SO RANG GIS RIG ZHI BA // / "
"442510","TD4024E.TXT.r_43"," dri med ye shes 'od zer snang ldan dmigs pa kun la chags pa dang / / ","0.0#TD4025E.TXT.r#2167380#2167395#TD4025E.TXT.r_244;TD4025E.TXT.r_245;TD4025E.TXT.r_246# brtag par mi nus nges tshig dang bral so so rang gis rig zhi ba // / +dri MED YE SHES 'OD ZER SNANG LDAN DMIGS PA KUN LA CHAGS PA DANG / / "
"442519","TD4024E.TXT.r_44"," sdang dang rab rib rnam par 'joms mdzad dam chos nyi ma de la 'dud // / "
"442529","TD4024E.TXT.r_45;TD4024E.TXT.r_46"," bsam med gnyis med rtog med pa // / +dag gsal gnyen po'i phyogs nyid kyis // / ","0.0#TD4025E.TXT.r#2167406#2167410#TD4025E.TXT.r_248;TD4025E.TXT.r_249;TD4025E.TXT.r_250# BSAM MED GNYIS MED RTOG MED PA // / "
"442538","TD4024E.TXT.r_47;TD4024E.TXT.r_48"," gang zhig  gang gis chags bral ba // / +bden gnyis mtshan nyid can de chos // / ","0.0#TD4025E.TXT.r#2167411#2167418#TD4025E.TXT.r_248;TD4025E.TXT.r_249;TD4025E.TXT.r_250;TD4025E.TXT.r_251# bsam med gnyis med rtog med pa // / +dag gsal gnyen pa'i phyogs nyid kyi // / +gang ZHIG GANG GIS CHAGS BRAL BA // / "
