
"0","",""
"426503","TD4065E.TXT.r_1;TD4065E.TXT.r_2"," rgya gar skad du / / +pra ka ra na bing sha ka t'i k'a / / ","0.027#TD4000E.TXT.r#2794431#2794431#TD4000E.TXT.r_2# a'arya aa bi kalpa pra be sha dh'a ra n'i t'i k'a / / "
"426511","TD4065E.TXT.r_3;TD4065E.TXT.r_4"," bod skad du / / +rab tu byed pa nyi shu pa'i 'grel bshad / / "
"426519","TD4065E.TXT.r_5;TD4065E.TXT.r_6"," 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / +gang thugs thugs rje rag las phyir // / ","0.0#TD4032E.TXT.r#1919782#1919783#TD4032E.TXT.r_4;TD4032E.TXT.r_5# dbus dang mtha' rnam par 'byed pa'i 'grel bshad / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.009#TD4090.1E.TXT.r#1594853#1594853#TD4090.1E.TXT.r_4;TD4090.1E.TXT.r_5# chos mngon pa'i mdzod kyi bshad pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.018#TD4001E.TXT.r#1972593#1972594#TD4001E.TXT.r_4;TD4001E.TXT.r_5# 'phags pa s'a lu ljang pa rgya cher 'grel pa / / +'jam dpal gzhon nur  GYUR PA LA PHYAG 'TSHAL LO // / ","0.022#TD4068E.TXT.r#570991#570991#TD4068E.TXT.r_4;TD4068E.TXT.r_5# bung po lnga'i bshad pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.022#TD4057E.TXT.r#1397680#1397682#TD4057E.TXT.r_4;TD4057E.TXT.r_5# nyi shu pa'i 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4060E.TXT.r#680407#680407#TD4060E.TXT.r_5# 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4000E.TXT.r#2794443#2794444#TD4000E.TXT.r_4;TD4000E.TXT.r_5# 'phags pa rnam par mi rtog par 'jug pa'i gzungs kyi rgya cher 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4009E.TXT.r#320137#320138#TD4009E.TXT.r_4;TD4009E.TXT.r_5# 'phags pa dkon mchog brtsegs pa chen po chos kyi rnam grangs le'u stong phrag brgya pa las 'od srungs kyi le'u rgya cher 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4046E.TXT.r#2195953#2195953#TD4046E.TXT.r_2;TD4046E.TXT.r_3# byang chub sems dpa'i tshul khrims kyi le'u rgya cher 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4050E.TXT.r#1097197#1097197#TD4050E.TXT.r_7# 'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4089E.TXT.r#561209#561210#TD4089E.TXT.r_4;TD4089E.TXT.r_5# chos mngon pa'i mdzod kyi tshig le'ur byas pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4093.1E.TXT.r#766673#766673#TD4093.1E.TXT.r_5# 'phags dd  pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.024#TD4083E.TXT.r#684104#684104#TD4083E.TXT.r_4;TD4083E.TXT.r_5# byang chub sems dpa'i sdom pa nyi shu pa'i dka' 'grel / / +byang chub sems dpa' 'jam DPAL GZHON NUR GYUR PA LA  phyag 'tshal lo // / ","0.026#TD4013E.TXT.r#610337#610337#TD4013E.TXT.r_4;TD4013E.TXT.r_5# 'phags pa bzang po spyod pa'i smon lam gyi rgyal po'i rgya cher 'grel pa / / +'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.026#TD4022E.TXT.r#397964#397964#TD4022E.TXT.r_6# 'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4055E.TXT.r#2793956#2793956#TD4055E.TXT.r_5# 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / "
"426532","TD4065E.TXT.r_7;TD4065E.TXT.r_8;TD4065E.TXT.r_10"," gzhan gyi don la rtag dgyes pa // / +mi shes bcom la phyag 'tshal     // / +nyi shu pa ni rnam par dbye // / "
"426543","TD4065E.TXT.r_11"," theg pa chen po la khams gsum pa rnam par rig pa tsam du rnam par gzhag ces bya ba tshig dang po 'dis ni rab tu byed pa 'di'i dgos pa dang  brjod par bya ba'i rang gi ngo bo dang  dgos pa'i yang dgos pa dngos su ston to // / "
"426564","TD4065E.TXT.r_12;TD4065E.TXT.r_13"," 'brel  pa ni don gyis brtag par bya'o // / +rab tu byed pa'i 'brel pa dang  brjod par bya ba dang  dgos pa rnams nges par brjod par bya'o // / "
"426576","TD4065E.TXT.r_14"," gzhan du na 'brel pa med pa dang  brjod par bya ba med pa dang  dgos pa med pa dang  dgos pa'i yang dgos pa med pa'i rab tu byed pa ni rtog pa sngon  du gtong ba'i nyan pa po dag khas mi len te // / "
"426591","TD4065E.TXT.r_15;TD4065E.TXT.r_16"," de la theg pa chen po zhes bya ba 'dis ni dgos pa'i yang dgos pa bstan to // / +khams gsum pa rnam par rig pa tsam du rnam par gzhag ces bya ba 'dis ni brjod par bya ba dang  dgos pa bstan to // / "
"426608","TD4065E.TXT.r_17"," 'dir khams gsum pa rnam par  rig pa tsam nyid lung dang rigs pa gnyis kyis bstan to // / "
"426617","TD4065E.TXT.r_18;TD4065E.TXT.r_19"," 'di ni brjod par bya'o // / +khams gsum pa rnam par rig pa tsam nyid du bstan pa ni dgos pa'o // / "
