
"0","",""
"2185387","TD4002E.TXT.r_1;TD4002E.TXT.r_2"," rgya gar skad du / / +g'a th'a dva  ya by'a khy'a na / / ","0.0#TD4035E.TXT.r#185387#185391#TD4035E.TXT.r_10362# sems zhum pa med pa dang  sems dman pa med pa dang  sems 'jigs pa med pa dang  lus mi rdul ba dang  bzhin mi 'gyur ba dang  skad mi 'dar ba dang  gcom mi chung bar tshig smra ba ste / / "
"2185395","TD4002E.TXT.r_3;TD4002E.TXT.r_4;TD4002E.TXT.r_5"," bod skad du / / +tshigs su bcad pa gnyis pa'i bshad pa / / +sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo // / ","0.0#TD4035E.TXT.r#185390#185400#TD4035E.TXT.r_10362;TD4035E.TXT.r_10363;TD4035E.TXT.r_10364;TD4035E.TXT.r_10365;TD4035E.TXT.r_10366# sems zhum pa med pa dang  sems dman pa med pa dang  sems 'jigs pa med pa dang  lus mi rdul ba dang  bzhin mi 'gyur ba dang  skad mi 'dar ba dang  gcom mi chung bar tshig smra ba ste / / "
"2185405","TD4002E.TXT.r_6;TD4002E.TXT.r_7;TD4002E.TXT.r_8"," sems ni mnyam par ma bzhag pa // / +da lta nyi tshe mthong ba rnams // / +theg pa chen po zab mo la // / ","0.0#TD4035E.TXT.r#185401#185409#TD4035E.TXT.r_10363;TD4035E.TXT.r_10365;TD4035E.TXT.r_10366;TD4035E.TXT.r_10364# 'di ni mi 'jigs pa zhes bya ba'o // / +pa gang zhe na / / +'di ltar 'di na kha cig dus la bab pa na tshig dal bus smra bar byed kyi rings par mi smra ba lta bu ste / / "
"2185414","TD4002E.TXT.r_9;TD4002E.TXT.r_10"," chen por 'phar bar ji ltar  'gyur // / +'on kyang rten la gnas bcas dang / / ","0.0#TD4035E.TXT.r#185411#185417#TD4035E.TXT.r_10366;TD4035E.TXT.r_10367;TD4035E.TXT.r_10368# 'di ltar 'di na kha cig dus la bab pa na tshig dal bus smra bar byed kyi rings par mi smra ba lta bu ste / / +'di ni brtan pa zhes bya'o // / "
"2185422","TD4002E.TXT.r_11;TD4002E.TXT.r_12;TD4002E.TXT.r_13"," snga nas dge la goms byas pa'i // / +bsod nams kyis ni 'jig rten rnams // / +rnam pa kun mkhyen thob par 'gyur // / ","0.0#TD4035E.TXT.r#185418#185429#TD4035E.TXT.r_10367;TD4035E.TXT.r_10368;TD4035E.TXT.r_10369;TD4035E.TXT.r_10370# 'di ni brtan pa zhes bya'o // / +ngo mi bzlog ba gang zhe na / / +'di ltar 'di na kha cig des shing gzhan dag la rnam par tho mi  'tshams pa'i rang bzhin can yin pas / / "
"2185434","TD4002E.TXT.r_14;TD4002E.TXT.r_15;TD4002E.TXT.r_16"," sangs rgyas dang ni chos la brnyas pa dang / / +le lo dang ni cung zad chog par 'dzin // / +'dod chags  dang ni nga rgyal dpyod pa dang / / ","0.0#TD4035E.TXT.r#185430#185439#TD4035E.TXT.r_10369;TD4035E.TXT.r_10370;TD4035E.TXT.r_10371# 'di ltar 'di na kha cig des shing gzhan dag la rnam par tho mi  'tshams pa'i rang bzhin can yin pas / / +de des pa rnams kyi des pa'i tshul gang yin pa de las 'gal bar mi byed pas / / "
"2185444","TD4002E.TXT.r_17;TD4002E.TXT.r_18;TD4002E.TXT.r_19"," 'gyod pa dang ni ma nges 'byed pa rnams // / +sems can rnams kyi sgrib par 'gyur ba ste // / +de yi gnyen po theg pa mchog bstan pa // / ","0.0#TD4035E.TXT.r#185440#185449#TD4035E.TXT.r_10371;TD4035E.TXT.r_10372# pha rol gyi sems srung zhing tshig smra ba ste / / "
"2185454","TD4002E.TXT.r_20;TD4002E.TXT.r_21"," de yis bar du gcod ba de dag gi // / +nyes pa thams cad rab tu spang bar 'gyur // / ","0.0#TD4035E.TXT.r#185450#185457#TD4035E.TXT.r_10372;TD4035E.TXT.r_10373;TD4035E.TXT.r_10374# de yang dus la bab pa dang  bden pa dang  don dang ldan pa dang  'jam pa dang  mdza' ba'i tshul  gyis byed pa lta bu ste / / "
"2185462","TD4002E.TXT.r_22;TD4002E.TXT.r_23"," tshigs su bcad     // / +pa 'di gnyis theg pa chen po'i mdo sde phan tshun 'gal ba rnams kyang dgongs pa rnam pa bzhis sems can rnams kyi sgrib pa rnam pa brgyad spang ba'i phyir gnyen po la ldem por dgongs pa bstan pas mi 'gal bar khong du chud par bya'o // / ","0.0#TD4035E.TXT.r#185458#185480#TD4035E.TXT.r_10373;TD4035E.TXT.r_10374;TD4035E.TXT.r_10375;TD4035E.TXT.r_10376# 'di ni ngo mi bzlog pa zhes bya'o // / +smra ba'i rgyan rnam pa lnga po'i skabs de lta bu 'di la yang phan yon rnam pa nyi shu rtsa bdun yod par rig par bya ste / / ","0.016#TD4037E.TXT.r#1328889#1328891#TD4037E.TXT.r_1795;TD4037E.TXT.r_1796# de la yongs su smin par bya ba'i thabs gang zhe na / / +rnam pa nyi shu rtsa bdun du rig par bya ste / / ","0.016#TD4042E.TXT.r#1677457#1677457#TD4042E.TXT.r_123# de yang dbang po la sogs pa'i dbye bas gang zag rnam pa nyi shu rtsa bdun du rig par bya ste / / ","0.016#TD4016.3E.TXT.r#218140#218142#TD4016.3E.TXT.r_512# de la yongs su smin par bya ba'i thabs ni rnam pa nyi shu rtsa bdun du rig par bya ste / / "
"2185485","TD4002E.TXT.r_24;TD4002E.TXT.r_25"," de la bcom ldan 'das  kyis mdo las / / +'phags pa rnam par gzigs kyi sangs rgyas kyi sku tshe la sogs pa phun sum tshogs pa bsngags pa ni kha cig 'dod pa bskyed pa'i phyir yin la / / ","0.0#TD4035E.TXT.r#185481#185495#TD4035E.TXT.r_10375;TD4035E.TXT.r_10376;TD4035E.TXT.r_10377;TD4035E.TXT.r_10378# nyi shu rtsa bdun po gang zhe na / / +'khor gyi nang du shin tu bkur bar 'gyur zhing / / "
