
"0","",""
"570979","TD4068E.TXT.r_1;TD4068E.TXT.r_2"," rgya gar skad du / / +panytsa skan dha bh'a shyam / / ","0.012#TD4066E.TXT.r#2102088#2102091#TD4066E.TXT.r_1;TD4066E.TXT.r_2# RGYA GAR SKAD DU / / +panytsa skan dha pra ka ra na bi bh'a shyam / / "
"570987","TD4068E.TXT.r_3;TD4068E.TXT.r_4;TD4068E.TXT.r_5"," bod skad du / / +bung po lnga'i bshad pa / / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.0#TD4059E.TXT.r#413020#413020#TD4059E.TXT.r_4;TD4059E.TXT.r_5# phung po lnga'i rab tu byed pa / / +'jam dpal  GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.0#TD4080E.TXT.r#11#13#TD4080E.TXT.r_4;TD4080E.TXT.r_5# dge ba'i sdong po zhes bya ba'i rab tu byed pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.009#TD4084E.TXT.r#1277483#1277483#TD4084E.TXT.r_4;TD4084E.TXT.r_5# chos rnam par nges pa zhes bya ba'i rab tu byed  pa ; / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.015#TD4090.1E.TXT.r#1594852#1594853#TD4090.1E.TXT.r_4;TD4090.1E.TXT.r_5# chos mngon pa'i mdzod kyi bshad pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.022#TD4065E.TXT.r#426518#426518#TD4065E.TXT.r_4;TD4065E.TXT.r_5# rab tu byed pa nyi shu pa'i 'grel bshad / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4030E.TXT.r#2864862#2864862#TD4030E.TXT.r_4;TD4030E.TXT.r_5# mdo sde rgyan gyi tshigs su bcad pa dang po gnyis kyi bshad pa / / +'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4047E.TXT.r#1121475#1121475#TD4047E.TXT.r_4;TD4047E.TXT.r_5# rnal 'byor spyod pa'i sa las byang chub sems dpa'i sa'i rnam par bshad pa / / +'phags pa dd  'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.029#TD4013E.TXT.r#610339#610339#TD4013E.TXT.r_5# 'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / "
"570998","TD4068E.TXT.r_6"," rab tu byed pa 'di bshad pa la don rnam pa bzhi dang por bstan dgos te / / "
"571007","TD4068E.TXT.r_7;TD4068E.TXT.r_8"," don rnam pa bzhi ni mchod pa'i cho ga brjod pa  dang ; / +'brel pa dang  dgos pa dang  dgos pa'i yang dgos pa'o // / "
"571016","TD4068E.TXT.r_9"," de la mchod pa'i cho ga brjod pa ni bdag gang la dad pa'i lha'i yon tan bstod cing brjod pa ste / / "
"571027","TD4068E.TXT.r_10"," de yang skyes bu dam pa rnams kyi lugs dang mthun par bya ba dang  bgegs kyis bar chad ma byas par  gtsug lag brtsams pa mthar phyin par bya ba'i phyir dang por mi brjod du mi rung ngo // / "
"571044","TD4068E.TXT.r_11"," de la gtsug lag 'di yang mngon pa'i chos mdzod la 'jug pa'i sgo lta bur gyur ba dang de'i yan lag tu gtogs pa / / "
"571057","TD4068E.TXT.r_12"," bstod pa'i cho ga ni mngon pa'i chos mdzod kyi mgor glengs zin pas / / "
"571065","TD4068E.TXT.r_13;TD4068E.TXT.r_14"," der  'dus pa'i phyir logs shig tu ma bshad do // / +'brel pa ni bcom ldan 'das kyis sems can rnams kyi don du mngon pa'i chos le'u 'bum gsungs te / / "
"571079","TD4068E.TXT.r_15;TD4068E.TXT.r_16"," de ni gzhung mangs pas kun gyis khong du chud par mi 'gyur la / / +yi ge nyung ngu gtsug lag chung ngu 'di tsam khong du chud pas  mngon pa'i chos 'bum gyi mtshan nyid la mkhas par 'gyur te / / ","0.026#TD4016.2E.TXT.r#2337898#2337898#TD4016.2E.TXT.r_3151# 'dir bgrang ba zhes bya ba yang bgrang ba'i grangs gcig dang  bcu dang  brgya dang  stong dang   khri dang  'bum la sogs pa'i chos la bya ba ma yin gyi ji tsam du bgrang bar nus pa'i chos la bya bas bgrang bar nus pa'i chos de la de'i phyir bgrang ba zhes pa bshad do zhes bya ba nas / / "
"571101","TD4068E.TXT.r_17"," de ltar na mngon pa'i chos 'bum dang gtsug lag 'dir 'brel to // / "
"571109","TD4068E.TXT.r_18"," dgos pa ni chos rnams kyi mtshan nyid la mkhas par bya ba'i phyir gtsug lag 'di brtsams te / / "
"571118","TD4068E.TXT.r_19;TD4068E.TXT.r_20;TD4068E.TXT.r_21"," chos kyi mtshan nyid la mkhas par bya ba nyid dgos  pa'o ; / / +de la chos rnam pa gnyis te / / +zag pa med pa'i phung po lnga dang  zag pa dang bcas pa'i phung po lnga'o // / ","0.027#TD4080E.TXT.r#856#856#TD4080E.TXT.r_87# gzugs dang  tshor ba dang  'du shes dang  'du byed dang  rnam par shes pa'i bdag nyid kyi 'das PA'I PHUNG PO LNGA DANG  ma 'ongs PA'I PHUNG PO LNGA DANG   da ltar GYI PHUNG PO LNGA DANG  mya ngan las 'das pa dang  gang zag ste / / "
"571131","TD4068E.TXT.r_22"," de la zag pa dang bcas pa'i phung po lnga ni gzugs kyi phung po nas rnam par shes pa'i phung po'i bar du lnga'o // / ","0.0#TD4068E.TXT.r#582952#582954#TD4068E.TXT.r_1577;TD4068E.TXT.r_1578;TD4068E.TXT.r_1579# nye bar LEN PA'I PHUNG PO LNGA NI / / +gzugs KYI PHUNG PO NAS / / +rnam PAR SHES PA'I PHUNG PO'I BAR DU LNGA'O // / ","0.009#TD4068E.TXT.r#581882#581885#TD4068E.TXT.r_1442;TD4068E.TXT.r_1443;TD4068E.TXT.r_1444# 'dod pa dang  'dod chags gnyis DANG LDAN PA'I PHUNG PO rnams la nye bar len pa'i phung po zhes bya ste / / +nye bar LEN PA'I PHUNG PO LNGA NI  GZUGS KYI PHUNG PO NAS / / "
