
"0","",""
"1883977","TD4094.2E.TXT.r_23;TD4094.2E.TXT.r_24;TD4094.2E.TXT.r_25"," 'di ni stod sbyangs kyis / / +'di ni smad  sbyangs kyis / / +'di ni sna sbyangs gyis / / ","0.0#TD4093.1E.TXT.r#883973#883984#TD4093.1E.TXT.r_18822;TD4093.1E.TXT.r_18823;TD4093.1E.TXT.r_18824# 'o na btsun pa chos ldan rab 'byor gyis zhes bya ba rgyas par 'byung ste / / +de'i rgyu las dang nyon mongs pa bstan pa'i phyir sems can dag yin no zhes bya bar shes so // / "
"1883987","TD4094.2E.TXT.r_26;TD4094.2E.TXT.r_27"," 'di ni du ba btung bas / / +'di ni rdul gdon pas zhes de lta bu'i rang bzhin gyi bya ba rnams kyis nad skyes pa rnams spang ba'i bya ba shes par gyur pa yin te / / ","0.0#TD4093.1E.TXT.r#883982#884008#TD4093.1E.TXT.r_18823;TD4093.1E.TXT.r_18824;TD4093.1E.TXT.r_18825# de'i rgyu las dang nyon mongs pa bstan pa'i phyir sems can dag yin no zhes bya bar shes so // / +gshin rje'i sgo ba gang gis zhes bya ba rgyas par 'byung ngo // / "
"1884004","TD4094.2E.TXT.r_28"," dge slong dag 'di ltar na  sman pa zug rngu 'byin pa nad spong ba la mkhas par gyur pa yin no // / "
"1884013","TD4094.2E.TXT.r_29"," dge slong dag ji ltar na sman pa zug rngu 'byin pa nad byang ba phyir mi ldog par bya ba'i thabs la mkhas par gyur pa yin zhe na / / ","0.0#TD4093.1E.TXT.r#884009#884021#TD4093.1E.TXT.r_18825;TD4093.1E.TXT.r_18826;TD4093.1E.TXT.r_18827# gshin rje'i srin po gang dag lha'i mdo  las gshin rje'i bka' bzhin byed pa'i yi dags de dag ni gshin rje'i srid pa'o zhes bstan pa rnams ni gzhan kho na yin gyi dmyal ba'i srung ma ni ma yin pas 'gal ba med do // / "
"1884026","TD4094.2E.TXT.r_30"," dge slong dag 'di la sman pa    zug rngu 'byin pa nad 'di ni 'di dang 'di lta bu'o zhes phyir mi ldog par bya ba'i bya ba rnams kyis spong zhing phyis mi skye bar shes par gyur pa yin te / / ","0.0#TD4093.1E.TXT.r#884022#884030#TD4093.1E.TXT.r_18826;TD4093.1E.TXT.r_18827;TD4093.1E.TXT.r_18828;TD4093.1E.TXT.r_18829# sdug cing sdug bsngal ba rnams la bsod nams ma yin pa mang pas mi srid par 'dri ba ni da ni / / +las  de gang du rnam par smin // / ","0.0#TD4093.1E.TXT.r#884030#884039#TD4093.1E.TXT.r_18828;TD4093.1E.TXT.r_18829;TD4093.1E.TXT.r_18830# ces bya ba'o // / +de dag kho nar de bas kyang kha na ma thob che ba'i las kyi rnam par smin pa'i go skabs yod par mthong nas gang dag tu zhes bya ba smos te / / "
"1884044","TD4094.2E.TXT.r_31"," dge slong dag 'di ltar na sman pa zug rngu 'byin pa nad byang ba phyir mi ldog par bya ba'i thabs la mkhas par gyur pa yin no // / ","0.0#TD4093.1E.TXT.r#884040#884052#TD4093.1E.TXT.r_18829;TD4093.1E.TXT.r_18830;TD4093.1E.TXT.r_18831;TD4093.1E.TXT.r_18832# de dag kho nar de bas kyang kha na ma thob che ba'i las kyi rnam par smin pa'i go skabs yod par mthong nas gang dag tu zhes bya ba smos te / / +dmyal ba de dag tu'o // / "
"1884056","TD4094.2E.TXT.r_32"," de bzhin du de bzhin gshegs  pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ni yan lag rnam pa bzhi dang ldan pa'i sman pa zug rngu 'byin pa bla na med pa zhes brjod de / / ","0.0#TD4093.1E.TXT.r#884050#884067#TD4093.1E.TXT.r_18831;TD4093.1E.TXT.r_18832;TD4093.1E.TXT.r_18833# mtshams med pa byed pa rnams zhes bya ba rgyas par 'byung ste / / +mtshams    med pa rnams las gzhan pa'i kha na ma tho ba chen po dang bcas pa'i las ni med do // / "
"1884071","TD4094.2E.TXT.r_33;TD4094.2E.TXT.r_34"," bzhi gang zhe na / / +dge slong dag de bzhin gshegs pas 'di ni sdug bsngal 'phags pa'i bden pa'o zhes yang dag pa ji lta ba bzhin rab tu mkhyen  cing ; / ","0.0#TD4093.1E.TXT.r#884066#884081#TD4093.1E.TXT.r_18833;TD4093.1E.TXT.r_18834# me'i nang na gnas pa ji ltar mi tshig ce na zhes bya ba ni gal te de dag sems can yin na dmyal bltar mi tshig snyam du bsams pa'o // / "
"1884085","TD4094.2E.TXT.r_35;TD4094.2E.TXT.r_36;TD4094.2E.TXT.r_37"," 'di ni sdug bsngal kun 'byung ba / / +'di ni sdug bsngal 'gog pa / / +'di ni sdug bsngal 'gog par 'gro ba'i lam mo zhes yang dag pa ji lta ba bzhin du rab tu mkhyen te / / ","0.0#TD4093.1E.TXT.r#884080#884095#TD4093.1E.TXT.r_18834;TD4093.1E.TXT.r_18835# las dag gis mtshams bcad pa'i phyir ro zhes bya ba ni 'di dag bsreg  par mi bya'o zhes mi ni gdon mi za bar las dag gis dmyal ba'i srung ma rnams la sa mtshams bcad pa'o // / "
"1884100","TD4094.2E.TXT.r_38"," dge slong dag sman pa zug rngu 'byin pa sdug bsngal gyi rtsa ba spong ba'i sman dag mi shes la / / ","0.0#TD4093.1E.TXT.r#884096#884106#TD4093.1E.TXT.r_18835;TD4093.1E.TXT.r_18836# yang na 'byung ba'i khyad par 'grub pa zhes bya ba ni gang gis na me'i nang na gnas kyang mi 'tshig pa de dag gi lus kyi 'byung ba chen po'i khyad par ni las de dag gis de 'dra bar bsgrubs  so zhes bya ba'o // / "
"1884111","TD4094.2E.TXT.r_39"," skye ba dang rga ba dang na  ba dang 'chi ba dang mya ngan dang  smre sngags 'don ba dang  sdug bsngal ba dang yid mi bde ba dang 'khrug pa'i sdug bsngal gyi rtsa ba spong ba'i sman dag mi shes so // / ","0.0#TD4090.1E.TXT.r#1637626#1637630#TD4090.1E.TXT.r_7018# chu bur can dang  chu bur rdol pa dang  so thams thams dang  aa chu zer ba dang  kyi hud zer ba dang  autpala ltar gas pa dang  padma ltar gas pa dang  padma ltar cher gas pa'o // / ","0.0#TD4092.1E.TXT.r#1505748#1505760#TD4092.1E.TXT.r_12294# lus dang sgrar 'gyur ba dang mthun pa dag yin zhes bya ba la lus 'gyur ba dang mthun ba ni chu bur can  dang  chu bur rdol ba dang  autpal ltar gas pa dang  padma ltar gas pa dang  padma ltar cher gas pa dag ste / / ","0.0#TD4093.1E.TXT.r#884107#884123#TD4093.1E.TXT.r_18835;TD4093.1E.TXT.r_18836;TD4093.1E.TXT.r_18837;TD4093.1E.TXT.r_18838# yang na 'byung ba'i khyad par 'grub pa zhes bya ba ni gang gis na me'i nang na gnas kyang mi 'tshig pa de dag gi lus kyi 'byung ba chen po'i khyad par ni las de dag gis de 'dra bar bsgrubs  so zhes bya ba'o // / +lus dang sgra 'gyur ba dang mthun pa dag yin zhes bya ba la / / ","0.0#TD4095E.TXT.r#77578#77582#TD4095E.TXT.r_2900# chu bur can dang  chu bur rdol ba dang  so tham tham pa dang  aa chu dang  kyi hud dang  autpal ltar gas pa dang  padma ltar gas  pa dang  padma ltar cher gas pa'o // / ","0.026#TD4094.1E.TXT.r#1768183#1768183#TD4094.1E.TXT.r_8695;TD4094.1E.TXT.r_8696# ji ltar audpal ltar gas pa nyi shu gang yin pa de ni padma ltar gas pa gcig yin no // / +ji ltar padma ltar gas pa nyi shu gang yin pa de ni padma chen po  ltar gas pa gcig yin no // / ","0.029#TD4091E.TXT.r#714142#714142#TD4091E.TXT.r_3595# chu bur can    dang  chu bur rdol ba dang  so thams thams dang  aa chu zer ba dang  kyi hud zer ba dang  autpal ltar gas pa dang  padma ltar gas pa chen po ste / / "
"1884127","TD4094.2E.TXT.r_40"," dge slong dag de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas kyis sdug bsngal gyi rtsa ba spong ba'i sman  mkhyen cing skye ba dang  rga ba dang na ba dang 'chi ba dang  mya ngan dang smre sngags 'don pa dang  sdug bsngal ba dang yid mi bde ba dang  'khrug pa'i sdug bsngal gyi rtsa ba spong ba'i sman dag mkhyen te / / ","0.0#TD4093.1E.TXT.r#884122#884134#TD4093.1E.TXT.r_18837;TD4093.1E.TXT.r_18838;TD4093.1E.TXT.r_18839# lus 'gyur ba dang mthun pa ni chu bur can dang  chu bur rdol ba dang  autpal ltar gas pa dang  padma ltar gas pa dang  padma ltar cher gas pa dag yin la / / ","0.0#TD4093.1E.TXT.r#884134#884150#TD4093.1E.TXT.r_18838;TD4093.1E.TXT.r_18839;TD4093.1E.TXT.r_18840;TD4093.1E.TXT.r_18841;TD4093.1E.TXT.r_18842;TD4093.1E.TXT.r_18843# sgra 'gyur ba dang mthun pa ni so  thams thams pa dang  aa chu zer ba dang  kye hud zer ba rnams so // / +thad ka na yod do zhes bya ba smos so // / ","0.0#TD4096E.TXT.r#1553296#1553302#TD4096E.TXT.r_464;TD4096E.TXT.r_465# thad ka na yod do zhes bya ba smos te de nyid kyi phyir de dag na grang ba yod do // / "
"1884155","TD4094.2E.TXT.r_41"," de'i phyir de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i  sangs rgyas ni sman pa zug rngu 'byin pa bla na med pa zhes brjod do zhes gsungs so // / ","0.0#TD4093.1E.TXT.r#884151#884164#TD4093.1E.TXT.r_18842;TD4093.1E.TXT.r_18843;TD4093.1E.TXT.r_18844# gzhan dag nar las kyis byas pa kho na yin te / / +de lta ma  yin na nya rnams la yang grang bas ches gnod par 'gyur ro zhes zer ro // / ","0.0#TD4096E.TXT.r#1553309#1553326#TD4096E.TXT.r_466;TD4096E.TXT.r_467;TD4096E.TXT.r_468# gzhan dag na re las kyis  byas pa yin te / / +de lta ma yin na nya rnams la yang grang bas ches gnod par 'gyur ro zhes zer ro // / "
"1884167","TD4094.2E.TXT.r_42;TD4094.2E.TXT.r_43"," 'di dag ni 'phags pa rnams la bden pa de'i phyir 'phags pa'i bden pa zhes bya'o zhes bya ba la / / +gleng gzhi ni mnyan du yod pa na'o // / ","0.0#TD4093.1E.TXT.r#884162#884173#TD4093.1E.TXT.r_18844;TD4093.1E.TXT.r_18845# gzhan dag na re grang ba'i dmyal ba rnams kyi gnas ni khor yug gi ri gling bzhi yongs su bskor ba'i ngos na gcig tu mun nag tu gyur pa yin no zhes zer ro // / "
"1884178","TD4094.2E.TXT.r_44"," dge slong dag khyed cag gis ngas 'phags pa'i bden pa  bzhi bstan pa khyed cag gis gzung ngam / / ","0.0#TD4093.1E.TXT.r#884174#884185#TD4093.1E.TXT.r_18844;TD4093.1E.TXT.r_18845# gzhan dag na re grang ba'i dmyal ba rnams kyi gnas ni khor yug gi ri gling bzhi yongs su bskor ba'i ngos na gcig tu mun nag tu gyur pa yin no zhes zer ro // / +'dzam bu'i gling gi ngos gsum ni stong phrag gnyis pa  yin pa'i phyir dang  bzhi pa la dpag tshad phyed dang bzhi yin pa'i phyir 'og na dmyal ba rnams la go skabs med par mthong nas / / "
"1884190","TD4094.2E.TXT.r_45"," de nas dge slong gzhan zhig stan las langs te / / ","0.0#TD4093.1E.TXT.r#884186#884193#TD4093.1E.TXT.r_18845;TD4093.1E.TXT.r_18846# 'dzam bu'i gling gi ngos gsum ni stong phrag gnyis pa  yin pa'i phyir dang  bzhi pa la dpag tshad phyed dang bzhi yin pa'i phyir 'og na dmyal ba rnams la go skabs med par mthong nas / / "
"1884198","TD4094.2E.TXT.r_46"," bla gos phrag pa gcig tu byas nas bcom ldan 'das gang na ba der thal mo sbyar te phyag byas nas / / ","0.0#TD4093.1E.TXT.r#884194#884205#TD4093.1E.TXT.r_18846;TD4093.1E.TXT.r_18847;TD4093.1E.TXT.r_18848;TD4093.1E.TXT.r_18849# 'dzam bu'i gling 'di tsam gyi zhes bya ba rgyas par smos so // / "
