
"108","TD4080E.TXT.r_14;TD4080E.TXT.r_15;TD4080E.TXT.r_16"," de rnams kyang dus yun rung po dag nyid yin pa'i phyir byang chub kyi bar du spang bar bya'o // / +gzhan rnams kyang spong du gzhug par bya'o // / +bde 'gro ni lha dang mi dang lha ma  yin gyi 'gro ba rnams so // / "
"1090","TD4080E.TXT.r_111;TD4080E.TXT.r_112;TD4080E.TXT.r_113"," de nyid bems po las log pa'i longs spyod rdzogs pa'i sku mngon sum du mdzad pa ni // / +'bras bu'i gnas skabs nyid don dam pa'i shes rab kyi pha rol tu phyin pa'o // / +de nges pa tsam du byas pa ni /// / "
"109","TD4080E.TXT.r_15;TD4080E.TXT.r_16"," gzhan rnams kyang spong du gzhug par bya'o // / +bde 'gro ni lha dang mi dang lha ma  yin gyi 'gro ba rnams so // / "
"10","TD4080E.TXT.r_4;TD4080E.TXT.r_5"," dge ba'i sdong po zhes bya ba'i rab tu byed pa / / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / "
"1100","TD4080E.TXT.r_114;TD4080E.TXT.r_115"," rgyu'i gnas skabs kyi bdag nyid kyi shes rab kyi pha rol tu phyin pa'o // / +sdug bsngal ba gsum gyi mes rab tu 'bar bar 'khor ba'i sems can thams cad la bltas pas snying rje chen po'i dbang gis / / "
"110","TD4080E.TXT.r_15;TD4080E.TXT.r_16;TD4080E.TXT.r_17"," gzhan rnams kyang spong du gzhug par bya'o // / +bde 'gro ni lha dang mi dang lha ma  yin gyi 'gro ba rnams so // / +bde ba ni yid du 'ong ba nyams su myong ba'o // / "
"1110","TD4080E.TXT.r_115;TD4080E.TXT.r_116"," sdug bsngal ba gsum gyi mes rab tu 'bar bar 'khor ba'i sems can thams cad la bltas pas snying rje chen po'i dbang gis / / +sems can de rnams  kun la mnyam pa'i sems dang  phan pa'i sems dang  gnod sems med pa'i sems dang  byams pa'i sems dang  mi smod pa'i sems dang  pha dang ma'i sems dang  bu dang bu mo'i sems dang  mdza' bshes kyi sems dang   snag gi gnyen mtshams kyi sems su bya ba ste / / ","0.028#TD4034.1E.TXT.r#918027#918032#TD4034.1E.TXT.r_3503# rtsa ba'i sems dang  rjes su dpyod pa'i sems dang  rnam par dpyod pa'i sems dang  rjes su 'dzin pa'i sems dang  kun du bsdus pa'i sems dang  rjes su ston pa'i sems so zhes bshad do // / ","0.029#TD4009E.TXT.r#328149#328149#TD4009E.TXT.r_1160# lan du phan  'dogs par re ba med par sems can smin par byed par sbyor bas ni sems can yongs su smin par byed pa'i rjes su 'gro ba'o // / "
"111","TD4080E.TXT.r_15;TD4080E.TXT.r_16;TD4080E.TXT.r_17"," gzhan rnams kyang spong du gzhug par bya'o // / +bde 'gro ni lha dang mi dang lha ma  yin gyi 'gro ba rnams so // / +bde ba ni yid du 'ong ba nyams su myong ba'o // / "
"1120","TD4080E.TXT.r_116"," sems can de rnams  kun la mnyam pa'i sems dang  phan pa'i sems dang  gnod sems med pa'i sems dang  byams pa'i sems dang  mi smod pa'i sems dang  pha dang ma'i sems dang  bu dang bu mo'i sems dang  mdza' bshes kyi sems dang   snag gi gnyen mtshams kyi sems su bya ba ste / / ","0.011#TD4061E.TXT.r#1542881#1542884#TD4061E.TXT.r_4112# de las ji skad gsungs she na de'i phyir shes ldan rgyal ba'i sras dag ma chags pa'i sems dang  zhe SDANG MED PA'I SEMS DANG  las su rung    ba'i sems dang  rnam par ma rmongs pa'i sems dang  zhi ba'i sems dang  rtsub PA MED PA'I SEMS DANG  rgyud gcig tu gyur pa'i sems dang  dge ba'i sems dang  bye brag phyed pa'i sems dang  gus pa'i sems dang  mos pa'i sems dang  legs par rnam  par gnas pa'i sems dang  le lo med ba'i sems dang  gzung ba'i sems dang  phan 'dogs pa'i sems dang  rab tu 'dzin pa'i sems dang  sgrub pa'i sems dang  don la lta ba'i sems dang  skyon yid la MI BYED PA'I SEMS DANG  don la rton pa'i sems  dang ; / ","0.017#TD4019E.TXT.r#2496181#2496182#TD4019E.TXT.r_11640# mnyen pa'i sems dang  yid du 'ong ba'i sems dang  las su rung ba'i sems dang  dri ma med pa'i sems su 'dug pa'o zhes mdo las bshad pa'o // / ","0.017#TD4026E.TXT.r#296482#296486#TD4026E.TXT.r_3770# rtsa ba'i sems dang  rjes su dpyod pa'i sems dang  rnam par dpyod pa'i sems dang  nges par 'dzin pa'i sems dang  sdom pa'i sems dang  smon pa'i sems so // / ","0.017#TD4029E.TXT.r#2127550#2127554#TD4029E.TXT.r_976# de la sogs pa'i tshigs su bcad pa gsum gyis sems drug po rtsa ba'i sems dang rjes su dpyod pa'i sems dang  rnam par dpyod pa'i sems dang  nges par 'dzin pa'i sems dang  sdom pa'i sems dang  re ba'i sems zhes 'chad par  'gyur ro // / ","0.017#TD4029E.TXT.r#2145071#2145075#TD4029E.TXT.r_3168# sems drug ni rtsa ba'i sems dang  rjes su spyod pa'i  sems dang  rnam par dpyod pa'i sems dang  nges par 'dzin pa'i sems dang  sdom pa'i sems dang  smon pa'i sems so // / ","0.017#TD4061E.TXT.r#1542899#1542903#TD4061E.TXT.r_4112# de las ji skad gsungs she na de'i phyir shes ldan rgyal ba'i sras dag ma chags pa'i sems dang  zhe SDANG MED PA'I SEMS DANG  las su rung    ba'i sems dang  rnam par ma rmongs pa'i sems dang  zhi ba'i sems dang  rtsub PA MED PA'I SEMS DANG  rgyud gcig tu gyur pa'i sems dang  dge ba'i sems dang  bye brag phyed pa'i sems dang  gus pa'i sems dang  mos pa'i sems dang  legs par rnam  par gnas pa'i sems dang  le lo med ba'i sems dang  gzung ba'i sems dang  phan 'dogs pa'i sems dang  rab tu 'dzin pa'i sems dang  sgrub pa'i sems dang  don la lta ba'i sems dang  skyon yid la MI BYED PA'I SEMS DANG  don la rton pa'i sems  dang ; / ","0.020#TD4038.2E.TXT.r#3103103#3103107#TD4038.2E.TXT.r_1674# mngon par dga' ba rnam pa bdun po slong mo pa ma 'ongs pa nas sems mngon par dga' ba dang  slong mo 'ongs pa na mthong ma thag tu sems rab tu dga' ba dang  sbyin pa sbyin par  byed pa na yid bde ba'i sems dang  mnyam par gzhag pa'i sems dang  ngoms MI SHES PA'I SEMS DANG  rnam par 'tshe ba'i bsam PA MED PA'I SEMS DANG  byin nas 'gyod pa med pa'i sems kyis / / ","0.023#TD4016.2E.TXT.r#2341303#2341304#TD4016.2E.TXT.r_3533# rgya che ba'i sems dang mchog tu gyur pa'i sems dang  rtag par byed pa'i sems dang  phyin ci ma log pa'i sems zhes bshad do // / ","0.023#TD4071E.TXT.r#399505#399505#TD4071E.TXT.r_62;TD4071E.TXT.r_63;TD4071E.TXT.r_64# de ni de la dmigs pa yang yin la sems kyang yin pas de la dmigs pa'i  sems te / / +'jug par byed pa'i sems so // / +de las skyes pas na de la dmigs pa'i sems las skyes pa yin te // / ","0.024#TD4093.1E.TXT.r#777595#777595#TD4093.1E.TXT.r_1773# 'dir yang sems bcas pa smos pa ni 'di sems gyengs pa med pas na sems ma gyengs pa ste / / ","0.024#TD4095E.TXT.r#70157#70157#TD4095E.TXT.r_1391;TD4095E.TXT.r_1392;TD4095E.TXT.r_1393# don gcig 'byed pas na sems so // / +go bas na yid  do ; / / +rnam par shes pas na rnam par shes pa'o // / ","0.029#TD4092.1E.TXT.r#1408280#1408280#TD4092.1E.TXT.r_935# de las gzhan pa'i sems ni mi  dge ba'i sems dang lung du ma bstan pa'i sems yin te 'dir sems gyengs pa ni de yin par bsams pa yin no // / "
"112","TD4080E.TXT.r_16;TD4080E.TXT.r_17"," bde 'gro ni lha dang mi dang lha ma  yin gyi 'gro ba rnams so // / +bde ba ni yid du 'ong ba nyams su myong ba'o // / "
