
"0","",""
"2206051","TD4097E.TXT.r_1;TD4097E.TXT.r_2"," rgya gar skad du / / +s'a ra sa mutstsha ya n'a ma aa bhi dharmma aa ba t'a ra t'i k'a / / ","0.0#TD4035E.TXT.r#206049#206059#TD4035E.TXT.r_14114;TD4035E.TXT.r_14115;TD4035E.TXT.r_14116# legs par gsungs pa'i chos can rnams kyi skye mched drug gi rgyu ni bag med pa'i srol nas sdug bsngal gyi phyir 'bab ste / / +ma rig pa'i sgrib pa dang  rtog pa dang  bag med pa'i srol gyi  rgyun de dag gi rgyun 'jug pa de zlog pa ni / / "
"2206062","TD4097E.TXT.r_3;TD4097E.TXT.r_4"," bod skad du / / +chos mngon pa la 'jug pa rgya cher 'grel pa snying po kun las btus pa zhes bya ba / / ","0.0#TD4035E.TXT.r#206057#206069#TD4035E.TXT.r_14115;TD4035E.TXT.r_14116;TD4035E.TXT.r_14117# ma rig pa'i sgrib pa dang  rtog pa dang  bag med pa'i srol gyi  rgyun de dag gi rgyun 'jug pa de zlog pa ni / / +gzhan gyi sgra'i rgyun las byung ba dang  so so rang gi tshul bzhin yid la byed pa'i rgyu las byung bas / / "
"2206073","TD4097E.TXT.r_5;TD4097E.TXT.r_6;TD4097E.TXT.r_7"," bam po dang  po ; / / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / +chos mngon pa'i 'brel pa dang  dgos pa brjod par bya'o // / ","0.0#TD4035E.TXT.r#206068#206080#TD4035E.TXT.r_14116;TD4035E.TXT.r_14117;TD4035E.TXT.r_14118;TD4035E.TXT.r_14119# gzhan gyi sgra'i rgyun las byung ba dang  so so rang gi tshul bzhin yid la byed pa'i rgyu las byung bas / / +'du byed thams cad la nyes dmigs su 'dzin pa dang ldan pa'i dran pa yin te / / "
"2206085","TD4097E.TXT.r_8;TD4097E.TXT.r_9"," 'brel pa gang gi rab tu byed pa 'di brtsams / / +rtsom pa 'di'i dgos pa ni gang zhe na / / ","0.0#TD4035E.TXT.r#206081#206091#TD4035E.TXT.r_14118;TD4035E.TXT.r_14119# rnam par gnon pa'i gnyen po'i tshul gyis so // / +'jig rten las 'das pa'i yang dag pa'i lha bas bsdus pa'i shes rab kyis ni rgyun de dag gsum char yang 'jug pa'i rgyun gcod pa'i tshul gyis thams cad kyi thams cad du gcod par byed de / / "
"2206096","TD4097E.TXT.r_10;TD4097E.TXT.r_11"," de brjod par bya ste / / +'di'i 'brel pa ni rab tu byed pa nyid las bstan te / / ","0.0#TD4035E.TXT.r#206092#206107#TD4035E.TXT.r_14119;TD4035E.TXT.r_14120;TD4035E.TXT.r_14121;TD4035E.TXT.r_14122# 'jig rten las 'das pa'i yang dag pa'i lha bas bsdus pa'i shes rab kyis ni rgyun de dag gsum char yang 'jug pa'i rgyun gcod pa'i tshul gyis thams cad kyi thams cad du gcod par byed de / / "
"2206104","TD4097E.TXT.r_12"," ji skad  du shes rab can dag ni 'phral gyi bya ba la thogs pas ma thob pa'i nyams pas kyang skrag par 'gyur zhes 'byung ba'i 'brel pa 'dis rab tu byed pa 'di brtsams so // / ","0.0#TD4035E.TXT.r#206107#206115#TD4035E.TXT.r_14121;TD4035E.TXT.r_14122;TD4035E.TXT.r_14123;TD4035E.TXT.r_14124# gtan spong ba yang    sdom pa yin par rig par bya'o // / +de la nyes par bshad pa'i chos can rnams dang  khyim pa rnams ni gcig tu nges par kun nas nyon mongs pa'i phyogs su gtogs pa yin no // / "
"2206119","TD4097E.TXT.r_13;TD4097E.TXT.r_14"," 'brel pa bshad zin to // / +dgos pa ni shes rab zhan pa dang  yid mi gzhungs pa'i sems can rnams ci nas tshig  gi tshogs nyung zhing gsal bas chos mngon pa la 'jug par bya ba'i phyir ro // / ","0.0#TD4035E.TXT.r#206114#206131#TD4035E.TXT.r_14122;TD4035E.TXT.r_14123;TD4035E.TXT.r_14124;TD4035E.TXT.r_14125;TD4035E.TXT.r_14126# de la nyes par bshad pa'i chos can rnams dang  khyim pa rnams ni gcig tu nges par kun nas nyon mongs pa'i phyogs su gtogs pa yin no // / +legs par gsungs pa'i chos 'dul ba la ni gnyis dmigs te / / "
"2206135","TD4097E.TXT.r_15;TD4097E.TXT.r_16;TD4097E.TXT.r_17"," phyag bya ba yang dgos pa yin te / / +bgegs zhi bar bya ba'i rgyur 'gyur ba dang  gus pa bskyed pa'i phyir ro // / +gang du gnas pa dang  'byung ba dang  'jig pa dpyad pa de ni bstan bcos so // / ","0.0#TD4035E.TXT.r#206130#206143#TD4035E.TXT.r_14126;TD4035E.TXT.r_14127# de la gsal bar byas pa gang yin pa dag dang  gsal bar byed pa gang yin pa de dag kyang bag yod pa yin par rig par bya'o // / "
"2206148","TD4097E.TXT.r_18"," de'i phyogs  gcig tu gyur pa ni rab tu byed pa ste de gang zhe na smras pa / / ","0.0#TD4035E.TXT.r#206144#206158#TD4035E.TXT.r_14127;TD4035E.TXT.r_14128# de la dgra bcom pa gsal bar byas pa de dag ni  dran pa nye bar gzhag pa bzhi po de dag la dran pa dang shes rab shin tu bsgoms pa'i phyir dang  shes bzhin du rnam par dag pa thob pa'i phyir bag yod pa la bag yod par byed pa med kyi / / "
"2206157","TD4097E.TXT.r_19;TD4097E.TXT.r_20"," snying gi mun pa zhes bya ba la sogs pa'o // / +de la sems dang sems las byung ba rnams ni spyir snying zhes brjod du zin kyang sems las byung ba'i chos mtha' dag sems la gnas pas gnas pa rnams ni gtso bo ma yin gyi gnas gtso bo  yin pa'i phyir sems nyid la snying zhes bya bar 'dogs so // / ","0.0#TD4035E.TXT.r#206158#206168#TD4035E.TXT.r_14128;TD4035E.TXT.r_14129# phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su shes pa shin tu rnam par dag  pa de 'gags pas de'i dran pa dang  shes rab kyang 'gag par 'gyur ba ni med pa ma yin no // / ","0.0#TD4035E.TXT.r#206169#206176#TD4035E.TXT.r_14128;TD4035E.TXT.r_14129# phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su shes pa shin tu rnam par dag  pa de 'gags pas de'i dran pa dang  shes rab kyang 'gag par 'gyur ba ni med pa ma yin no // / +de'i de las gzhan pa sngon gyi las kyis 'phangs pa'i ming dang gzugs kyi lhag ma chen por gtogs pa gang yin pa de dag thams cad kyang 'gag par 'gyur ro // / ","0.020#TD4039E.TXT.r#1860738#1860739#TD4039E.TXT.r_5303# phung po'i lhag ma dang bcas pa'i mya ngan las 'das pa'i dbyings 'thob par byed pa yin pas na nye bar zhi bar  byed pa'o // / ","0.020#TD4039E.TXT.r#1860742#1860748#TD4039E.TXT.r_5303;TD4039E.TXT.r_5304# phung po'i lhag ma dang bcas pa'i mya ngan las 'das pa'i dbyings 'thob par byed pa yin pas na nye bar zhi bar  byed pa'o // / ","0.020#TD4016.2E.TXT.r#2318865#2318867#TD4016.2E.TXT.r_941;TD4016.2E.TXT.r_942# gnyis pa ni mya ngan las 'da' bar byed pa ste / / +phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings 'thob par byed pa'i phyir ro // / ","0.020#TD4038.2E.TXT.r#3131542#3131544#TD4038.2E.TXT.r_5436;TD4038.2E.TXT.r_5437# sngon smon lam  bsgoms pa med pa'i phyir dang  de lta bu'i rigs can yin pas de'i phyir dgra bcom pa ni ldang ba'i bsam pa med pa kho nar yongs su mya ngan las 'das pas na de'i phyir mi byed do // / +phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su yongs su mya ngan las 'das pa'i zag  pa med pa'i dbyings gang yin pa de ni / / ","0.028#TD4010E.TXT.r#2265217#2265217#TD4010E.TXT.r_4496# dbyangs kyis bstan pa'i cho 'phrul gyis dpag tu med pa'i sems  can gyi khams rnams phung po lhag ma med pa'i mya ngan las 'das pa'i dbyings su rab tu 'god par byed do zhes bya ba'o // / ","0.028#TD4029E.TXT.r#2125584#2125584#TD4029E.TXT.r_720;TD4029E.TXT.r_721# byang chub sems dpa' rnams kyang chos dang zang zing la sogs pa'i longs spyod kyis sems can dpag tu med pa tshim par byed cing sbyin pa de     // / +yang phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su zad par yang mi 'gyur bas mi zad pa zhes bya'o // / ","0.029#TD4036E.TXT.r#2864#2866#TD4036E.TXT.r_260;TD4036E.TXT.r_261# rnam par grol  ba yang yongs su rdzogs par byed la / / +phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su yongs su mya ngan las 'da' bar yang byed do // / "
