
"0","",""
"399110","TD4071E.TXT.r_0;TD4071E.TXT.r_1;TD4071E.TXT.r_2","  //// / +rgya gar skad du / / +karma siddha t'i k'a / / ","0.025#TD4032E.TXT.r#1919770#1919772#TD4032E.TXT.r_1;TD4032E.TXT.r_2# rgya GAR SKAD DU / / +ma dhyan nta bi bham ga t'i k'a / / "
"399118","TD4071E.TXT.r_3;TD4071E.TXT.r_4;TD4071E.TXT.r_5;TD4071E.TXT.r_6"," bod skad du / / +las grub pa'i bshad pa / / +bam po dang po / / +'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.016#TD4022E.TXT.r#397962#397963#TD4022E.TXT.r_5;TD4022E.TXT.r_6# chos dang chos nyid rnam par 'byed pa / / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.017#TD4050E.TXT.r#1097192#1097195#TD4050E.TXT.r_5;TD4050E.TXT.r_6;TD4050E.TXT.r_7# bam PO DANG PO / / +sangs RGYAS LA PHYAG 'TSHAL LO // / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.017#TD4010E.TXT.r#2229783#2229784#TD4010E.TXT.r_4# 'phags pa chos thams cad kyi rang dd  bzhin mnyam pa nyid rnam par spros pa'i ting nge 'dzin gyi rgyal po zhes bya ba theg pa chen po'i mdo'i 'grel pa grags pa'i phreng ba zhes bya ba 'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.017#TD4096E.TXT.r#1549671#1549671#TD4096E.TXT.r_4;TD4096E.TXT.r_5# chos mngon pa mdzod kyi 'grel bshad mtshan nyid kyi rjes su 'brang ba zhes bya ba / / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.017#TD4047E.TXT.r#1121475#1121476#TD4047E.TXT.r_4;TD4047E.TXT.r_5# rnal 'byor spyod pa'i sa las byang chub sems dpa'i sa'i rnam PAR BSHAD PA / / +'phags pa dd  'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.018#TD4013E.TXT.r#610338#610338#TD4013E.TXT.r_5# 'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.019#TD4030E.TXT.r#2864862#2864863#TD4030E.TXT.r_4;TD4030E.TXT.r_5# mdo sde rgyan gyi tshigs su bcad pa dang po gnyis KYI BSHAD PA / / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.021#TD4070E.TXT.r#2802145#2802145#TD4070E.TXT.r_5;TD4070E.TXT.r_6# bam PO DANG PO / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.022#TD4062E.TXT.r#2961000#2961000#TD4062E.TXT.r_4;TD4062E.TXT.r_5# las grub pa'i rab tu byed  pa ; / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO / / ","0.022#TD4084E.TXT.r#1277484#1277485#TD4084E.TXT.r_4;TD4084E.TXT.r_5# chos rnam par nges pa zhes bya ba'i rab tu byed  pa ; / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4091E.TXT.r#695073#695075#TD4091E.TXT.r_4;TD4091E.TXT.r_5;TD4091E.TXT.r_6# chos mngon pa mdzod kyi bstan bcos kyi tshig le'ur byas pa'i rnam PAR BSHAD PA / / +bam PO DANG PO / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.024#TD4074E.TXT.r#398894#398894#TD4074E.TXT.r_4;TD4074E.TXT.r_6# rnal 'byor la 'jug pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.025#TD4061E.TXT.r#1514135#1514137#TD4061E.TXT.r_4;TD4061E.TXT.r_5;TD4061E.TXT.r_6# rnam par bshad pa'i rigs pa / / +bam PO DANG PO // / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.025#TD4064E.TXT.r#416636#416637#TD4064E.TXT.r_4;TD4064E.TXT.r_5;TD4064E.TXT.r_6# sum CU PA'I BSHAD PA / / +bam PO DANG PO / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.025#TD4069E.TXT.r#622043#622045#TD4069E.TXT.r_4;TD4069E.TXT.r_5;TD4069E.TXT.r_6# rnam par bshad pa RIGS PA'I BSHAD PA / / +bam PO DANG PO / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.026#TD4051E.TXT.r#1232514#1232515#TD4051E.TXT.r_5;TD4051E.TXT.r_6# bam PO DANG PO / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4093.1E.TXT.r#766671#766671#TD4093.1E.TXT.r_4;TD4093.1E.TXT.r_5# chos mngon pa'i mdzod kyi 'grel bshad mtshan nyid kyi rjes su 'brang ba zhes bya ba / / +'phags dd  PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4044E.TXT.r#381430#381431#TD4044E.TXT.r_5;TD4044E.TXT.r_6# sangs rgyas dang byang chub sems dpa' thams CAD LA PHYAG 'TSHAL LO // / +'phags PA 'JAM DPAL GZHON NUR GYUR BA LA PHYAG 'TSHAL LO // / ","0.028#TD4040E.TXT.r#2188638#2188639#TD4040E.TXT.r_1;TD4040E.TXT.r_2# rnal 'byor spyod pa'i sa las 'dul ba bsdu ba / / +'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / "
"399132","TD4071E.TXT.r_7;TD4071E.TXT.r_8;TD4071E.TXT.r_9"," rtog pa'i dra ba rnam bsal cing / / +gzhan gyi don la nges bstan pa // / +sems can kun gyi gnyen gcig po // / "
"399144","TD4071E.TXT.r_10;TD4071E.TXT.r_11"," 'jam pa'i dpal la phyag 'tshal lo // / +las grub rab tu byed pa ni // / "
"399152","TD4071E.TXT.r_12;TD4071E.TXT.r_13;TD4071E.TXT.r_14"," mdor bshad 'dod pa gang yin pa // / +de dag dga' bar bya ba'i phyir // / +mdor na de yi bshad pa bya // / "
"399162","TD4071E.TXT.r_15;TD4071E.TXT.r_16;TD4071E.TXT.r_17"," mdo las las rnams ni gsum ste / / +zhes bya ba la sogs  pa 'byung ba la / / +rab tu byed pa dgos pa dang bcas pa bshad pa ni rigs mod // / "
"399176","TD4071E.TXT.r_18;TD4071E.TXT.r_19"," 'di la ni dgos pa yang med de // / +de'i phyir re zhig rtog pa sngon du gtong ba can gyis de brtsams pa nyid kyang mi rung na / / "
"399187","TD4071E.TXT.r_20;TD4071E.TXT.r_21;TD4071E.TXT.r_22"," de bshad pa lta legs par ga la 'gyur // / +'di la sbyor ba yang yod de / / +rtog pa sngon du gtong ba can gyis ni dgos pa med pa gang yin pa de brtsams par mi bya ste / / "
"399203","TD4071E.TXT.r_23;TD4071E.TXT.r_24"," dper na bya rog gi so brtag pa'i bstan bcos lta bu yin la / / +rab tu byed pa 'di yang dgos pa med pa yin pas khyab par byed pa mi dmigs pa ste / / "
"399215","TD4071E.TXT.r_25;TD4071E.TXT.r_26"," de brtsams pa la dgos pa dang ldan pa nyid  kyis khyab pa'i phyir ro // / +de ltar rab tu byed pa la gzhan gyis brgal ba dang  'dir bshad pa dgos pa med pa'i phyir ro zhes bya ba'i gtan tshigs ni ma grub po // / "
