
"0","",""
"355406","TD4043E.TXT.r_1;TD4043E.TXT.r_2;TD4043E.TXT.r_3"," rgya gar skad du / / +yo ga tsarya bhu'u mi by'a khya / / +bod skad du / / ","0.018#TD4069E.TXT.r#622033#622034#TD4069E.TXT.r_1;TD4069E.TXT.r_2# RGYA GAR SKAD DU / / +by'a khy'a yukti t'i ka / / ","0.020#TD4061E.TXT.r#1514125#1514126#TD4061E.TXT.r_1;TD4061E.TXT.r_2;TD4061E.TXT.r_3# RGYA GAR SKAD DU / / +by'a khy'a yukti / / ","0.027#TD4047E.TXT.r#1121467#1121467#TD4047E.TXT.r_2;TD4047E.TXT.r_3;TD4047E.TXT.r_4# yo g'a tsa rya bh'u mi sye bo dhi satva BH'U MI BY'A KHY'A / / +bod skad du / / +rnal 'byor spyod pa'i sa las byang chub sems dpa'i sa'i rnam par bshad pa / / ","0.027#TD4060E.TXT.r#680388#680388#TD4060E.TXT.r_1;TD4060E.TXT.r_2# RGYA GAR SKAD DU / / +by'a khy'a yukti s'u tra khanda sha tam / / ","0.029#TD4005E.TXT.r#549132#549132#TD4005E.TXT.r_1;TD4005E.TXT.r_2# RGYA GAR SKAD DU / / +bo dhi  patti re sha na britti / / ","0.029#TD4018E.TXT.r#3003683#3003683#TD4018E.TXT.r_1;TD4018E.TXT.r_2# RGYA GAR SKAD DU / / +a'arya lam ka aa ba t'a ra britti / / "
"355415","TD4043E.TXT.r_4;TD4043E.TXT.r_5"," rnal 'byor spyod pa'i sa rnam par bshad pa / / +tshig gi mnga' bdag 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","1.192#TD4035E.TXT.r#124869#124870#TD4035E.TXT.r_5;TD4035E.TXT.r_6# bam po dang po / / +tshig GI MNGA' BDAG 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4013E.TXT.r#610339#610339#TD4013E.TXT.r_5# 'phags PA 'JAM DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.025#TD4009E.TXT.r#320139#320139#TD4009E.TXT.r_5# 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.027#TD4044E.TXT.r#381433#381433#TD4044E.TXT.r_6# 'phags PA 'JAM DPAL GZHON NUR GYUR BA LA PHYAG 'TSHAL LO // / "
"355426","TD4043E.TXT.r_6;TD4043E.TXT.r_7"," 'jig rten kun la phan phyir thogs med ces bya bas / / +chos rgyun ting 'dzin stobs kyis  drangs pa bdud rtsi'i chos // / "
"355442","TD4043E.TXT.r_8;TD4043E.TXT.r_9"," 'phags pa mi pham zhal gyi bum pa nas blugs pa // / +gsan pa'i snyim pas gsol ba de la phyag 'tshal lo // / "
"355456","TD4043E.TXT.r_10;TD4043E.TXT.r_11"," 'phags pa thogs med thub pa dpag bsam shing gyur las // / +tshig gi yal ga 'khrungs pa yi ge'i me tog gi // / "
"355468","TD4043E.TXT.r_12"," char bas rna brgyan blo gter gyur pa  dpal yon can // / "
"355478","TD4043E.TXT.r_13;TD4043E.TXT.r_14"," de yi gcung po dpal ldan de la phyag 'tshal lo // / +theg pa gsum po mtha' dag ston pas don che la rnam par ma bshad pas tha bar gyur pa rnal 'byor spyod pa'i sa 'di bdag pas kyang blo ngan pa rnams la phan gdags pa'i phyir skabs skabs nas rnam par grol ba'i  thigs pa rnams bsdu bar bya'o // / "
"355507","TD4043E.TXT.r_15;TD4043E.TXT.r_16"," de la bstan pa 'di ni rnam pa gnyis kyi phyir brtsams te / / +byang chub sems dpa'i theg pa gsum la mkhas pa bskyed par bya ba dang  nyan thos dang rang sangs rgyas kyi rigs can dag kyang 'di nyid la bslabs nas rang gi theg pas rang nges par 'byung bar bya  ba'i phyir ro // / "
"355529","TD4043E.TXT.r_17;TD4043E.TXT.r_18"," yang rnam pa gnyis kyi phyir te / / +sangs rgyas kyi bka' nyams pa dbye bar bya ba dang  ma nyams pa rgyas par bya ba'i phyir ro // / "
"355541","TD4043E.TXT.r_20"," theg pa chen po che la the tshom za ba dang  mi shes pa dang  phyin ci log tu gyur pas ma zhugs pa'i sems can dag kyang  yod de / / "
"355550","TD4043E.TXT.r_21"," de dag la chos mtshan nyid ma nor ba bstan pas gcig tu nges par rtogs par bya zhing tshar bcad nas khong du chud par byas par 'gyur ba dang  kha cig zhugs su zin kyang dgongs pa sna tshogs can gyi mdo sde sde mnyan na blo rnam par rmongs pa dag kyang yod de / / "
"355579","TD4043E.TXT.r_22;TD4043E.TXT.r_23"," de dag la yang phan  btags par byas par 'gyur ba'i phyir ro // / +yang rnam pa gnyis kyi phyir te / / "
