
"0","",""
"2188635","TD4040E.TXT.r_1;TD4040E.TXT.r_2"," rnal 'byor spyod pa'i sa las 'dul ba bsdu ba / / +'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.0#TD4035E.TXT.r#188634#188642#TD4035E.TXT.r_10911;TD4035E.TXT.r_10912;TD4035E.TXT.r_10913;TD4035E.TXT.r_10914# de dag kun kyang 'brel pa med // / +da ltar gyi ni rab tu 'jig / / "
"2188646","TD4040E.TXT.r_3;TD4040E.TXT.r_4;TD4040E.TXT.r_5"," 'dul ba ma mo'i sdom ni / / +phan yon dd  sde tshan sdud pa dang / / +rjes spyod mi mthun mthun pa dang / / ","0.0#TD4035E.TXT.r#188641#188653#TD4035E.TXT.r_10913;TD4035E.TXT.r_10914;TD4035E.TXT.r_10915;TD4035E.TXT.r_10916;TD4035E.TXT.r_10917# 'das pa gang na'ang gnas pa med // / +ma skyes pa dag rkyen khar las // / "
"2188657","TD4040E.TXT.r_6;TD4040E.TXT.r_7"," nyer zhi yongs shes rnam lnga dang / / +dad 'gyur 'phel bar 'gyur ba dang / / ","0.0#TD4035E.TXT.r#188652#188661#TD4035E.TXT.r_10915;TD4035E.TXT.r_10916;TD4035E.TXT.r_10917;TD4035E.TXT.r_10918;TD4035E.TXT.r_10919;TD4035E.TXT.r_10920# sems ni phyi bzhin 'phrad ba yin // / +mtshungs par ldan pa gcig tu nges // / +mi ldan pa yang de bzhin  te // / "
"2188666","TD4040E.TXT.r_8;TD4040E.TXT.r_9"," stobs lnga po ni tha ma yin // / +'di man chad  ni 'dul ba bsdu ba'i tshig le'ur byas pa ste / / ","0.0#TD4035E.TXT.r#188662#188670#TD4035E.TXT.r_10919;TD4035E.TXT.r_10920;TD4035E.TXT.r_10921;TD4035E.TXT.r_10922# sems ni nye bar 'gro zhes bya // / +rgyun ni 'dra dang mi 'dra ba // / "
"2188675","TD4040E.TXT.r_10;TD4040E.TXT.r_11;TD4040E.TXT.r_12"," rigs ni bsdu bar bya ba dang / / +gzhi bcas la sogs yod pa yis // / +dge 'dun bsdu dang legs par 'gyur // / ","0.0#TD4035E.TXT.r#188671#188680#TD4035E.TXT.r_10921;TD4035E.TXT.r_10922;TD4035E.TXT.r_10923;TD4035E.TXT.r_10924;TD4035E.TXT.r_10925;TD4035E.TXT.r_10926# rgyun chad ma gyur de la ni // / +bdag lta rjes su 'brang ba yis // / +kun rdzob 'di ni bya ba yin // / "
"2188685","TD4040E.TXT.r_13;TD4040E.TXT.r_14;TD4040E.TXT.r_15"," de yi bder gnas  rnam lnga ste // / +chos gos la sogs yod pa dang / / +mi mthun pa ni bskrad pa dang / / ","0.0#TD4035E.TXT.r#188681#188689#TD4035E.TXT.r_10924;TD4035E.TXT.r_10925;TD4035E.TXT.r_10926;TD4035E.TXT.r_10927;TD4035E.TXT.r_10928# gzugs kyi lus ni 'gyes par 'gyur // / +ming gi lus kyang 'jig 'gyur  te // / +tshe 'di dang ni phyi ma la // / "
"2188694","TD4040E.TXT.r_16;TD4040E.TXT.r_17;TD4040E.TXT.r_18"," 'gyod pa sel dang nyon mongs gnon // / +bag la nyal yang spong ba yin // / +ma 'ongs 'jug par  'gyur ba'i phyir // / ","0.0#TD4035E.TXT.r#188690#188700#TD4035E.TXT.r_10927;TD4035E.TXT.r_10928;TD4035E.TXT.r_10929;TD4035E.TXT.r_10930;TD4035E.TXT.r_10931;TD4035E.TXT.r_10932# bdag gis byas la spyod ces bya // / +snga dang phyi mas tha dad cing // / +rang gi rgyu 'bras bsdus pa'i phyir // / "
"2188705","TD4040E.TXT.r_19;TD4040E.TXT.r_20;TD4040E.TXT.r_21"," yun ring gnas pa nyid du bzhed // / +dang po bsdu dang legs par dang / / +bsdus pa ci bder bya ba dang / / ","0.0#TD4035E.TXT.r#188701#188717#TD4035E.TXT.r_10930;TD4035E.TXT.r_10931;TD4035E.TXT.r_10932;TD4035E.TXT.r_10933;TD4035E.TXT.r_10934;TD4035E.TXT.r_10935;TD4035E.TXT.r_10936;TD4035E.TXT.r_10937# de nyid byed dang tshor ba yin // / +tha dad par ni brjod mi bya // / +rgyu yi lam ni mi 'chad phyir // / "
"2188714","TD4040E.TXT.r_22;TD4040E.TXT.r_23;TD4040E.TXT.r_24"," gzhan dag bde bar 'jug 'gyur ba // / +kun gyis     // / +bsgrags pa shes bya ste // / "
"2188722","TD4040E.TXT.r_25;TD4040E.TXT.r_26;TD4040E.TXT.r_27"," de ni phan yon rnam dag gi / / +ci rigs par ni bsdu ba yin // / +ltung ba sde tshan rnam lnga ste // / ","0.0#TD4035E.TXT.r#188718#188726#TD4035E.TXT.r_10936;TD4035E.TXT.r_10937;TD4035E.TXT.r_10938;TD4035E.TXT.r_10939# yongs su 'dzin par byed par 'gyur // / +spros la mngon dga' rgyu yin te // / "
