
"0","",""
"1052142","TD4090.2E.TXT.r_28;TD4090.2E.TXT.r_29;TD4090.2E.TXT.r_30"," sdug bsngal kun  'byung de bzhin du // / +'gog dang lam ste de ltar na // / +de dag gi rim ba ni 'di yin no // / ","0.0#TD4036E.TXT.r#52137#52148#TD4036E.TXT.r_7831;TD4036E.TXT.r_7832# de ltar na re zhig nang dang  phyi rol gyi mi sdug pa'i sbyor ba la brten pa'i mos pa yid la byed pas khams rab tu dbye ba la 'jug pa'i phyir  lus la lus kyi rjes su lta zhing gnas par byed do // / ","0.017#TD4038.1E.TXT.r#2788710#2788710#TD4038.1E.TXT.r_12142# bsgoms pa las byung ba'i shes pa yang dag par brtsams pa'i phyir dang  rnam par dag par bya ba'i phyir nang gi lus la lus kyi rjes su lta zhing gnas pa nas rgyas par dran pa nye bar gzhag pa bzhi'i bar dag bsgom par rig par bya ste / / ","0.017#TD4061E.TXT.r#1526893#1526894#TD4061E.TXT.r_1947# 'di la dge slong nang gi lus la lus kyi rjes su lta zhing zhes rgyas par gsungs pa'i phyir ro // / ","0.017#TD4054E.TXT.r#1026750#1026750#TD4054E.TXT.r_5912;TD4054E.TXT.r_5913# nang dang phyi'i lus ni skye mched rnam par gzhag pa dang  rgyud rnam par gzhag pa brtsan par byas pa'i phyir  ro ; / / +lus la lus kyi rjes su blta bar gang / / ","0.019#TD4069E.TXT.r#657264#657264#TD4069E.TXT.r_4878;TD4069E.TXT.r_4879# lus dang sems yongs su gdung bar byed pa'i phyir ro // / +lus yongs su gdung bar byed pa'i phyir dang  sems yongs su gdung bar byed pa'i phyir ro // / ","0.024#TD4038.2E.TXT.r#3105798#3105798#TD4038.2E.TXT.r_1988# lus la sogs pa la lus la sogs par  rjes su lta zhing gnas pa'i kun nas nyon mongs pa dang  rnam par byang ba'i bden pa la don gyi mchog tu 'du shes pa gang yin pa de ni dang po'o // / "
"1052152","TD4090.2E.TXT.r_31"," de bzhin zhes bya ba'i sgra ni rang gi ngo bo ni sngar ji skad bshad ba de kho na bzhin no zhes rab tu bstan par bya ba'i phyir ro // / ","0.0#TD4036E.TXT.r#52147#52161#TD4036E.TXT.r_7831;TD4036E.TXT.r_7832;TD4036E.TXT.r_7833# de ltar na re zhig nang dang  phyi rol gyi mi sdug pa'i sbyor ba la brten pa'i mos pa yid la byed pas khams rab tu dbye ba la 'jug pa'i phyir  lus la lus kyi rjes su lta zhing gnas par byed do // / +de ltar mos par byed pa na yang dag pa'i yid la byed pas kyang 'di ltar nang dang  phyi rol gyi lus la lus kyi rjes su lta zhing gnas par byed de / / "
"1052165","TD4090.2E.TXT.r_33;TD4090.2E.TXT.r_34"," de dag ji ltar  mngon rtogs rim // / +bden pa gang zhig sngar mngon par rtogs pa de sngar bstan to // / ","0.0#TD4036E.TXT.r#52160#52172#TD4036E.TXT.r_7832;TD4036E.TXT.r_7833;TD4036E.TXT.r_7834;TD4036E.TXT.r_7835# de ltar mos par byed pa na yang dag pa'i yid la byed pas kyang 'di ltar nang dang  phyi rol gyi lus la lus kyi rjes su lta zhing gnas par byed de / / +bdag gi chu'i khams dang  me'i khams dang  sa'i khams dang  rlung gi khams  dang ; / ","0.017#TD4093.1E.TXT.r#786669#786672#TD4093.1E.TXT.r_3303;TD4093.1E.TXT.r_3304;TD4093.1E.TXT.r_3305# mig gi khams dang  gzugs kyi khams dang  mig gi rnam par shes pa'i khams dang zhes bya ba rgya cher 'byung ste / / +de la sa'i khams dang  chu'i khams dang  me'i khams dang  rlung gi khams dang  nam mkha'i khams  dang ; / ","0.019#TD4094.1E.TXT.r#1710490#1710495#TD4094.1E.TXT.r_1651;TD4094.1E.TXT.r_1652# dge slong 'di la lus 'di nyid kyi khams la so sor rtog ste / / +lus 'di la sa'i khams dang  chu'i khams dang   me'i khams dang  rlung gi khams dang  nam mkha'i khams dang  rnam par shes pa'i khams yod de zhes so sor rtog go // / ","0.019#TD4036E.TXT.r#26431#26434#TD4036E.TXT.r_4042;TD4036E.TXT.r_4044;TD4036E.TXT.r_4043;TD4036E.TXT.r_4045# khams drug po dag ste / / +sa'i khams dang   chu'i khams dang  me'i khams dang  rlung gi khams dang  nam mkha'i khams dang  rnam par shes pa'i khams so // / ","0.020#TD4090.1E.TXT.r#1599206#1599209#TD4090.1E.TXT.r_780;TD4090.1E.TXT.r_781# de bzhin du khams mang po la las khams drug cu rtsa gnyis bstan pa de dag kyang ci rigs par  bsdu par rig par bya'o // / +der gang dag sa'i khams dang  chu'i khams dang  me'i khams dang  rlung gi khams dang  nam mkha'i khams dang  rnam par shes pa'i khams drug bstan pa la / / ","0.022#TD4092.1E.TXT.r#1417140#1417142#TD4092.1E.TXT.r_1945;TD4092.1E.TXT.r_1946# kun dga' bo mig gi khams dang gzugs kyi khams dang mig gi rnam par shes pa'i khams zhes bya ba nas de bzhin du  yid kyi khams dang chos kyi khams dang yid kyi rnam par shes pa'i khams zhes bya ba'i bar du khams bco brgyad bo 'di dag yang dag pa ji lta ba bzhin du shes shing mthong na zhes bya ba dang khams drug kyang dag pa ji lta ba bzhin shes shing mthong ba yin te / / +sa'i khams  dang  chu'i khams dang  me'i khams dang  rlung gi khams dang  nam mkha'i khams dang rnam par shes pa'i khams zhes bya ba dang  khams gzhan drug kyang yang dag pa ji lta ba bzhin du shes shing mthong ba yin te / / ","0.022#TD4094.1E.TXT.r#1710170#1710172#TD4094.1E.TXT.r_1622;TD4094.1E.TXT.r_1623# khams drug gang zhe na / / +sa'i khams dang  chu'i khams dang  me'i khams dang  rlung gi khams dang  nam mkha'i khams dang  rnam par shes pa'i khams zhes bya ba ste / / ","0.024#TD4094.1E.TXT.r#1708037#1708039#TD4094.1E.TXT.r_1365;TD4094.1E.TXT.r_1366;TD4094.1E.TXT.r_1367# khams bco brgyad po 'di rnams yang dag pa ji lta ba bzhin shes shing mthong ba dang  yang khams drug yang dag pa ji lta ba bzhin shes shing mthong ste / / +sa'i khams dang  chu'i khams dang  me'i khams  dang ; / +rlung gi khams dang  nam mkha'i khams dang  rnam par shes pa'i khams 'di dag yang dag pa ji lta ba bzhin shes shing mthong ba dang  gzhan yang khams drug yang dag pa ji lta ba bzhin shes shing mthong ste / / "
"1052177","TD4090.2E.TXT.r_35"," de lta ma yin na rgyu ni sngar bstan la 'bras bu ni phyis bstan par 'gyur ro // / ","0.0#TD4036E.TXT.r#52173#52180#TD4036E.TXT.r_7834;TD4036E.TXT.r_7835;TD4036E.TXT.r_7836# nam mkha'i khams kyi par tshad med pa de dag la mos par byas pa de bas ni / / +bdag 'khor ba na 'khor ba'i tshe / / "
"1052185","TD4090.2E.TXT.r_36;TD4090.2E.TXT.r_37;TD4090.2E.TXT.r_38"," kha cig ni skye ba dang mthun pa bstan te / / +dper na dran pa nye bar gzhag pa  dang ; / +bsam gtan la sogs pa lta bu'o // / ","0.0#TD4036E.TXT.r#52181#52191#TD4036E.TXT.r_7836# ma shi ba dang  pha shi ba dag dang  phu nu dang  bu srid dang  nye du shi ba dag dang  longs spyod zad pa dang  nor zad pa dag na mchi ma rab tu zags shing mchi ma rgyud blags  pa dang  ma'i nu zho 'thungs pa dang  rkun po dang  lam 'gog pa dang  khyim 'bugs pa dang  mdud pa 'grol ba dag 'byung bas de lag pa bcad pa dang  rkang pa bcad pa dang  mgo bcad pa dang  sna bcad pa dang  yan lag dang  nying lag rnam pa sna tshogs dpag tu     // / "
"1052195","TD4090.2E.TXT.r_39;TD4090.2E.TXT.r_40"," kha cig ni rab tu brtag pa dang mthun par bstan te / / +dper na yang dag par spong ba rnams lta bu ste / / ","0.0#TD4036E.TXT.r#52190#52199#TD4036E.TXT.r_7836# ma shi ba dang  pha shi ba dag dang  phu nu dang  bu srid dang  nye du shi ba dag dang  longs spyod zad pa dang  nor zad pa dag na mchi ma rab tu zags shing mchi ma rgyud blags  pa dang  ma'i nu zho 'thungs pa dang  rkun po dang  lam 'gog pa dang  khyim 'bugs pa dang  mdud pa 'grol ba dag 'byung bas de lag pa bcad pa dang  rkang pa bcad pa dang  mgo bcad pa dang  sna bcad pa dang  yan lag dang  nying lag rnam pa sna tshogs dpag tu     // / "
"1052203","TD4090.2E.TXT.r_41;TD4090.2E.TXT.r_42"," gang sngar ni skyes pa rnams spang bar bya ba'i phyir 'dun pa skyed la / / +phyis ni ma skyes pa rnams    mi skye bar bya ba'i phyir 'dun bskyed pa'i nges pa 'di ni med do // / ","0.0#TD4036E.TXT.r#52198#52215#TD4036E.TXT.r_7836;TD4036E.TXT.r_7837# ma shi ba dang  pha shi ba dag dang  phu nu dang  bu srid dang  nye du shi ba dag dang  longs spyod zad pa dang  nor zad pa dag na mchi ma rab tu zags shing mchi ma rgyud blags  pa dang  ma'i nu zho 'thungs pa dang  rkun po dang  lam 'gog pa dang  khyim 'bugs pa dang  mdud pa 'grol ba dag 'byung bas de lag pa bcad pa dang  rkang pa bcad pa dang  mgo bcad pa dang  sna bcad pa dang  yan lag dang  nying lag rnam pa sna tshogs dpag tu     // / "
"1052220","TD4090.2E.TXT.r_43;TD4090.2E.TXT.r_44"," bden pa rnams ni mngon bar rtogs pa dang mthun par bstan pa yin no // / +ci'i phyir bden pa rnams de ltar mngon par rtogs she na / / ","0.0#TD4036E.TXT.r#52216#52227#TD4036E.TXT.r_7836;TD4036E.TXT.r_7837;TD4036E.TXT.r_7838# ma shi ba dang  pha shi ba dag dang  phu nu dang  bu srid dang  nye du shi ba dag dang  longs spyod zad pa dang  nor zad pa dag na mchi ma rab tu zags shing mchi ma rgyud blags  pa dang  ma'i nu zho 'thungs pa dang  rkun po dang  lam 'gog pa dang  khyim 'bugs pa dang  mdud pa 'grol ba dag 'byung bas de lag pa bcad pa dang  rkang pa bcad pa dang  mgo bcad pa dang  sna bcad pa dang  yan lag dang  nying lag rnam pa sna tshogs dpag tu     // / +med pa dag bcad pa nyams su myong bar gyur pa des na / / "
"1052232","TD4090.2E.TXT.r_45"," gang la chags pa dang  gang gis gnod pa byed pa dang  gang las thar pa don du gnyer ba'i sdug bsngal  gyi bden bde nyid la dang por rnam par dpyod pa'i gnas skabs na yongs su rtog la / / ","0.0#TD4036E.TXT.r#52228#52244#TD4036E.TXT.r_7838;TD4036E.TXT.r_7839;TD4036E.TXT.r_7840# khrag dpag tu med pa dag byung zhing rab tu zags par gyur ba gang yin pa de dag ches dpag tu med de / / "
"1052248","TD4090.2E.TXT.r_46"," phyis 'di'i rgyu ni gang zhig yin zhes kun 'byung gi bden pa la yongs su rtog go // / ","0.0#TD4036E.TXT.r#52243#52253#TD4036E.TXT.r_7839;TD4036E.TXT.r_7840;TD4036E.TXT.r_7841# mchi ma dang  'o ma dang  khrag gis yongs su zin pa'i chu'i khams kyi chu'i phung po gang yin pa de'i gan na / / +rgya mtsho chen po bzhi chus yongs su gang bas ni brgya'i char yang nye bar mi 'gro'o zhes bya ba nas rgyas par snga ma bzhin no // / "
