
"0","",""
"414765","TD4007E.TXT.r_1;TD4007E.TXT.r_2"," rgya gar skad du / / +karma a'a ba ra ni bi sho dha na bi dhi bh'a shyam n'a ma / / "
"414776","TD4007E.TXT.r_3;TD4007E.TXT.r_4;TD4007E.TXT.r_5"," bod skad du / / +las kyi sgrib pa rnam par sbyong ba'i cho ga bshad pa zhes bya ba / / +sangs rgyas dang byang chub  sems dpa' thams cad la phyag 'tshal lo // / "
"414790","TD4007E.TXT.r_6;TD4007E.TXT.r_7"," thub pa dri mas ma gos shing / / +ye shes dkyil 'khor rab gsal ba / / "
"414799","TD4007E.TXT.r_8;TD4007E.TXT.r_9"," gsung gi zer gyis 'gro kun gyi // / +sgrib pa med sred nyi ma rgyal // / "
"414810","TD4007E.TXT.r_10"," dpa' bo gang dag 'gro ba sdug bsngal gyi rgya mtsho yang bar bying ba rnams kyi sems phrogs shing de dag gdon par  'dod pa'i yid can dag gis byang chub la blo gzhol bar bya ste / / "
"414831","TD4007E.TXT.r_11"," de thob pa'i lam dam par zhugs la mi nyams par bya zhing ji ltar bya ba de 'phel bar 'gyur ba'i thabs la brtson par bya ste / / "
"414845","TD4007E.TXT.r_12"," gal te rkyen 'ga' zhig gis nyams par gyur na yang de ma thag tu phyir ldang ba'i thabs la 'bad par bya ste / / "
"414857","TD4007E.TXT.r_13"," pham pa'i  gnas lta bu'i chos spyad pas sdom pa slar blang ba dang  zag pa 'bring las gyur pa rnams gsum la bshags pa dang  chung ngu las gyur pa rnams gcig la bshags pa dang  de dag las lhag ma rnams rang gi sems kyis bsdom par bya ba rnams ji ltar spyad pa bzhin chos dang mthun par sor  chud par bya'o // / "
"414888","TD4007E.TXT.r_14"," de dag gis las kyi sgrib pa lhag mar gyur pa dag dang  gzhan yang thog ma med pa'i dus nas kun nas bsags pa'i sgrib pa stug po ji snyed pa rnams kyis byang chub chen po la gegs su mi 'gyur bar bya ba'i phyir thub pas gnang ba'i byang chub sems dpa'i ltung ba bshags pa'i    cho ga 'dis nyin mtshan dus drug tu bshags pa la 'bad par bya'o // / "
"414917","TD4007E.TXT.r_15"," de la yang gang la bdag gi sgrib pa rnams bshags par bya ba de dag la dpung gnyen du gzung ste / / "
"414926","TD4007E.TXT.r_16"," gus pas phyag 'tshal la gsol ba gdab par bya ba yin pas thog mar skyabs su 'gro ba ni / / "
"414937","TD4007E.TXT.r_17"," bdag ming 'di zhes bgyi ba sangs  rgyas la skyabs su mchi'o zhes bya ba la sogs pa ste / / "
"414945","TD4007E.TXT.r_18"," yang dag par rdzogs pa'i sangs rgyas dang  chos dang  de'i rjes su sgrub pa'i dge 'dun ni rim pa bzhin 'khor ba las rgal ba'i lam ston pa dang  lam dang  de sgrub pa'i grogs yin pa'i phyir ro // / "
"414962","TD4007E.TXT.r_19;TD4007E.TXT.r_20"," gzhan dbyig gi snying po dang  'phrog byed  dang ; / +seng ge dang  mthu bo che la sogs pa dang  ser skya dang  gzegs zan la sogs pa ni ma yin te / / "
"414976","TD4007E.TXT.r_21"," rang nyid srid pa'i btson ra mi bzad par las dang nyon mongs pa'i lcags sgrog dam pos bcings pa la sogs pa'i srin po 'jigs su rung ba bdag gis kun bcom pa'i phyir ro // / ","0.016#TD4015E.TXT.r#1971173#1971174#TD4015E.TXT.r_715# de bzhin du 'khor ba'i btson ra NA NYON MONGS PA'I LCAGS SGROG GI bcing bas bcings pa'i sems can rgya mtsho dag rdzu 'phrul dang kun brjod pa'i cho 'phrul gnyis kyis dad par byas nas / / "
"414994","TD4007E.TXT.r_22"," de bas na 'di  dag kyang srid pa'i btson ra nas thar pa sangs rgyas kho na la rag las pa'i phyir / / "
"415004","TD4007E.TXT.r_23"," sems dang ldan pa su zhig sangs rgyas la sogs pa bor te gzhan la skyabs su 'gro bar byed / / "
