
"0","",""
"320105","TD4009E.TXT.r_1;TD4009E.TXT.r_2"," rgya gar skad du / / +a'arya mah'a ratna k'u da dharma pa rya ya pa ri bartta sha ta sa ha sri ka k'a shya pa pa ri bartta t'i k'a / / "
"320122","TD4009E.TXT.r_3;TD4009E.TXT.r_4"," bod skad du / / +'phags pa dkon mchog brtsegs pa chen po chos kyi rnam grangs le'u stong phrag brgya pa las 'od srungs kyi le'u rgya cher 'grel pa / / ","0.0#TD4009E.TXT.r#348734#348741#TD4009E.TXT.r_3880;TD4009E.TXT.r_3881# 'phags PA DKON MCHOG BRTSEGS PA CHEN PO'I CHOS KYI RNAM GRANGS LE'U STONG PHRAG BRGYA PA LAS / / "
"320139","TD4009E.TXT.r_5;TD4009E.TXT.r_6"," 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / +'jig rten mgon po sdug bsngal mtsho rgal ba // / ","0.0#TD4000E.TXT.r#2794443#2794444#TD4000E.TXT.r_4;TD4000E.TXT.r_5# 'phags pa rnam par mi rtog par 'jug pa'i gzungs kyi rgya cher 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.0#TD4001E.TXT.r#1972593#1972594#TD4001E.TXT.r_4;TD4001E.TXT.r_5# 'phags pa s'a lu ljang pa rgya cher 'grel pa / / +'jam dpal gzhon nur  GYUR PA LA PHYAG 'TSHAL LO // / ","0.0#TD4046E.TXT.r#2195951#2195953#TD4046E.TXT.r_2;TD4046E.TXT.r_3# byang chub sems dpa'i tshul khrims kyi le'u rgya cher 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.021#TD4013E.TXT.r#610336#610337#TD4013E.TXT.r_4;TD4013E.TXT.r_5# 'phags pa bzang po spyod pa'i smon lam gyi rgyal po'i rgya cher 'grel pa / / +'phags pa 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.022#TD4083E.TXT.r#684104#684104#TD4083E.TXT.r_4;TD4083E.TXT.r_5# byang chub sems dpa'i sdom pa nyi shu pa'i dka' 'grel / / +byang chub sems dpa' 'jam DPAL GZHON NUR GYUR PA LA  phyag 'tshal lo // / ","0.023#TD4032E.TXT.r#1919783#1919783#TD4032E.TXT.r_4;TD4032E.TXT.r_5# dbus dang mtha' rnam par 'byed pa'i 'grel bshad / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.023#TD4065E.TXT.r#426517#426517#TD4065E.TXT.r_4;TD4065E.TXT.r_5# rab tu byed pa nyi shu pa'i 'grel bshad / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.025#TD4043E.TXT.r#355419#355420#TD4043E.TXT.r_5# tshig gi mnga' bdag 'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / ","0.026#TD4057E.TXT.r#1397682#1397682#TD4057E.TXT.r_4;TD4057E.TXT.r_5# nyi shu pa'i 'grel pa / / +'jam DPAL GZHON NUR GYUR PA LA PHYAG 'TSHAL LO // / "
"320150","TD4009E.TXT.r_7;TD4009E.TXT.r_8"," thugs rje che dang ldan la phyag 'tshal te // / +yang dag don  gyi rgyan gyis mdzes byas pa / / "
"320162","TD4009E.TXT.r_9;TD4009E.TXT.r_10;TD4009E.TXT.r_11"," dkon mchog brtsegs pa'i bshad pa brjod par bya / / +smras pa / / +khyod dkon mchog brtsegs pa 'chad 'dod do zhes zer na // / "
"320174","TD4009E.TXT.r_12;TD4009E.TXT.r_13"," chos kyi rnam grangs 'di dkon mchog brtsegs pa zhes btags pa ci / / +dgos pa de nyid ji bshad dgos so // / "
"320182","TD4009E.TXT.r_14;TD4009E.TXT.r_15;TD4009E.TXT.r_16"," smras pa / / +theg pa chen po'i chos  dkon mchog gi rnam pa thams cad bsdus pa'i phyir ro // / +theg pa chen po'i chos dkon mchog la chos dkon mchog gi rnam pa ji snyed pa de bsdus pa na / / "
"320197","TD4009E.TXT.r_17;TD4009E.TXT.r_18"," dkon mchog brtsegs pa zhes bya'o // / +brtsegs pa ni spungs pa dang  phung po dang  bcer ba zhes bya ba dang  don tha dad pa ma yin no // / "
"320207","TD4009E.TXT.r_19"," de la bcom  ldan 'das kyis byang chub sems dpa' rnams las brtsams nas theg pa chen por rnam pa bcu drug gis chos bstan te / / ","0.022#TD4009E.TXT.r#320316#320317#TD4009E.TXT.r_26;TD4009E.TXT.r_27# brda'i sdom pa la gnas pa'i rnam pa dang  don dam pa'i sdom pa la gnas pa'i rnam pa dang  de bzhin gshegs pas 'dul ba'i thabs kyi rnam pa dang  ldem po dag tu smras pa'i rnam pa dang  byang chub sems dpa'i sde snod gdams ngag la mos pa'i legs pa'i rnam pa ste / / +bcom ldan  'das KYIS BYANG CHUB SEMS DPA' RNAMS LAS BRTSAMS NAS THEG PA CHEN PO RNAM PA BCU DRUG PO 'di DAG GIS CHOS BSTAN TE / / "
"320220","TD4009E.TXT.r_20"," ji ltar byang chub sems dpa' sgrub pa na log par zhugs par 'gyur ba log par sgrub pa'i rnam pa dang  ji ltar byang chub sems dpa' sgrub pa yang dag par zhugs par 'gyur ba yang dag par     // / "
"320234","TD4009E.TXT.r_21"," sgrub pa'i rnam pa dang  yang dag par sgrub pa'i legs pa'i rnam pa dang  byang chub sems dpa' yang dag par sgrub pa la gnas pa / / "
"320242","TD4009E.TXT.r_22;TD4009E.TXT.r_23;TD4009E.TXT.r_24;TD4009E.TXT.r_25"," chos spyod pa / / +mnyam par spyod pa / / +dge ba spyod pa / / +chos la gnas pa'i tshul gyi rnam pa dang  byang chub sems dpa' la gnod par  sems pa dad pa yang dag par bskyed pa'i phyir dpe'i rnam pa dang  byang chub sems dpa' yang dag par sgrub pa la gnas pa'i bslab pa'i rnam pa dang  nyan thos kyi bslab pa dang  byang chub sems dpa'i bslab pa'i khyad par gyi rnam pa dang  byang chub sems dpa'i bslab pa la shin tu bslabs pa'i byang  chub sems dpa'i 'jig rten pa dang 'jig rten las 'das pa'i ye shes kyis gzhan gyi don bya ba'i rnam pa dang  byang chub sems dpa'i sde snod kyi gdams ngag de la nyan thos kyi bslab pa'i rnam pa dang  dge sbyong legs par ma bslabs pa'i rnam pa dang  dge sbyong legs par bslabs pa'i rnam  pa dang ; / ","0.018#TD4009E.TXT.r#320494#320494#TD4009E.TXT.r_50# NYAN THOS KYI BSLAB PA DANG BYANG CHUB SEMS DPA'I BSLAB PA'I KHYAD PAR GYI RNAM PAR bsdu bar rig par bya'o // / ","0.029#TD4009E.TXT.r#320310#320310#TD4009E.TXT.r_26# brda'i SDOM PA LA GNAS PA'I RNAM PA DANG  don dam pa'i SDOM PA LA GNAS PA'I RNAM PA DANG  de bzhin gshegs pas 'dul ba'i thabs kyi rnam pa dang  ldem po dag tu SMRAS PA'I RNAM PA DANG  BYANG CHUB SEMS DPA'I SDE SNOD gdams ngag la mos pa'i legs pa'i rnam pa ste / / "
