
"0","",""
"1396695","TD4023E.TXT.r_1"," chos dang chos nyid rnam par 'byed pa'i tshig le'ur byas pa bzhugs so //// / ","0.0#TD4045E.TXT.r#396695#396698#TD4045E.TXT.r_233;TD4045E.TXT.r_234# de dag gi gnas lta bu nyid chen po'i gnas ni 'di dag gi yang yin no // / +de lta bas na chos bzhi po 'di dag ni pham pa'i gnas lta bu zhes bya ste / / "
"1396703","TD4023E.TXT.r_2;TD4023E.TXT.r_3"," rgya gar skad du / / +dharm'a dharma t'a bi bham ga k'a ri k'a / / ","0.0#TD4045E.TXT.r#396699#396707#TD4045E.TXT.r_234;TD4045E.TXT.r_235# de lta bas na chos bzhi po 'di dag ni pham pa'i gnas lta bu zhes bya ste / / "
"1396712","TD4023E.TXT.r_4;TD4023E.TXT.r_5"," bod skad du / / +chos dang chos nyid rnam par 'byed pa'i tshig le'ur byas pa // / ","0.0#TD4045E.TXT.r#396708#396715#TD4045E.TXT.r_235;TD4045E.TXT.r_236# dper  na sdom pa'i tshul khrims chen po'i chos rnams ji lta ba bzhin du 'di dag kyang de dang 'dra ba'i phyir pham pa'i gnas lta bu zhes bya'i rnam pa thams cad du ni ma yin no zhes bya ba'i tshig ste / / ","0.020#TD4045E.TXT.r#396982#396982#TD4045E.TXT.r_276# byang chub sems dpas ni yang dag par blangs pa yongs su btang du zin kyang tshe 'di la byang chub sems dpa'i tshul khrims kyi sdom pa yang dag par blangs pa'i  phyir nod pa'i skal ba yod de zhes bya ba ni khyad par de gnyis yod pa kho na'i phyir pham pa'i gnas lta bu zhes bya'i de ma yin par gal te rnam pa thams cad du 'dra bar 'dod na ni pham pa'i chos rnams zhes brjod pa'i rigs so // / "
"1396720","TD4023E.TXT.r_6;TD4023E.TXT.r_7"," mgon po byams pa la phyag 'tshal lo // / +shes nas gang zhig yongs su spang bya zhing // / ","0.0#TD4045E.TXT.r#396716#396726#TD4045E.TXT.r_235;TD4045E.TXT.r_236;TD4045E.TXT.r_237# dper  na sdom pa'i tshul khrims chen po'i chos rnams ji lta ba bzhin du 'di dag kyang de dang 'dra ba'i phyir pham pa'i gnas lta bu zhes bya'i rnam pa thams cad du ni ma yin no zhes bya ba'i tshig ste / / +de ni 'og nas bstan to // / "
"1396731","TD4023E.TXT.r_8;TD4023E.TXT.r_9"," gzhan 'ga' zhig ni  mngon sum nyid du bya // / +des na de dag mtshan nyid rnam dbye ba // / ","0.0#TD4045E.TXT.r#396727#396739#TD4045E.TXT.r_237;TD4045E.TXT.r_238;TD4045E.TXT.r_239;TD4045E.TXT.r_240;TD4045E.TXT.r_241# nyan thos kyi theg pa ba bsnyen par rdzogs pas bslab pa ma phul  bar 'khrig pa'i chos bsten pas nyes pa thob pa gang yin pa de ni / / +rnyed pa dang bkur sti la lhag par zhen te / / "
"1396742","TD4023E.TXT.r_10;TD4023E.TXT.r_11"," byed par 'dod nas bstan bcos 'di brtsams so // / +'di dag thams cad mdor bsdu na // / ","0.0#TD4045E.TXT.r#396737#396747#TD4045E.TXT.r_239;TD4045E.TXT.r_240;TD4045E.TXT.r_241;TD4045E.TXT.r_242# bdag la stod pa dang gzhan la smod pas thob par 'gyur te / / +gzhan dag la yang de bzhin du ci rigs par sbyar ro // / "
"1396751","TD4023E.TXT.r_12;TD4023E.TXT.r_13;TD4023E.TXT.r_14"," rnam pa gnyis su shes bya ste // / +chos dang de bzhin chos nyid kyis // / +thams cad bsdus pa nyid phyir  ro ; / / ","0.0#TD4045E.TXT.r#396746#396755#TD4045E.TXT.r_241;TD4045E.TXT.r_242;TD4045E.TXT.r_243# sdug bsngal ba zhes bya ba ni snying rje'i gzhir  bstan to // / +bkren pa zhes bya ba la sogs pa'i tshig gzhan rnams ni de'i bye brag dang phyi ma phyi ma bye brag yin no // / "
"1396759","TD4023E.TXT.r_15;TD4023E.TXT.r_16;TD4023E.TXT.r_17"," de la chos kyis phye ba ni // / +'khor ba yin te chos nyid kyis // / +rab tu phye ba theg gsum gyi // / ","0.0#TD4045E.TXT.r#396754#396764#TD4045E.TXT.r_242;TD4045E.TXT.r_243;TD4045E.TXT.r_244;TD4045E.TXT.r_245# bkren pa zhes bya ba la sogs pa'i tshig gzhan rnams ni de'i bye brag dang phyi ma phyi ma bye brag yin no // / +zang zing mi gtong ba ni rgyu gsum las 'gyur te / / "
"1396768","TD4023E.TXT.r_18;TD4023E.TXT.r_19;TD4023E.TXT.r_20"," mya ngan las ni 'das pa'o // / +de la chos kyi mtshan nyid ni // / +gnyis dang ji ltar mngon brjod par // / ","0.0#TD4045E.TXT.r#396763#396772#TD4045E.TXT.r_244;TD4045E.TXT.r_245;TD4045E.TXT.r_246;TD4045E.TXT.r_247# sbyin par bya ba'i dngos po med pa'am / / +sbyin par bya ba'i dngos po yod du zin kyang slong ba po ma 'ongs pa'am / / "
"1396777","TD4023E.TXT.r_21;TD4023E.TXT.r_22;TD4023E.TXT.r_23"," snang ba yang dag ma yin pa'i // / +kun rtog pa ste  med snang phyir // / +des na yang dag ma yin pa'o // / ","0.0#TD4045E.TXT.r#396773#396781#TD4045E.TXT.r_246;TD4045E.TXT.r_247;TD4045E.TXT.r_248# slong ba po 'ongs su zin kyang legs par 'ongs pa ma yin pa ste / / +bye brag gsum po dag gis de med par ston to // / "
"1396786","TD4023E.TXT.r_24;TD4023E.TXT.r_25"," de yang thams cad don med cing // / +rtog tsam yin pas kun rtog pa'o // / ","0.0#TD4045E.TXT.r#396782#396790#TD4045E.TXT.r_248;TD4045E.TXT.r_249;TD4045E.TXT.r_250# legs par 'ongs pa ma yin pa ni sbyin pa'i le'u las dug la sogs pa sbyin par mi bya'o zhes sngar bstan pa bzhin te / / "
"1396795","TD4023E.TXT.r_26;TD4023E.TXT.r_27;TD4023E.TXT.r_28"," gzhan yang chos nyid mtshan nyid ni // / +gzung ba dang ni 'dzin pa dang / / +brjod par bya dang rjod par byed // / ","0.0#TD4045E.TXT.r#396791#396801#TD4045E.TXT.r_249;TD4045E.TXT.r_250;TD4045E.TXT.r_251# de med pa ni legs par 'ongs pa ma    yin no ; / / +chos kyi sbyin pa la yang rgyu rnam pa gsum po de dag nyid ci rigs par brjod par bya'o // / "
