
"0","",""
"1514125","TD4061E.TXT.r_1;TD4061E.TXT.r_2;TD4061E.TXT.r_3"," rgya gar skad du / / +by'a khy'a yukti / / +bod skad du / / ","0.0#TD4016.1E.TXT.r#514125#514128#TD4016.1E.TXT.r_8398# 'jig rten gyi  khams gzhan gyi 'jig rten gyi khams gzhan dang dus gzhan dag gi gang yin pa de dag ni chos la brten nas rnam par gzhag pa yin te 'phags pa shes rab kyi pha rol tu phyin pa'i 'grel pa dang sbyar na yang de las dris lan dag yod de / / "
"1514133","TD4061E.TXT.r_4;TD4061E.TXT.r_5;TD4061E.TXT.r_6"," rnam par bshad pa'i rigs pa / / +bam po dang po // / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.0#TD4016.1E.TXT.r#514129#514139#TD4016.1E.TXT.r_8398;TD4016.1E.TXT.r_8399# 'jig rten gyi  khams gzhan gyi 'jig rten gyi khams gzhan dang dus gzhan dag gi gang yin pa de dag ni chos la brten nas rnam par gzhag pa yin te 'phags pa shes rab kyi pha rol tu phyin pa'i 'grel pa dang sbyar na yang de las dris lan dag yod de / / "
"1514144","TD4061E.TXT.r_7;TD4061E.TXT.r_8"," blo ldan rnams kyi spyi la  bzhugs // / +gti mug gnyid gnyis zad phyir dang / / ","0.0#TD4016.1E.TXT.r#514140#514148#TD4016.1E.TXT.r_8398;TD4016.1E.TXT.r_8399;TD4016.1E.TXT.r_8400# 'jig rten gyi  khams gzhan gyi 'jig rten gyi khams gzhan dang dus gzhan dag gi gang yin pa de dag ni chos la brten nas rnam par gzhag pa yin te 'phags pa shes rab kyi pha rol tu phyin pa'i 'grel pa dang sbyar na yang de las dris lan dag yod de / / +de'i phyir de nyid las sems can thams cad kyi sems ma  lus par mkhyen par rung ngam / / "
"1514152","TD4061E.TXT.r_9;TD4061E.TXT.r_10"," blo rgyas phyir na sangs rgyas pa // / +thub la spyi bos phyag 'tshal te // / ","0.0#TD4016.1E.TXT.r#514147#514163#TD4016.1E.TXT.r_8399;TD4016.1E.TXT.r_8400;TD4016.1E.TXT.r_8401;TD4016.1E.TXT.r_8402# de'i phyir de nyid las sems can thams cad kyi sems ma  lus par mkhyen par rung ngam / / +gal te mkhyen na ni sems can la mtha' yod par 'gyur ro // / "
"1514160","TD4061E.TXT.r_11;TD4061E.TXT.r_12"," gang dag bdag pas blo chung ba // / +mdo rnams 'chad 'dod de dag la // / "
"1514168","TD4061E.TXT.r_13;TD4061E.TXT.r_14"," de la phan par bya ba'i phyir // / +man ngag cung zad bstan par bya / / ","0.0#TD4016.1E.TXT.r#514164#514171#TD4016.1E.TXT.r_8402;TD4016.1E.TXT.r_8403;TD4016.1E.TXT.r_8404;TD4016.1E.TXT.r_8405# ci'i phyir sangs rgyas la thams cad mkhyen pa zhes bya zhe na / / +smras pa / / "
"1514176","TD4061E.TXT.r_15"," mdo  rnam par 'chad par 'dod pas thog mkho nar thos pa mang ba dang  thos pa'i gzhi can dang  thos pa bsags par bya'o // / ","0.0#TD4016.1E.TXT.r#514172#514184#TD4016.1E.TXT.r_8405;TD4016.1E.TXT.r_8406;TD4016.1E.TXT.r_8407# gyi sems dang sems las 'byung ba'i chos ni ma lus par mkhyen par rung ste / / "
"1514189","TD4061E.TXT.r_16"," ji ltar na thos pa mang ba dang  thos pa'i gzhi can dang  thos pa bsags pa yin zhe na / / ","0.0#TD4016.1E.TXT.r#514185#514193#TD4016.1E.TXT.r_8407;TD4016.1E.TXT.r_8408;TD4016.1E.TXT.r_8409# mdo dag las ji skad du bden par smra ba rnams kyi nang na sangs rgyas ni mchog go zhes gsungs pa lta bu'o // / +gal te sems can thams cad kyi sems  mkhyen cing mtha' brnyes pa ma yin na / / "
"1514197","TD4061E.TXT.r_17"," chos gang dag thog mar dge ba zhes bya ba mdo las  rgya cher ji skad bstan pa lta bu'o // / ","0.0#TD4016.1E.TXT.r#514192#514204#TD4016.1E.TXT.r_8408;TD4016.1E.TXT.r_8409;TD4016.1E.TXT.r_8410;TD4016.1E.TXT.r_8411# gal te sems can thams cad kyi sems  mkhyen cing mtha' brnyes pa ma yin na / / +bcom ldan 'das kyis ci'i phyir ma lus par mkhyen zhes gsungs / / "
"1514207","TD4061E.TXT.r_18;TD4061E.TXT.r_19"," de la chos ni mdo la sogs pa ste / / +rigs pa ston pa'i don dang  don phyin ci ma log par nges par 'dzin pa'i don gyis so // / ","0.0#TD4016.1E.TXT.r#514202#514221#TD4016.1E.TXT.r_8410;TD4016.1E.TXT.r_8411;TD4016.1E.TXT.r_8412;TD4016.1E.TXT.r_8413# thams cad mkhyen pa'i gang zag ces kyang mi bya ste / / +'di ltar bcom ldan 'das kyi gsung ni yang dag pa'i bden pa yin la gdon mi za bar thams cad mkhyen pa'i gang zag  kyang yod pa yin no // / "
