
"0","",""
"756649","TD4079E.TXT.r_1;TD4079E.TXT.r_2;TD4079E.TXT.r_3"," rgya gar skad du / / +pradzny'a p'a ra mi ta au pa de sha / / +bod skad du / / ","0.024#TD4078E.TXT.r#679530#679530#TD4078E.TXT.r_1;TD4078E.TXT.r_2# RGYA GAR SKAD DU / / +pradzny'a P'A RA MI TA BH'A BA NA AU PA DE SHA / / ","0.029#TD4056E.TXT.r#2960595#2960595#TD4056E.TXT.r_1;TD4056E.TXT.r_2# RGYA GAR SKAD DU / / +bing sha ka k'a ri ka / / "
"756657","TD4079E.TXT.r_4;TD4079E.TXT.r_5;TD4079E.TXT.r_6"," shes rab kyi pha rol tu phyin pa'i man ngag / / +dkon mchog gsum pa phyag 'tshal lo // / +byang chub sems dpa' 'jig rten dbang phyug la phyag 'tshal lo // / "
"756668","TD4079E.TXT.r_7;TD4079E.TXT.r_8"," stobs bcur ldan pa gang gi zhabs kyi rdul // / +lha rnams cod pan gyis ni     // / "
"756677","TD4079E.TXT.r_9;TD4079E.TXT.r_10"," btung gyur la // / +thar sgor mchod yon me tog rdul lta bur // / "
"756686","TD4079E.TXT.r_11;TD4079E.TXT.r_12"," shes ldan rnams kyis mgos brgyan rgyal gyur cig / / +gser bzang sbyangs pa dang ni mtshungs pa yi // / "
"756697","TD4079E.TXT.r_13;TD4079E.TXT.r_14"," 'od 'phro'i dkyil 'khor gyi ni mtshan gyur la // / +thugs ni yon tan sna tshogs kyis brgyan pa // / "
"756708","TD4079E.TXT.r_15;TD4079E.TXT.r_16"," rnam dag gsungs ldan sangs rgyas phyag 'tshal  lo ; / +pha rol rgol ba'i thar pa srid phyogs gcig / / "
"756720","TD4079E.TXT.r_17;TD4079E.TXT.r_18"," nyan thos thar pa srid zad zad mi 'gyur // / +srid dang mya ngan 'das las gyung drung la // / "
"756732","TD4079E.TXT.r_19"," mnga' brnyes mthar thug go 'phang thub chen gyi // / "
"756740","TD4079E.TXT.r_20;TD4079E.TXT.r_21"," khar ba'i snod bzhin srid pa ma dag dang / / +dman par gyur kyang shel ltar dag zhi dang / / "
"756749","TD4079E.TXT.r_22;TD4079E.TXT.r_23"," 'od dang nyi 'od khyad 'phags yon tan gyis // / +bla gyur byang chub zhi  dang de bzhin no / / "
"756761","TD4079E.TXT.r_24;TD4079E.TXT.r_25"," yon tan rgya mtsho skyon bsal srid gcod cing // / +rtag tu 'jig rten phan pa gcig pu'i rgyu // / "
"756772","TD4079E.TXT.r_26;TD4079E.TXT.r_27"," bla med byang chub don du dpa' bo rnams // / +dman pa'i go 'phang dor nas don du gnyer // / "
"756783","TD4079E.TXT.r_28"," pha rol phyin pa'i tshul la yun ring dka' bas 'bras bur smin // / "
"756791","TD4079E.TXT.r_29;TD4079E.TXT.r_30"," sngags tshul dka' ba med par myur du byang chub reg par 'gyur // / +'di ni brtson  'grus 'bar ba'i stobs ldan lam ni dang po ste // / "
"756806","TD4079E.TXT.r_31;TD4079E.TXT.r_32"," dad pas rnam par 'phel ba'i blo can rnams la cig shos yin // / +byang chub phyir ni shin tu dka' bas yun rings spyod byed pa // / "
"756818","TD4079E.TXT.r_33;TD4079E.TXT.r_34"," thub pa rnams kyi sras po de ni dpa' bo yin snyam byed // / +go 'phang de nyid myur du bde ba ster bar byed pa'i sngags // / "
"756829","TD4079E.TXT.r_35"," bde gshegs rin chen de ni sus rig de ni  skal bzang po // / "
"756837","TD4079E.TXT.r_36;TD4079E.TXT.r_37"," gang gis bcom ldan pha rol phyin mchog ma // / +nyin re bzhin du bsgoms par gyur pa yis // / "
"756848","TD4079E.TXT.r_38;TD4079E.TXT.r_39"," de yi lag na pha rol phyin pa lnga // / +gnas shing sngags kyang rab tu 'grub par byed // / "
"756859","TD4079E.TXT.r_40;TD4079E.TXT.r_41"," 'di ni dkon mchog gsum la gcig tu skyabs su song ba / / +dad pa dang brtse bar ldan par byang chub tu sems bskyed pa byang chub sems dpa'i  sdom pa blangs pas / / "
"756873","TD4079E.TXT.r_42;TD4079E.TXT.r_43"," tshogs bsags pa'i phyir dang  bsags pa yongs su thob par bya ba'i phyir // / +bcom ldan 'das ma shes rab kyi pha rol tu phyin ma thos pa las byung ba dang  bsams pa las byung ba'i shes rab bskyed de / / "
"756890","TD4079E.TXT.r_44;TD4079E.TXT.r_45"," bsgom par bya'o // / +de la byang chub sems dpa'i sde snod dang  shes rab kyi pha rol tu phyin pa la sogs pa'i  mdo sde gzhan nam / / "
"756901","TD4079E.TXT.r_46"," mdo sde du ma'i phyogs 'ga' las btus te bsdus pa 'di la yang rung ste / / "
"756909","TD4079E.TXT.r_47"," de dag nyid legs par mnyan pa dang  bdag nyid kyis kyang legs par cung zad tshig dang don brtags te / / "
"756918","TD4079E.TXT.r_48"," sgra dang don gyi 'brel pa'i sgrub pas yang dag par nges pa dang 'dzin pa ni thos pa las byung ba'i shes rab bo // / "
"756928","TD4079E.TXT.r_49;TD4079E.TXT.r_50"," gcig tu dben par    gnas nas / / +don de nyid yang dag pa nyid kyi rigs pas rnam par dpyad la // / "
"756937","TD4079E.TXT.r_51"," rigs pa'i sgrub pa nges don de bden pa nyid dang  yang dag pa nyid du de kho na ltar yin gyi gzhan du ma yin no zhes gcig tu nges pa ni // / "
