
"0","",""
"1962999","TD4028E.TXT.r_1;TD4028E.TXT.r_2"," rgya gar skad du / / +dha rma dha rma t'a bi bham ga bri tti / / ","0.0#TD4034.1E.TXT.r#962999#963005#TD4034.1E.TXT.r_9397;TD4034.1E.TXT.r_9398;TD4034.1E.TXT.r_9399# gong du bdag dang gzhan gyi don la zhugs pas kun nas nyon mongs pa med par bya ba'i thabs de kho na nyid kyi don rtogs par bya ba'i phyir byang chub tu mos par bya'o zhes bshad do // / +de la byang chub tu mos pa'i rjes la mthu'i dga' ba yid     // / "
"1963010","TD4028E.TXT.r_3;TD4028E.TXT.r_4;TD4028E.TXT.r_5"," bod skad du / / +chos dang chos nyid rnam par 'byed pa'i 'grel pa / / +bcom ldan 'das ma pham pa la phyag 'tshal lo // / ","0.0#TD4034.1E.TXT.r#963006#963015#TD4034.1E.TXT.r_9398;TD4034.1E.TXT.r_9399;TD4034.1E.TXT.r_9400# de la byang chub tu mos pa'i rjes la mthu'i dga' ba yid     // / +la byed pa'i skabs bshad cing 'brel bas na / / "
"1963020","TD4028E.TXT.r_6;TD4028E.TXT.r_7"," ma pham gang gis sgra bzhin don 'dzin pa'i // / +'khrul pas  'jig rten lam gol song mkhyen nas // / ","0.0#TD4034.1E.TXT.r#963016#963027#TD4034.1E.TXT.r_9400# de ltar kun nas nyon mongs pa med kyang mthu dang mi ldan na ni bdag dang gzhan gyi don sgrub mi nus kyi mthu dang ldan na gdod sgrub nus pas na byang chub la mos pa'i 'og tu mthu'i dga' ba yid la byed pa bstan par 'brel to // / "
"1963032","TD4028E.TXT.r_8;TD4028E.TXT.r_9"," bstan pa bsdu ba mdzad de 'di gsungs pa // / +bla ma de la thal sbyar rab btud nas // / ","0.0#TD4034.1E.TXT.r#963028#963048#TD4034.1E.TXT.r_9400;TD4034.1E.TXT.r_9401# de ltar kun nas nyon mongs pa med kyang mthu dang mi ldan na ni bdag dang gzhan gyi don sgrub mi nus kyi mthu dang ldan na gdod sgrub nus pas na byang chub la mos pa'i 'og tu mthu'i dga' ba yid la byed pa bstan par 'brel to // / +de la pha rol tu phyin pa drug spyod pa'i dus na bdag la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya ste mthu rnam pa bzhi ni 'og nas 'byung ngo // / ","0.0#TD4034.1E.TXT.r#963115#963121#TD4034.1E.TXT.r_9409;TD4034.1E.TXT.r_9408# bdag nyid la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya'o zhes bya ba'i don to // / "
"1963044","TD4028E.TXT.r_10;TD4028E.TXT.r_11"," bla ma rnams las thos nas de nyid kyis // / +gnang bas tshig bsdus bstan bcos 'di yi don // / ","0.027#TD4034.1E.TXT.r#963116#963116#TD4034.1E.TXT.r_9409# bdag nyid la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya'o zhes bya ba'i don to // / "
"1963053","TD4028E.TXT.r_12;TD4028E.TXT.r_13"," zab mo nyid ni cung zad  tshig re nas // / +rang nus nyid kyis rnam par dbye phyir 'bad // / ","0.0#TD4034.1E.TXT.r#963049#963058#TD4034.1E.TXT.r_9401;TD4034.1E.TXT.r_9402# de la pha rol tu phyin pa drug spyod pa'i dus na bdag la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya ste mthu rnam pa bzhi ni 'og nas 'byung ngo // / +de ltar mthu dang ldan na bdag sangs rgyas kyi chos yongs su smin par bya ba dang  sems can  yongs su smin pa la skyo ba med de / / "
"1963063","TD4028E.TXT.r_14"," gang phyir shes nas 'ga' zhig spang bya zhing // / ","0.0#TD4034.1E.TXT.r#963059#963066#TD4034.1E.TXT.r_9402;TD4034.1E.TXT.r_9403;TD4034.1E.TXT.r_9404# de ltar mthu dang ldan na bdag sangs rgyas kyi chos yongs su smin par bya ba dang  sems can  yongs su smin pa la skyo ba med de / / "
"1963071","TD4028E.TXT.r_15;TD4028E.TXT.r_16"," gzhan 'ga' zhig ni mngon sum nyid bya ba // / +des na de dag mtshan nyid sgo nas ni // / ","0.0#TD4034.1E.TXT.r#963067#963076#TD4034.1E.TXT.r_9403;TD4034.1E.TXT.r_9404;TD4034.1E.TXT.r_9405# de bas na de'i 'og tu nges par mi skyo ba'i yid la byed pa bshad do // / +de ltar skyo ba med na bla na med pa'i byang chub thob par bya ba'i phyir / / "
"1963081","TD4028E.TXT.r_17;TD4028E.TXT.r_18"," rnam dbye 'dod pas bstan bcos 'di byas so // / +gang  phyir shes nas 'ga' zhig spang bya zhing // / ","0.0#TD4034.1E.TXT.r#963077#963090#TD4034.1E.TXT.r_9404;TD4034.1E.TXT.r_9405;TD4034.1E.TXT.r_9406# de ltar skyo ba med na bla na med pa'i byang chub thob par bya ba'i phyir / / +pha rol tu phyin pa'i mi mthun pa'i phyogs ser sna la sogs pa spang ba dang  gnyen po sbyin pa la sogs pa sgrub pa yid  la byed pa rnam pa bzhi yid la byed do // / ","0.029#TD4026E.TXT.r#292108#292108#TD4026E.TXT.r_2971# byang chub dam pa thob par 'gyur ba'i phyir mi mthun pa'i phyogs dang gnyen po la sgrub pa rnam pa  bzhi yid la byed pa ni sbyin pa la sogs pa'i mi mthun pa'i phyogs ser sna la sogs pa so sor 'chags pa dang  gnyen po sbyin pa la sogs pa la rjes su yi rang ba dang  de'i ched kyi chos bshad pa'i phyir sangs rgyas la gsol ba gdab pa dang  de dag byang chub tu bsngo ba'o // / "
"1963095","TD4028E.TXT.r_19;TD4028E.TXT.r_20"," gzhan 'ga' zhig ni mngon sum nyid bya ba // / +zhes bya ba ni rim pa ji lta ba bzhin du kun nas nyon mongs pa'i mtshan nyid kyis chos dang  rnam par byang ba'i mtshan nyid kyi gnas yongs su gyur pas rab tu phye ba'i chos nyid  kyi dbang du byas te gsungs pa'o // / ","0.0#TD4034.1E.TXT.r#963091#963108#TD4034.1E.TXT.r_9405;TD4034.1E.TXT.r_9406;TD4034.1E.TXT.r_9407;TD4034.1E.TXT.r_9408# pha rol tu phyin pa'i mi mthun pa'i phyogs ser sna la sogs pa spang ba dang  gnyen po sbyin pa la sogs pa sgrub pa yid  la byed pa rnam pa bzhi yid la byed do // / +de bas na nges par mi skyo ba yid la byed pa'i rjes la mi mthun pa dang  gnyen po sgrub pa yid la byed pa bzhi bstan to // / "
"1963113","TD4028E.TXT.r_21"," de dag mtshan nyid kyi sgo nas rnam par dbye zhes bya ba ni yul tha dad pa'i sgo nas ni ma yin no zhes bya ba'i don no // / ","1.192#TD4034.1E.TXT.r#963038#963042#TD4034.1E.TXT.r_9401# de la pha rol tu phyin pa drug spyod pa'i dus na bdag la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya ste mthu rnam pa bzhi ni 'og nas 'byung ngo // / "
"1963126","TD4028E.TXT.r_22;TD4028E.TXT.r_23;TD4028E.TXT.r_24"," lhag ma ni don go bar zad do // / +smras pa / / +de dag mtshan nyid sgo nas ni rnam par dbye // / ","0.0#TD4034.1E.TXT.r#963122#963132#TD4034.1E.TXT.r_9409;TD4034.1E.TXT.r_9410# bdag nyid la mthu rnam pa bzhi yod par mthong nas dga' ba ni mthu'i dga' ba yid la byed pa zhes bya'o zhes bya ba'i don to // / +mthu rnam pa bzhi ni mi mthun pa'i phyogs spangs pa dang zhes bya ba la pha rol tu phyin pa drug gi mi mthun pa'i phyogs ni ser sna dang  ngan pa'i ngang tshul dang   khong khro ba la sogs pa ste / / ","1.788#TD4034.2E.TXT.r#2958072#2958074#TD4034.2E.TXT.r_12442# de mi mthun pa'i phyogs kyi chos dang ma 'dres pa'i phyir zhes bya ba la pha rol tu phyin pa drug gi mi mthun pa'i phyogs ni  ser sna dang ngan pa'i ngang tshul la sogs pa ste / / "
"1963137","TD4028E.TXT.r_25"," zhes bya ba ci  re zhig chos dang chos nyid de dag nyid rnam par dbye'i gzhan ni ma yin nam / / ","0.0#TD4034.1E.TXT.r#963133#963142#TD4034.1E.TXT.r_9410;TD4034.1E.TXT.r_9411;TD4034.1E.TXT.r_9412# mthu rnam pa bzhi ni mi mthun pa'i phyogs spangs pa dang zhes bya ba la pha rol tu phyin pa drug gi mi mthun pa'i phyogs ni ser sna dang  ngan pa'i ngang tshul dang   khong khro ba la sogs pa ste / / "
"1963146","TD4028E.TXT.r_26;TD4028E.TXT.r_27"," 'on te 'di dag tsam du zad pa yin zhe na / / +brjod pa mang po rnams las bkol nas gnyis su rnam par dbye ba byed pa ni ma yin no // / ","0.0#TD4034.1E.TXT.r#963141#963163#TD4034.1E.TXT.r_9411;TD4034.1E.TXT.r_9412;TD4034.1E.TXT.r_9413;TD4034.1E.TXT.r_9414;TD4034.1E.TXT.r_9415# sbyin pas ni ser sna sel nus par mthong / / +tshul khrims kyis ni ngan pa'i ngang tshul gyi dri ma sel nus par mthong / / "
"1963159","TD4028E.TXT.r_28;TD4028E.TXT.r_29"," 'o na ci zhe na / / +bcom ldan 'das kyis  phung po dang  khams dang  skye mched la sogs pa rnam par gzhag pa gang yin pa de mdor bsdus pas / / "
"1963168","TD4028E.TXT.r_30;TD4028E.TXT.r_31;TD4028E.TXT.r_32"," 'di thams cad ni gnyis te / / +ci'i phyir zhe na / / +chos dang chos nyid kyis bsdus pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#963164#963172#TD4034.1E.TXT.r_9414;TD4034.1E.TXT.r_9415;TD4034.1E.TXT.r_9416# brtson 'grus kyis ni le lo sel nus par mthong / / +bsam gtan gyis ni sems gyeng  ba sel nus par mthong / / "
"1963177","TD4028E.TXT.r_33;TD4028E.TXT.r_34;TD4028E.TXT.r_35;TD4028E.TXT.r_36"," phung po dang  khams dang skye mched la     // / +sogs pa de ni / / +bsdu na rnam pa gnyis su 'gyur te / / +'di lta ste / / ","0.0#TD4034.1E.TXT.r#963173#963180#TD4034.1E.TXT.r_9416;TD4034.1E.TXT.r_9417# shes rab kyis ni rtag pa dang chad par 'dzin pa la sogs 'chal pa'i shes rab sel nus par mthong ste / / "
"1963185","TD4028E.TXT.r_37;TD4028E.TXT.r_38"," chos dang chos nyid do // / +de la 'di zhes smos pa ni gang zhig bstan pa 'di nyid du bshad pa de gzung ba'i don du'o // / ","0.0#TD4034.1E.TXT.r#963181#963193#TD4034.1E.TXT.r_9416;TD4034.1E.TXT.r_9417;TD4034.1E.TXT.r_9418;TD4034.1E.TXT.r_9419# shes rab kyis ni rtag pa dang chad par 'dzin pa la sogs 'chal pa'i shes rab sel nus par mthong ste / / +'di ni mthu rnam pa gcig go // / "
"1963198","TD4028E.TXT.r_39;TD4028E.TXT.r_40;TD4028E.TXT.r_41"," thams cad smos pa yang de yang 'di tsam nyid do // / +zhes bstan pa'i don du yin te / / +de las gzhan ni 'di nyid du 'dus pa'i phyir ram med pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#963194#963209#TD4034.1E.TXT.r_9419;TD4034.1E.TXT.r_9420;TD4034.1E.TXT.r_9421;TD4034.1E.TXT.r_9422# pha rol tu phyin pa drug spyod pa ni bsod nams dang ye shes kyi tshogs bsags shing smin    par mthong ste / / ","0.018#TD4034.1E.TXT.r#965598#965599#TD4034.1E.TXT.r_9714# de la sbyin pa dang tshul khrims dang bzod pa gsum bsags pas ni bsod nams kyi tshogs su 'gyur / / "
"1963213","TD4028E.TXT.r_42;TD4028E.TXT.r_43"," de ltar khyad par med par brjod nas / / +gang zhig gang gis bsdus zhes 'khor ba dang mya ngan las 'das pa dag gis rnam par dbye ba mi shes so zhe na / / ","0.0#TD4034.1E.TXT.r#963208#963221#TD4034.1E.TXT.r_9421;TD4034.1E.TXT.r_9422;TD4034.1E.TXT.r_9423;TD4034.1E.TXT.r_9424# spyin pa dang  tshul khrims dang  bzod pa dang gsum spyad pas ni bsod nams kyi tshogs sogs par mthong / / +bsam gtan dang shes rab gnyis spyad pas ni ye shes kyi tshogs sogs par mthong / / "
"1963226","TD4028E.TXT.r_44;TD4028E.TXT.r_45;TD4028E.TXT.r_46"," de'i  phyir gsungs pa ni / / +chos kyis rab tu phye ba ni 'khor ba'o // / +de la chos ni kun nas nyon mongs pa'i mtshan nyid can yin pa'i phyir de'i rang bzhin 'khor ba ni chos kyis rab tu phye ba zhes brjod do // / ","0.0#TD4034.1E.TXT.r#963222#963238#TD4034.1E.TXT.r_9423;TD4034.1E.TXT.r_9424;TD4034.1E.TXT.r_9425;TD4034.1E.TXT.r_9426;TD4034.1E.TXT.r_9427;TD4034.1E.TXT.r_9428# brtson 'grus spyad pas ni gnyis ka'i tshogs bsags pa  mthong ba ste / / +'di ni mthu rnam pa gnyis so // / "
