
"0","",""
"425369","TD4003E.TXT.r_1;TD4003E.TXT.r_2"," rgya gar skad du / / +a'arya aa ti dznya na s'u tra by'a khy'a na / / ","0.013#TD4004E.TXT.r#105301#105307#TD4004E.TXT.r_1;TD4004E.TXT.r_2;TD4004E.TXT.r_3# RGYA GAR SKAD DU / / +a'arya AA TI DZNY'A NA MA h'a y'a na s'u tra britti / / ","0.024#TD4060E.TXT.r#680388#680389#TD4060E.TXT.r_1;TD4060E.TXT.r_2# RGYA GAR SKAD DU / / +by'a khy'a yukti s'u tra khanda sha tam / / "
"425378","TD4003E.TXT.r_3;TD4003E.TXT.r_4"," bod skad du / / +'phags pa 'da' ka ye shes kyi mdo'i rnam par bshad pa / / "
"425386","TD4003E.TXT.r_5;TD4003E.TXT.r_6"," dpal rnam par snang mdzad la phyag 'tshal lo // / +ma skyes stong pa'i rnam pa nyid // / "
"425394","TD4003E.TXT.r_7;TD4003E.TXT.r_8"," skye ba bstan pas snang mdzad pa // / +rnam par snang mdzad thugs rje can // / "
"425404","TD4003E.TXT.r_9;TD4003E.TXT.r_10"," longs spyod rdzogs sku phyag 'tshal te // / +nges pa don gyi mdo sde yi // / "
"425413","TD4003E.TXT.r_11;TD4003E.TXT.r_12"," rnam par bshad pa tsam bya yis // / +ma nor  nges pa'i lam 'dod rnams // / "
"425421","TD4003E.TXT.r_13;TD4003E.TXT.r_14"," tshul 'di la ni 'jug par gyis // / +dgos 'brel gyi don klad du ma bstan na rtogs pa dang ldan pa dag 'jug par mi 'gyur bas de bstan te / / "
"425435","TD4003E.TXT.r_15"," 'da' ka ye shes zhes bya ba de bzhin gshegs pa rnams kyi thugs kyi gsang ba'i mdzod 'di ni brjod par  bya'o ; / / "
"425445","TD4003E.TXT.r_16;TD4003E.TXT.r_17"," de ston pa'i tshig gi tshogs ni rjod par byed pa'o // / +de brjod pas de'i don khong du chud ba ni dgos pa'o // / "
"425455","TD4003E.TXT.r_18"," de'i don khong du chud pas sems rtogs pa'i ye shes sangs rgyas nyid thob pa de ni dgos pa mthar phyin pa'o // / "
"425464","TD4003E.TXT.r_19;TD4003E.TXT.r_20"," 'brel pa ni mi 'byung ba'i phyir de nyid shugs las  shes par bya'o // / +'di skad bdag gis thos pa dus gcig na / / ","0.027#TD4094.1E.TXT.r#1698171#1698171#TD4094.1E.TXT.r_25;TD4094.1E.TXT.r_26# 'di ltar / / +'di SKAD BDAG GIS THOS PA DUS GCIG NA / / ","0.029#TD4094.1E.TXT.r#1750832#1750833#TD4094.1E.TXT.r_6677;TD4094.1E.TXT.r_6678# lta ba drug cu rtsa gnyis ni  tshangs pa'i dra ba las ji skad du 'byung ba bzhin te zhes bya ba la / / +'di SKAD BDAG GIS THOS PA DUS GCIG NA BCOM ldan 'das dge slong gi dge 'dun brgya phrag phyed dang bcu gsum dang  dge bsnyen stong dang  slong mo za ba lnga brgya dang lhan cig tu ma ga dh'a na ljongs rgyu zhing gshegs te / / ","0.029#TD4094.1E.TXT.r#1798139#1798139#TD4094.1E.TXT.r_12398;TD4094.1E.TXT.r_12399# 'di ltar las rnam par 'byed pa chen po'i mdo las  'dod chags dang bral ba rnams la 'og ma 'dod pa la dmigs pa'i lta ba kun du 'byung bar gsungs zhes bya ba la // / +'di SKAD BDAG GIS THOS PA DUS GCIG NA BCOM ldan 'das rgyal po'i khab kyi smyug ma'i chal bya ka lan da ka gnas pa na bzhugs te / / ","0.029#TD4029E.TXT.r#2133808#2133808#TD4029E.TXT.r_1765;TD4029E.TXT.r_1766# de la gang du zhes bya ba ni ji skad du mdo gzhan de dang de dag las / / +'di SKAD BDAG GIS THOS PA  dus gcig na bcom ldan 'das rgyal po'i khab na bzhugs zhes gsungs pa lta bu ste / / "
"425477","TD4003E.TXT.r_21;TD4003E.TXT.r_22"," bcom ldan 'das 'og min lha'i rgyal po'i khang bzangs na bzhugs te / / +'khor thams cad la chos ston pa dang zhes bya bas ni phun sum tshogs pa'i gleng gzhi bstan te / / "
"425490","TD4003E.TXT.r_23"," de la 'di skad bdag gis thos pa dus gcig na  zhes bya ba ni / / ","0.019#TD4094.1E.TXT.r#1750831#1750832#TD4094.1E.TXT.r_6677;TD4094.1E.TXT.r_6678# lta ba drug cu rtsa gnyis ni  tshangs pa'i dra ba las ji skad du 'byung ba bzhin TE ZHES BYA BA LA / / +'di SKAD BDAG GIS THOS PA DUS GCIG NA BCOM ldan 'das dge slong gi dge 'dun brgya phrag phyed dang bcu gsum dang  dge bsnyen stong dang  slong mo za ba lnga brgya dang lhan cig tu ma ga dh'a na ljongs rgyu zhing gshegs te / / ","0.020#TD4094.1E.TXT.r#1798138#1798139#TD4094.1E.TXT.r_12398;TD4094.1E.TXT.r_12399# 'di ltar las rnam par 'byed pa chen po'i mdo las  'dod chags dang bral ba rnams la 'og ma 'dod pa la dmigs pa'i lta ba kun du 'byung bar gsungs ZHES BYA BA LA // / +'di SKAD BDAG GIS THOS PA DUS GCIG NA BCOM ldan 'das rgyal po'i khab kyi smyug ma'i chal bya ka lan da ka gnas pa na bzhugs te / / "
"425498","TD4003E.TXT.r_24;TD4003E.TXT.r_25"," sdud pa po'i thos pa che ba nyid du bstan te / / +bcom ldan 'das 'og min lha'i rgyal po'i khang bzangs na bzhugs te zhes pa ni / / "
"425510","TD4003E.TXT.r_26;TD4003E.TXT.r_27"," ston pa phun sum tshogs pa dang  gnas kyi yan lag bstan te / / +de yang ston pa ni longs spyod rdzogs pa'i skur shes par bya'o // / "
"425522","TD4003E.TXT.r_28;TD4003E.TXT.r_29"," de yang  lang kar gshegs pa'i mdo las / / +lha yi pho brang 'og min po // / "
