
"0","",""
"2958696","TD4031E.TXT.r_20;TD4031E.TXT.r_21"," ming rgyu mtshan la sogs pa lnga ni mi bzhag ste / / +gzhung  nas brjod byar ma bzhag pa dang  'byor ba'i don tshul bla na med pa ma yin pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#958699#958708#TD4034.1E.TXT.r_8851;TD4034.1E.TXT.r_8852# da ltar gyi chos skyes pa rnams kyang skad cig ma yin pas skad cig ma skyes ma thag tu 'gag go // / "
"2958713","TD4031E.TXT.r_22;TD4031E.TXT.r_23"," 'o na gang yin zhe na / / +'byor ba'i don tshul bla med gyur ba lnga yi bdag nyid ston par byed // / ","0.0#TD4034.1E.TXT.r#958709#958720#TD4034.1E.TXT.r_8852;TD4034.1E.TXT.r_8853;TD4034.1E.TXT.r_8854;TD4034.1E.TXT.r_8855# skad cig ma gnyis dang gsum la sogs par mi gnas pa'i phyir te / / "
"2958725","TD4031E.TXT.r_24"," ces bya ba de gong ma dang sbyar ba dang  'og ma dang sbyar ba gnyis byams pa'i dgongs pa yin la / / ","0.0#TD4034.1E.TXT.r#958721#958728#TD4034.1E.TXT.r_8854;TD4034.1E.TXT.r_8855;TD4034.1E.TXT.r_8856# yang na mu stegs pa grangs can pa rnams kyis / / +chos rnams skye nas tha gi zang gcig tu gnas te / / "
"2958733","TD4031E.TXT.r_25;TD4031E.TXT.r_26"," gong ma  dang sbyar ba ni bla ma brgyud pa las shes te / / +de dbyig gnyen gyis ma bshad do // / ","0.0#TD4034.1E.TXT.r#958729#958738#TD4034.1E.TXT.r_8855;TD4034.1E.TXT.r_8856;TD4034.1E.TXT.r_8857;TD4034.1E.TXT.r_8858# chos rnams skye nas tha gi zang gcig tu gnas te / / +'gog go zhes btags ba zhes yod pa ma yin pas na rang bzhin med pa zhes bya'o // / "
"2958743","TD4031E.TXT.r_27;TD4031E.TXT.r_28"," dbyig gnyen gyis 'og ma dang sbyar ba'i bshad pa 'di yin te / / +gang la bslab par bya ba'i yul theg pa chen po bkar bsgrub pa dang  sems bskyed kyi yul skyabs su 'gro ba mchog tu bsgrub pa dang  nya bar len pa'i rgyu theg pa chen po'i rigs bsgrub pa bstan te bsgrub par bya ba gsum bsdus pa yin no // / ","0.0#TD4034.1E.TXT.r#958739#958749#TD4034.1E.TXT.r_8857;TD4034.1E.TXT.r_8858;TD4034.1E.TXT.r_8859;TD4034.1E.TXT.r_8860;TD4034.1E.TXT.r_8861# 'dzin pa bzhin du de med par // / +ngo bo nyid ni med par 'dod // / +ces bya ba la / / ","0.0#TD4034.1E.TXT.r#958749#958758#TD4034.1E.TXT.r_8860;TD4034.1E.TXT.r_8861;TD4034.1E.TXT.r_8862;TD4034.1E.TXT.r_8863;TD4034.1E.TXT.r_8864# ji ltar  byis pa so so'i skye bo rnams kyis rtag pa dang  bde ba dang  bdag dang  gtsang ba dang bdag zhe'am / / +gzhan zhe'am / / ","0.0#TD4034.1E.TXT.r#958758#958769#TD4034.1E.TXT.r_8863;TD4034.1E.TXT.r_8864;TD4034.1E.TXT.r_8865# sgra zhes kun du brtags te / / +gzung ba'i chos kun brtags kyi mtshan nyid la ji ltar rtag pa la sogs pa lta bu gzung ba ste / / "
"2958773","TD4031E.TXT.r_29;TD4031E.TXT.r_30"," bye brag tu shes par bya ba ni gnyis te / / +sems bskyed dang  rang dang gzhan gyi don phun sum tshogs pa bye brag tu shes par bya'o // / ","0.0#TD4034.1E.TXT.r#958768#958779#TD4034.1E.TXT.r_8864;TD4034.1E.TXT.r_8865;TD4034.1E.TXT.r_8866;TD4034.1E.TXT.r_8867;TD4034.1E.TXT.r_8868# gzung ba'i chos kun brtags kyi mtshan nyid la ji ltar rtag pa la sogs pa lta bu gzung ba ste / / +de ltar rang bzhin    yod pa ma yin pas na ngo bo nyid med pa zhes bya'o // / "
"2958784","TD4031E.TXT.r_31;TD4031E.TXT.r_32"," bsam par bya ba ni gnyis te / / +zab pa'i de kho na  dang  rgya che ba thabs la mkhas pa'i de kho na'o / / ","0.0#TD4034.1E.TXT.r#958780#958790#TD4034.1E.TXT.r_8867;TD4034.1E.TXT.r_8868;TD4034.1E.TXT.r_8869# zhi ba rang bzhin med pa dang / / +gnas pa rang bzhin med pa dang / / "
"2958792","TD4031E.TXT.r_33;TD4031E.TXT.r_34"," bsam gyis mi khyab pa la gnyis te / / +mngon par shes pa la sogs pa'i mthu bsam gyis mi khyab pa dang  dga' ba dang dad pa la sogs pa bdag dang gzhan yongs su smin pa bsam gyis mi khyab pa'o // / ","0.0#TD4034.1E.TXT.r#958787#958800#TD4034.1E.TXT.r_8869;TD4034.1E.TXT.r_8870;TD4034.1E.TXT.r_8871# ji ltar gzung ba rang bzhin med pas na chos thams cad rang bzhin med bar 'dod do zhes bya ba'i don to // / "
"2958804","TD4031E.TXT.r_35;TD4031E.TXT.r_36"," yongs su grub  pa'i don ni gcig ste / / +mngon par byang chub par mthar thug pa nyid do // / ","0.0#TD4034.1E.TXT.r#958799#958808#TD4034.1E.TXT.r_8870;TD4034.1E.TXT.r_8871;TD4034.1E.TXT.r_8872# rang bzhin rnam pa gsum po 'di dag  ni 'dus byas kyi mtshan nyid rnam pa gsum dang ldan par rig par bya'o zhes bya ba la / / "
"2958812","TD4031E.TXT.r_37;TD4031E.TXT.r_38"," 'di ji ltar shes par byed pa gang yin zhe na / / +sgrub pa'i skabs zhes smos pa'i phyir dang  mthar yang / / ","0.0#TD4034.1E.TXT.r#958807#958818#TD4034.1E.TXT.r_8872;TD4034.1E.TXT.r_8873# rang gi bdag nyid du dngos po med pa dang  bdag gi dngos po la mi gnas pa gsum po 'di dag ni 'dus byas kyi mtshan nyid rnam pa gsum dang ldan te / / "
"2958822","TD4031E.TXT.r_39;TD4031E.TXT.r_40"," nyes pa kun gyi dri med pa // / +rnam pa thams cad mkhyen nyid 'thob // / ","0.0#TD4034.1E.TXT.r#958817#958826#TD4034.1E.TXT.r_8872;TD4034.1E.TXT.r_8873# rang gi bdag nyid du dngos po med pa dang  bdag gi dngos po la mi gnas pa gsum po 'di dag ni 'dus byas kyi mtshan nyid rnam pa gsum dang ldan te / / +da rang nyid dngos po med pas skye  ba rang bzhin med par bstan pas rang gi bdag nyid du dngos po med pa med pas ni 'jig pa rang bzhin med pa bstan / / "
"2958830","TD4031E.TXT.r_41;TD4031E.TXT.r_42;TD4031E.TXT.r_43"," rin chen snod ni phye ba ltar // / +sangs rgyas nyid ni yang dag bstan // / +zhes 'byung ba'i phyir ro // / ","0.0#TD4034.1E.TXT.r#958825#958843#TD4034.1E.TXT.r_8873;TD4034.1E.TXT.r_8874;TD4034.1E.TXT.r_8875;TD4034.1E.TXT.r_8876# da rang nyid dngos po med pas skye  ba rang bzhin med par bstan pas rang gi bdag nyid du dngos po med pa med pas ni 'jig pa rang bzhin med pa bstan / / "
"2958839","TD4031E.TXT.r_44;TD4031E.TXT.r_45;TD4031E.TXT.r_46"," de nyid kyi phyir na / / +sdom ni dang po sgrub skyabs rigs // / +de bzhin du ni sems bskyed dang / / ","0.028#TD4009E.TXT.r#335371#335371#TD4009E.TXT.r_2037;TD4009E.TXT.r_2038# kun brtags dang gzhan gyi dbang gi rang bzhin gyis ni med la yongs su grub pa'i  rang bzhin gyis ni yod par yongs su ston pa'i phyir ro // / +de ni ma byung ba'o zhes bya ba ni rgyu'i dngos por ro // / "
"2958848","TD4031E.TXT.r_47;TD4031E.TXT.r_48"," rang gzhan don dang de nyid don // / +mthu dang yongs smin byang chub po // / ","0.0#TD4034.1E.TXT.r#958844#958851#TD4034.1E.TXT.r_8875;TD4034.1E.TXT.r_8876;TD4034.1E.TXT.r_8877# 'dzin pa bzhin du de med pa'i phyir ngo bo nyid med pa ste / / +de med pas ni rang bzhin med pa'o  zhes bya ba la // / "
"2958856","TD4031E.TXT.r_49;TD4031E.TXT.r_50"," zhes tshigs su bcad nas / / +gang la bslab par bya ba'i yul  yongs su rdzogs pa'i don bstan pa'o // / ","0.0#TD4034.1E.TXT.r#958852#958860#TD4034.1E.TXT.r_8877;TD4034.1E.TXT.r_8878# so so'i skye bo rnams kyis gtsang ba dang rtag pa la sogs brtags pa bzhin du bde ba dang gtsang ba'i rang bzhin med pa'i phyir ngo bo nyid med pa zhes bya ste / / "
"2958865","TD4031E.TXT.r_51;TD4031E.TXT.r_52;TD4031E.TXT.r_53"," de la ji ltar bslab par bya zhe na / / +mos pa mang ba nyid dang ni // / +chos tshol ba dang ston pa dang / / ","0.0#TD4034.1E.TXT.r#958861#958870#TD4034.1E.TXT.r_8877;TD4034.1E.TXT.r_8878# so so'i skye bo rnams kyis gtsang ba dang rtag pa la sogs brtags pa bzhin du bde ba dang gtsang ba'i rang bzhin med pa'i phyir ngo bo nyid med pa zhes bya ste / / +'di'i skabs su yang bde ba dang gtsang bar kun du brtags pa'i kun brtags kyi mtshan nyid med pa nyid rang bzhin med pa zhes bya'o // / "
"2958874","TD4031E.TXT.r_54;TD4031E.TXT.r_55;TD4031E.TXT.r_56;TD4031E.TXT.r_57"," de bzhin sgrub pa dang yang dag pa'i // / +gdams ngag rjes su bstan pa yin // / +zhes bya ba gsungs te / / +mgon pos chu bo'i 'gros lta bu'i bshad pa ni  'di yin te / / ","0.0#TD4034.1E.TXT.r#958868#958884#TD4034.1E.TXT.r_8878;TD4034.1E.TXT.r_8879;TD4034.1E.TXT.r_8880;TD4034.1E.TXT.r_8881;TD4034.1E.TXT.r_8882# 'di'i skabs su yang bde ba dang gtsang bar kun du brtags pa'i kun brtags kyi mtshan nyid med pa nyid rang bzhin med pa zhes bya'o // / "
"2958888","TD4031E.TXT.r_58"," thog mar theg pa chen po mchog tu grub pa las brtsams nas mos pa 'byung ngo // / ","0.0#TD4034.1E.TXT.r#958883#958892#TD4034.1E.TXT.r_8880;TD4034.1E.TXT.r_8881;TD4034.1E.TXT.r_8882;TD4034.1E.TXT.r_8883;TD4034.1E.TXT.r_8884# rang bzhin gyis mya ngan las 'das pa'i don bstan pa'i phyir / / +rang bzhin med pas grub pa ni // / "
"2958897","TD4031E.TXT.r_59;TD4031E.TXT.r_60;TD4031E.TXT.r_61"," mos pa las / / +chos tshol ba 'byung ngo // / +de ston par byed pa dge ba'i bshes gnyen la rag las pas chos ston pa'o // / ","0.0#TD4034.1E.TXT.r#958893#958902#TD4034.1E.TXT.r_8883;TD4034.1E.TXT.r_8884;TD4034.1E.TXT.r_8885;TD4034.1E.TXT.r_8886# skye med 'gog med thog ma nas // / +zhi dang rang bzhin mya ngan 'das // / "
"2958907","TD4031E.TXT.r_62;TD4031E.TXT.r_63"," de nas sgrub pa nan tan du bya ba yin / / +bsgrub pa'i skabs zhes  rang ming nas smos pa'i phyir bsgrub par bya ba'i don yin no // / ","0.0#TD4034.1E.TXT.r#958903#958914#TD4034.1E.TXT.r_8886;TD4034.1E.TXT.r_8887;TD4034.1E.TXT.r_8888# chos rnams kyi rang  bzhin med par gyur pas na skye ba med pas na rang bzhin gyis mya ngan las 'das par grub ste / / "
