
"0","",""
"889545","TD4034.1E.TXT.r_36;TD4034.1E.TXT.r_37"," chos nyid kyis rnyed pa ste / / +de dang ldan pas byang chub sems dpa' rnams bla na med pa yang dag par rdzogs pa'i byang chub tu 'tshang rgya ba'i skal ba yod pa'o // / ","0.010#TD4029E.TXT.r#2124509#2124509#TD4029E.TXT.r_571# skye mched drug gi khyad par thog ma med pa'i dus can gdon mi za BAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par  'tshang RGYA BA'I SKAL BA CAN gang yin pa de lta bu yod do // / ","0.010#TD4037E.TXT.r#1362153#1362154#TD4037E.TXT.r_6209# de ni rkyen dang phrad na nges PAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par    rdzogs PAR 'TSHANG RGYA BA'I SKAL BA CAN yin pa'i phyir ro // / ","0.016#TD4037E.TXT.r#1321161#1321161#TD4037E.TXT.r_752# bdag nyid KYANG BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur zhing / / ","0.017#TD4036E.TXT.r#2039#2039#TD4036E.TXT.r_137# BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya ba yin te / / ","0.017#TD4037E.TXT.r#1363213#1363213#TD4037E.TXT.r_6367;TD4037E.TXT.r_6368# dus chen po ni bskal pa grangs med pa gsum po gang yin pa'i dus des / / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya ba'o // / ","0.017#TD4016.2E.TXT.r#2314090#2314090#TD4016.2E.TXT.r_370# nams KYANG BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB THOB par mi 'gyur ro zhes gsungs pa dang  gzhan yang bstan bcos yongs su 'dzin pa las rigs can ma yin pa de dag ni rigs med pa'i phyir sems bskyed nas nan tan brtson 'grus  spyad kyang nges PAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par rdzogs par 'tshang rgya bar mi 'gyur ro zhes bstan te / / ","0.017#TD4038.2E.TXT.r#3131912#3131912#TD4038.2E.TXT.r_5497# gal te dgra bcom pa byang chub tu yongs su 'grub par gyur PA BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur na / / ","0.017#TD4037E.TXT.r#1318009#1318009#TD4037E.TXT.r_278# kye ma BDAG BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar gyur cig / / ","0.017#TD4053E.TXT.r#2991195#2991195#TD4053E.TXT.r_3572# de la khyad par can ma yin pa ni kye  ma'o BDAG BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par rdzogs par 'tshang rgya bar shog shig snyam pa'o // / ","0.017#TD4034.1E.TXT.r#904199#904201#TD4034.1E.TXT.r_1818# sa bon de dang ldan pas gdon mi za BAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU 'TSHANG RGYA BA'I SKAL BA YOD PA'O // / ","0.018#TD4037E.TXT.r#1380529#1380529#TD4037E.TXT.r_8515;TD4037E.TXT.r_8516# dge ba'i rtsa ba rnams kyis rgyas par gyur na / / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur te / / ","0.018#TD4016.3E.TXT.r#218424#218425#TD4016.3E.TXT.r_555;TD4016.3E.TXT.r_556# rgyal po'i pho brang du skye ste / / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya zhing / / ","0.018#TD4016.1E.TXT.r#508709#508709#TD4016.1E.TXT.r_7761;TD4016.1E.TXT.r_7762# 'ching ba gnyis kyi bar du spangs pa'i phyir ro // / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur ba zhes bya ba ni / / ","0.018#TD4016.2E.TXT.r#2391823#2391823#TD4016.2E.TXT.r_9593# rigs kyi bu de LTAR BYANG CHUB SEMS DPAS NANG gi zhi gnas dang lhag mthong la yang  dag par bsgrubs pa'i phyir BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur ro zhes bya ba ni gnyis pa spyi'i mjug bsdu ba ste / / ","0.018#TD4037E.TXT.r#1359312#1359312#TD4037E.TXT.r_5782;TD4037E.TXT.r_5783# yang de las gzhan pa'i sems can rnams byang chub dang rnam par grol ba thun mong du 'gyur ba'i 'dod pa  bskyed pa'i phyir / / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar byed do // / ","0.018#TD4044E.TXT.r#381874#381875#TD4044E.TXT.r_89# rigs yod na ni dus gzhan na sems  bskyed pa la sogs pa byas NAS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya ba'i phyir ro // / ","0.018#TD4038.2E.TXT.r#3107849#3107849#TD4038.2E.TXT.r_2277;TD4038.2E.TXT.r_2278# so so'i skye bo kho nar 'gyur bzhin du grub pa dang bde ba bla na med pa'i mya ngan las 'das pa 'thob par yang 'gyur // / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar yang 'gyur ro // / ","0.018#TD4038.2E.TXT.r#3107904#3107905#TD4038.2E.TXT.r_2283;TD4038.2E.TXT.r_2284# 'ching ba de gnyis las ma grol na bden ba mthong bas grub pa dang bde ba bla na med pa'i mya ngan las 'das pa 'thob par yang mi 'gyur // / +bla NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par  rdzogs par 'tshang rgya bar yang mi 'gyur ro // / ","0.018#TD4010E.TXT.r#2254248#2254248#TD4010E.TXT.r_3017# gang gi tshe dge ba'i bshes  gnyen tshol ba dang  sri zhu bya ba dang  gyog bya ba la yid mi skyo bar gyur pa de'i tshe bde BAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par 'tshang rgya bar 'gyur te / / ","0.018#TD4011E.TXT.r#352328#352328#TD4011E.TXT.r_430# gang yang ma byon pa'i dus phyi ma'i mtha'i mur thug par gyur pa'i sangs rgyas bcom ldan 'das 'jig  rten gyi sgron ma phyogs bcu'i 'jig rten gyi khams kyi mtha' gtugs pa gzhan dang gzhan na bzhugs pa bgrang ba las 'das pa sangs rgyas kyi ye shes kyi spyod yul du gyur pa rnams skad cig so sor dus mtshungs pa kho NAR BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par  rdzogs par 'tshang rgya ba dang  de bzhin du gzhan dag dus mtshungs pa kho nar chos kyi 'khor lo bskor ba dang  de bzhin du gzhan dag mya ngan 'das pa ston par 'gyur ba de dag gi drung du ste / / ","0.018#TD4013E.TXT.r#618711#618711#TD4013E.TXT.r_1101# 'dod chen pa ni gang dag byang chub tu sems bskyed nas mthar gyis tshogs yongs su rdzogs par byas te BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya zhing mngon    par sangs rgyas nas kyang sems can gyi don du sems can gyi khams ji srid du bzhugs pa'o // / ","0.019#TD4016.2E.TXT.r#2342997#2342997#TD4016.2E.TXT.r_3734# des sngar ni dmigs pa rnam pa gnyis thob pa yin la des da ltar ni lam mthong ba yin pa'i phyir yang dngos po'i mtha'i dmigs pa thob pa yin te zhes bya ba NAS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur ro zhes gsungs pa dang   gzhan yang dgos pa yongs su grub pa'i dmigs pa yang 'thob ste zhes gsungs pa yin te / / ","0.019#TD4053E.TXT.r#3000570#3000570#TD4053E.TXT.r_4761# yongs su mi shes pa la sogs pa la nyes dmigs kyi mtshan nyid ni mi  grol ba NAS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang mi rgya pa'i bar du'o // / ","0.019#TD4038.2E.TXT.r#3107998#3107998#TD4038.2E.TXT.r_2295# rnam par grol ba yin pa dang  'ching ba de gnyi ga las  rnam par grol na grub pa dang bde ba bla na med pa'i mya ngan las 'das pa 'thob par 'gyur ba dang  BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar yang 'gyur ba de'i phyir // / ","0.019#TD4038.2E.TXT.r#3117239#3117239#TD4038.2E.TXT.r_3679# BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur ro // / ","0.022#TD4016.3E.TXT.r#227544#227544#TD4016.3E.TXT.r_1746# bdag ni gal te sems can gcig sdug bsngal las thar bar bya ba'i phyir yang nyin mtshan bskal pa chen po dang mnyam pa dag gi 'gro ba gzhan du mi gnas pas sems  can dmyal ba kho nar gnas pas dus ji srid cig GIS BYANG CHUB SEMS DPA' RNAMS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya bar 'gyur ba'i dus de nyid bye brag 'bum 'gyur gyis srid kyis / / ","0.022#TD4037E.TXT.r#1348196#1348196#TD4037E.TXT.r_4406# bzod pa'i ngo bo nyid la sogs pa rnam par dag pa'i bzod pa la thug pa'i bzod pa rgya che zhing tshad med la byang chub chen po'i 'bras bu 'byung ba 'di dag la brten NA BYANG CHUB SEMS DPA' BLA NA MED PA  YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par rdzogs par 'tshang rgya bar 'gyur ro // / ","0.022#TD4037E.TXT.r#1348322#1348322#TD4037E.TXT.r_4423# nyin mtshan bskal pa chen po stong dang mnyam pa dag gi 'gro ba gzhan du mi gnas par sems can dmyal ba  kho nar gnas pas dus ji srid cig GIS BYANG CHUB SEMS DPA' RNAMS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par rdzogs par 'tshang rgya bar 'gyur ba'i dus de nyid bye ba phrag 'bum 'gyur srid kyis bdag GIS BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB THOB par 'gyur ba  lta na yang bdag spro bar byed de / / ","0.022#TD4037E.TXT.r#1362223#1362223#TD4037E.TXT.r_6219# de dag ma byas NA BYANG CHUB SEMS DPA' BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB TU mngon par rdzogs PAR 'TSHANG RGYA BA'I SKAL BA MED PAR 'gyur te / / ","0.026#TD4044E.TXT.r#381860#381860#TD4044E.TXT.r_88# rigs med na gzhan yod na yang rnam pa thams cad du BLA NA MED PA YANG DAG PAR RDZOGS PA'I BYANG CHUB mngon par rdzogs par 'tshang rgya ba med pa nyid yin la / / "
"889556","TD4034.1E.TXT.r_38"," yang dag par bsgrub pa'i  rigs ni ma nges pa'i rigs can rnams dge ba'i bshes gnyen bsten pa dang  sngon dge ba'i rtsa ba la goms par byas pas las nges pa'i rigs su gyur pa ste / / "
"889571","TD4034.1E.TXT.r_39;TD4034.1E.TXT.r_40"," skabs 'dir ni gnyi ga la bya bar rigs so // / +de la    rang bzhin la gnas pa'i rigs ni 'bras bu ma grub cing ma byung ba'o // / "
"889583","TD4034.1E.TXT.r_41"," de la rigs kyi 'bras bu ni byang chub tu sems bskyed pa dang  pha rol tu phyin pa drug la spyod pa ste / / "
"889591","TD4034.1E.TXT.r_42"," byang chub tu sems ma bskyed pa pha rol tu phyin par spyod pa la ma zhugs na rigs yod par mi rtog  pas na phra ba yin no // / "
"889601","TD4034.1E.TXT.r_43;TD4034.1E.TXT.r_44"," yang dag par bsgrub pa'i rigs ni 'bras bu dang bcas pa rags pa zhes bya ste / / +rang bzhin gyi rigs la ltos nas / / "
"889611","TD4034.1E.TXT.r_45;TD4034.1E.TXT.r_46"," de tsam du zab pa dang phra ba ma yin pas rags pa zhes bya'o // / +rigs de dang ldan pa'i byang chub sems dpa' rnams nyan thos  dang rang sangs rgyas las kyang 'phags pa yin na / / "
"889624","TD4034.1E.TXT.r_47;TD4034.1E.TXT.r_48"," so so'i skye bo gzhan la lta ci smos te / / +de bas na rigs de ni bla na med pa mchog khyad par can zhes bya'o // / "
"889633","TD4034.1E.TXT.r_49;TD4034.1E.TXT.r_50;TD4034.1E.TXT.r_51"," de ci'i phyir zhe na / / +gnyis po 'di dag ni mdor na rnam par dag par bya ba ste / / +nyon mongs pa'i sgrib pa las  rnam par dag par bya ba dang  shes bya'i sgrib pa las rnam par dag par bya ba'o // / "
"889647","TD4034.1E.TXT.r_52;TD4034.1E.TXT.r_53"," de la nyan thos dang rang sangs rgyas kyi rigs can dag ni / / +nyon mongs pa'i sgrib pa las rnam par dag pa tsam du zad de / / "
"889656","TD4034.1E.TXT.r_54;TD4034.1E.TXT.r_55"," shes bya'i sgrib pa las rnam par dag pa ni ma yin no // / +byang  chub sems dpa'i rigs can dag ni / / "
"889665","TD4034.1E.TXT.r_56;TD4034.1E.TXT.r_57"," nyon mongs pa'i sgrib pa dang  shes bya'i sgrib pa gnyi ga las rnam par grol ba / / +de bas na mchog khyad par can bla na med par rig par bya'o // / "
"889675","TD4034.1E.TXT.r_58;TD4034.1E.TXT.r_59"," yang rnam pa bzhis byang chub sems dpa' rnams nyan thos dang rang sangs rgyas  las khyad par du 'phags par rig par bya ste / / +bzhi po de gang zhe na / / ","0.015#TD4037E.TXT.r#1316696#1316700#TD4037E.TXT.r_69;TD4037E.TXT.r_70# gzhan yang BYANG CHUB SEMS DPA' NI rnam pa bzhis NA NYAN THOS DANG RANG SANGS RGYAS RNAMS LAS KHYAD PAR DU 'PHAGS PAR RIG PAR BYA STE / / ","0.029#TD4025E.TXT.r#2167236#2167236#TD4025E.TXT.r_232;TD4025E.TXT.r_233# byis pa so so'i skye bo rnams kyi ni nyon mongs pa'i sgrib pas ma dag pa'o // / +nyan THOS DANG RANG SANGS RGYAS RNAMS kyi ni shes bya'i sgrib pas dri ma    dang ma bral ba'o // / ","0.029#TD4028E.TXT.r#1965504#1965504#TD4028E.TXT.r_389;TD4028E.TXT.r_390# de la khyad par yongs su shes pa ni rnam par mi rtog pa dang  nyi tshe ba ma yin pa nyid dang  mi gnas pa nyid dang  gtan du ba nyid dang  bla na med pa nyid dang  khyad par rnam pa lngas so // / +shes pa de ni khyad par  rnam pa lngas nyan thos dang  rang sangs rgyas rnams KYI LAS KHYAD PAR DU 'PHAGS PAS SO // / "
"889685","TD4034.1E.TXT.r_60;TD4034.1E.TXT.r_61"," dbang po dang  rab tu sgrub ba dang  mkhas pa dang  'bras bu'o // / +de la dbang po'i khyad par ni byang chub sems dpa' rnams ni rang bzhin gyis dbang po rno'o // / "
"889697","TD4034.1E.TXT.r_62;TD4034.1E.TXT.r_63"," rang sangs rgyas rnams ni rang bzhin  gyis dbang po 'bring ngo // / +nyan thos rnams ni rang bzhin gyis dbang po tha ma'o // / "
"889706","TD4034.1E.TXT.r_64"," rab tu sgrub pa'i khyad par ni nyan thos dang rang sangs rgyas dag bdag la phan pa dang bde ba bya ba'i phyir zhugs shing sgrub pa'o // / "
"889717","TD4034.1E.TXT.r_65;TD4034.1E.TXT.r_66"," byang chub sems dpa' dag ni bdag la phan pa dang  gzhan la     // / +phan pa dang  'gro ba mang po la phan pa dang  'gro ba mang po la bde ba dang  'jig rten la snying brtse ba dang  lha dang mi'i skye bo mang po'i don dang  bde ba dang  phan pa'i phyir rab tu zhugs pa yin pas na / / ","0.0#TD4038.2E.TXT.r#3109326#3109328#TD4038.2E.TXT.r_2474# blo gros yangs pa khyod de ltar skye BO MANG PO LA PHAN PA DANG  skye BO MANG PO LA BDE BA DANG  'jig RTEN LA SNYING BRTSE BA DANG  lha dang mir bcas pa'i skye dgu'i don dang  phan pa dang bde ba'i phyir zhugs te / / ","0.0#TD4038.2E.TXT.r#3110849#3110851#TD4038.2E.TXT.r_2708# don dam yang dag 'phags khyod de ltar skye bo mang po la  phan pa dang  skye BO MANG PO LA BDE BA DANG  'jig RTEN LA SNYING BRTSE BA DANG  lha dang mir bcas pa'i skye dgu'i don dang  phan pa dang bde ba'i phyir zhugs te / / ","0.009#TD4038.2E.TXT.r#3109960#3109961#TD4038.2E.TXT.r_2582# yon tan 'byung gnas khyod de ltar skye BO MANG PO LA PHAN PA DANG  skye BO MANG PO LA BDE  ba dang  'jig RTEN LA SNYING BRTSE BA DANG  lha dang mir bcas pa'i skye dgu'i don dang  phan pa dang  bde ba'i phyir zhugs te / / ","0.024#TD4047E.TXT.r#1129244#1129245#TD4047E.TXT.r_1171;TD4047E.TXT.r_1172# dgos pa med pa'i bya ba ma yin pa'i  las byas ba'i rgyus de ltar gyur to zhes bya ba'i don to // / +de ni gzhan LA PHAN PA'I PHYIR RAB TU ZHUGS PA YIN PAS DMYAL ba'i sdug bsngal nyams su myong bar gyur pa yang bsngags par 'os pa yin no zhes nges par sems par byed do // / ","0.026#TD4037E.TXT.r#1338105#1338105#TD4037E.TXT.r_3070# BYANG CHUB SEMS DPA' RNAMS kyi tshul khrims kyi ngo bo nyid yon tan bzhi dang ldan pa de ni yang dag par blangs pa dang   rjes su slob PAS BDAG LA PHAN PA DANG  GZHAN LA PHAN PA DANG  skye BO MANG PO LA PHAN PA DANG  skye BO MANG PO LA BDE BA DANG  'jig RTEN LA SNYING BRTSE BA DANG  lha dang mi rnams kyi don dang  phan pa dang bde bar 'gyur ba'i phyir dge ba yin par rig par bya'o // / "
"889739","TD4034.1E.TXT.r_67"," de dag la mkhas pa'i khyad  par ni nyan thos dang rang sangs rgyas dag phung po dang khams dang skye mched dang  rten cing 'brel bar 'byung ba dang  gnas dang gnas ma yin pa dang  bden pa la mkhas par byed pa tsam du zad de / / ","0.0#TD4038.1E.TXT.r#2790928#2790930#TD4038.1E.TXT.r_12477# 'di NI KHAMS DANG SKYE MCHED DANG  RTEN CING 'BREL PAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN PA DANG  bden pa dang ldan pa'i gtam mo // / ","1.192#TD4035E.TXT.r#179293#179293#TD4035E.TXT.r_9498# 'di ltar 'di na kha CIG PHUNG PO DANG KHAMS DANG SKYE MCHED DANG  RTEN CING 'BREL BAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN PA LA mkhas shing 'dod pa dang bzod  pa ste / / ","1.192#TD4037E.TXT.r#1316767#1316772#TD4037E.TXT.r_79;TD4037E.TXT.r_80# de la mkhas pa las gyur PA'I KHYAD PAR NI 'DI yin te / / +nyan THOS DANG RANG SANGS RGYAS NI PHUNG PO DANG  khams dang  skye mched dang  RTEN CING 'BREL PAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN  pa dang  BDEN PA LA MKHAS PAR BYED CING byang chub sems dpa' ni de dag dang  rig pa'i gnas gzhan thams cad LA YANG MKHAS PAR BYED do // / ","1.192#TD4038.1E.TXT.r#2761863#2761864#TD4038.1E.TXT.r_8626# sangs rgyas bcom ldan  'das rnams kyis phung po dang  khams dang  SKYE MCHED DANG RTEN CING 'BREL PAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN PA DANG  dbang po dang bden pa'i ming dang dran pa nye bar gzhag pa la sogs pa'i ming dang  gzugs can dang gzugs CAN MA YIN PA DANG  bstan du  yod pa dang  bstan du med pa dang  thogs pa dang bcas pa dang  thogs pa med pa la sogs pa'i ming gis ming gi rnam grangs dpag tu med pa dag rgya cher bshad pa gang yin pa'o // / ","0.016#TD4037E.TXT.r#1357279#1357281#TD4037E.TXT.r_5519# phung po la mkhas pa dang  KHAMS DANG SKYE MCHED DANG  RTEN CING 'BREL PAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN PA LA mkhas pa'o // / ","0.022#TD4094.1E.TXT.r#1707917#1707917#TD4094.1E.TXT.r_1357# kun dga' bo phung po la mi mkhas pa dang  khams dang  skye mched dang  RTEN CING 'BREL PAR 'BYUNG BA dang  GNAS DANG GNAS MA YIN PA LA mi mkhas pa 'di tsam gyis byis pa byis pa zhes bya ba'i  grangs su 'gro'o // / "
"889757","TD4034.1E.TXT.r_68;TD4034.1E.TXT.r_69"," byang chub sems dpa' rnams ni rig pa'i gnas lnga thams cad la  mkhas par byed pas so // / +'bras bu'i khyad par ni nyan thos rnams nyan thos kyi byang chub khong du chud pa dang  rang sangs rgyas dag kyang rang sangs rgyas kyi byang chub khong du chud par zad de / / "
