
"0","",""
"2961124","TD4062E.TXT.r_29;TD4062E.TXT.r_30"," de ni de la dmigs pa'i sems las skyes pa yang ma yin te / / +rnam par smin pa'i rgyu'i sems gzhan las kyang skyes pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#961120#961130#TD4034.1E.TXT.r_9179;TD4034.1E.TXT.r_9180;TD4034.1E.TXT.r_9181;TD4034.1E.TXT.r_9182# ces bya ba smos te / / +cig shos     // / +zhes bya ba ni 'dod pa'i 'dod chags dang bral ba la bya ste / / "
"2961134","TD4062E.TXT.r_31;TD4062E.TXT.r_32"," ci'i phyir de rnam par rig byed ces bya zhe na / / +gzhan dag la de 'jug par byed pa'i sems rnam par rig par byed pa'i  phyir te / / ","0.0#TD4034.1E.TXT.r#961129#961146#TD4034.1E.TXT.r_9182;TD4034.1E.TXT.r_9183# de dag ni rang nyid 'khor bar mi skye ba'i ting nge 'dzin bsgoms nas ting nge 'dzin gyi sprul pas sprul te / / "
"2961144","TD4062E.TXT.r_33;TD4062E.TXT.r_34"," phyi rol bskyod pa'i 'gyur ba dag gis ni // / +skyes bu'i snying la gnas pa'i bsam pa ston // / ","0.0#TD4034.1E.TXT.r#961312#961313#TD4034.1E.TXT.r_9207;TD4034.1E.TXT.r_9208;TD4034.1E.TXT.r_9206# sems can gyi don byas nas bsong nams dang ye shes kyi tshogs bsags te / / +ji ltang mngon par 'tshang rgya bar 'gyur ba ni bshang zin to // / "
"2961152","TD4062E.TXT.r_35;TD4062E.TXT.r_36"," mtshon gnas pa'i nya ni rab gab kyang // / +chu yi rlabs kyis 'gyur ba rnams kyis ston // / ","0.0#TD4034.1E.TXT.r#961148#961156#TD4034.1E.TXT.r_9183;TD4034.1E.TXT.r_9184# sprul pa 'khor bar skyes nas sems can gyi don bsgrubs nas bsod nams dang ye shes kyi tshogs bsags nas  mngon par 'tshang rgya bar byed do zhes bya ba'i don to // / ","0.018#TD4034.1E.TXT.r#961448#961449#TD4034.1E.TXT.r_9230# mjug tu mngon par 'tshang rgya bar byed do  zhes bya ba'i don to // / ","0.028#TD4034.1E.TXT.r#962906#962906#TD4034.1E.TXT.r_9386# mngon par sangs rgyas par 'byung ba zhes bya ba ni ji ltar ma 'ongs pa'i de bzhin gshegs pa rnams kyis pha rol tu phyin pa drug  spyad nas bla na med pa'i byang chub tu mngon par 'tshang rgya bar 'gyur ro zhes bya ba'i don to // / ","0.028#TD4010E.TXT.r#2258182#2258182#TD4010E.TXT.r_3556# thabs mkhas pa 'di dang yang dag par ldan pa'i byang chub sems dpas ting nge 'dzin rab tu thob par 'gyur zhing myur du bla na med pa yang dag par rdzogs pa'i byang chub mngon par rdzogs par 'tshang rgya bar 'gyur ro zhes bya ba yin     // / "
"2961161","TD4062E.TXT.r_37;TD4062E.TXT.r_38;TD4062E.TXT.r_39"," 'o na dbyibs zhes bya ba 'di ci yin / / +'di lta ste ring po la sogs pa'o // / +ring po la sogs pa 'di ci yin / / ","0.0#TD4034.1E.TXT.r#961157#961165#TD4034.1E.TXT.r_9184;TD4034.1E.TXT.r_9185;TD4034.1E.TXT.r_9186# 'dod bzhin skye ba 'dzin to zhes bya ba la / / +las dang nyon mongs pas skye ba ni ma yin gyi smon lam gyi dbang gis skye zhes bya ba'i don to // / "
"2961170","TD4062E.TXT.r_40;TD4062E.TXT.r_41"," gang las ring po'am thung du'o snyam pa'i 'du shes skye ba'o // / +skye mched gang yin / / ","0.0#TD4034.1E.TXT.r#961166#961174#TD4034.1E.TXT.r_9185;TD4034.1E.TXT.r_9186;TD4034.1E.TXT.r_9187# las dang nyon mongs pas skye ba ni ma yin gyi smon lam gyi dbang gis skye zhes bya ba'i don to // / +gong du 'dod pa'i 'dod chags dang bral ba dang ma bral ba gnyis zhan pa'o zhes bshad pa la / / "
"2961179","TD4062E.TXT.r_42;TD4062E.TXT.r_43;TD4062E.TXT.r_44"," gzugs kyi skye mched do // / +ci de kha dog bzhin du rdul phra rab tu 'dod dam / / +'on te rdul phra rab kyi bye brag 'dus pa zhig yin nam / / ","0.0#TD4034.1E.TXT.r#961175#961187#TD4034.1E.TXT.r_9186;TD4034.1E.TXT.r_9187;TD4034.1E.TXT.r_9188;TD4034.1E.TXT.r_9189;TD4034.1E.TXT.r_9190;TD4034.1E.TXT.r_9191# gong du 'dod pa'i 'dod chags dang bral ba dang ma bral ba gnyis zhan pa'o zhes bshad pa la / / +ji ltar  de gnyis zhan pa bstan pa'i phyir / / "
"2961192","TD4062E.TXT.r_45"," 'on te kha dog  la sogs pa 'dus pa la khyab pa'i rdzas gzhan gcig pu zhig yin na / / ","0.0#TD4034.1E.TXT.r#961188#961196#TD4034.1E.TXT.r_9189;TD4034.1E.TXT.r_9190;TD4034.1E.TXT.r_9191;TD4034.1E.TXT.r_9192# de gnyis rmongs pa zhugs par dgongs // / +zhes bya ba smos te / / +don mthong ba'i gang zag de gnyis kyang / / "
"2961201","TD4062E.TXT.r_46;TD4062E.TXT.r_47"," gal te rdul phra rab kyi byi brag zhig yin na ni / / +des na 'dus pa'i cha shas re re la ring po nyid dam thung du nyid la sogs pa gzung bar 'gyur te / / ","0.0#TD4034.1E.TXT.r#961197#961211#TD4034.1E.TXT.r_9192;TD4034.1E.TXT.r_9193;TD4034.1E.TXT.r_9194# nyan thos kyi spyod pa 'khor ba la skyo ba dang  mya ngan las 'das pa la mngon sum du lta ba la dga'  bas na / / ","0.023#TD4016.3E.TXT.r#227547#227548#TD4016.3E.TXT.r_1746# bdag ni gal te sems can gcig sdug bsngal las thar bar bya ba'i phyir yang nyin mtshan bskal pa chen po dang mnyam pa dag gi 'gro ba gzhan du mi gnas pas sems  can dmyal ba kho nar gnas pas dus ji srid cig gis byang chub sems dpa' rnams bla na med pa yang dag par rdzogs pa'i byang chub mngon par rdzogs par 'tshang rgya bar 'gyur ba'i dus de nyid bye brag 'bum 'gyur gyis srid kyis / / ","0.024#TD4037E.TXT.r#1348325#1348325#TD4037E.TXT.r_4423# nyin mtshan bskal pa chen po stong dang mnyam pa dag gi 'gro ba gzhan du mi gnas par sems can dmyal ba  kho nar gnas pas dus ji srid cig gis byang chub sems dpa' rnams bla na med pa yang dag par rdzogs pa'i byang chub tu mngon par rdzogs par 'tshang rgya bar 'gyur ba'i dus de nyid bye ba phrag 'bum 'gyur srid kyis bdag gis bla na med pa yang dag par rdzogs pa'i byang chub thob par 'gyur ba  lta na yang bdag spro bar byed de / / ","0.024#TD4034.1E.TXT.r#962904#962905#TD4034.1E.TXT.r_9386# mngon par sangs rgyas par 'byung ba zhes bya ba ni ji ltar ma 'ongs pa'i de bzhin gshegs pa rnams kyis pha rol tu phyin pa drug  spyad nas bla na med pa'i byang chub tu mngon par 'tshang rgya bar 'gyur ro zhes bya ba'i don to // / ","0.025#TD4050E.TXT.r#1111148#1111149#TD4050E.TXT.r_1915# ji ltar bdag gi bla na med pa'i byang chub mngon par rdzogs par 'tshang rgya bar mi nus zhes don de lta bur byung ba'o // / ","0.025#TD4090.1E.TXT.r#1641789#1641789#TD4090.1E.TXT.r_7708# 'o na yang byang chub sems dpa' smon lam btab pa rnams dus ring po kho nas mngon par rdzogs par 'tshang rgya bar 'gyur ram zhe na / / ","0.028#TD4034.1E.TXT.r#918183#918184#TD4034.1E.TXT.r_3522# myur du bla na med pa'i byang chub tu 'tshang rgya bar 'gyur te zhes bya ba'i don to // / ","0.028#TD4034.1E.TXT.r#983308#983309#TD4034.1E.TXT.r_11910# bla na med pa'i byang chub tu 'tshang rgya bar 'gyur zhes bya ba'i don to // / "
"2961216","TD4062E.TXT.r_48;TD4062E.TXT.r_49"," dper na kha dog bzhin no // / +'on te rdul  phra rab kyi bye brag 'dus pa zhig yin na ni / / ","0.0#TD4034.1E.TXT.r#961212#961221#TD4034.1E.TXT.r_9193;TD4034.1E.TXT.r_9194;TD4034.1E.TXT.r_9195;TD4034.1E.TXT.r_9196;TD4034.1E.TXT.r_9197# shes rab rtul ba dang dus ring por bla na med pa'i byang chub 'tshang rgya bar rmongs par zhugs pa yin no zhes bya ba'i don to // / +ji ltar mya ngan las 'das pa la dga' zhe na / / "
