
"0","",""
"2960595","TD4056E.TXT.r_1;TD4056E.TXT.r_2;TD4056E.TXT.r_3"," rgya gar skad du / / +bing sha ka k'a ri ka / / +bod skad du / / ","0.0#TD4034.1E.TXT.r#960595#960599#TD4034.1E.TXT.r_9106# nyan thos kyi rigs ma nges pa de dag dang po nas theg pa chen po'i spyod pa la spyod du 'jug ste sangs rgyas    dang byang chub sems dpa' rnams kyis byang chub sems dpa'i spyod pa lam bzhag bar btang snyoms su bkod ce na / / "
"2960603","TD4056E.TXT.r_4;TD4056E.TXT.r_5"," nyi shu pa'i tshig le'ur byas pa / / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.0#TD4034.1E.TXT.r#960598#960609#TD4034.1E.TXT.r_9106;TD4034.1E.TXT.r_9107# nyan thos kyi rigs ma nges pa de dag dang po nas theg pa chen po'i spyod pa la spyod du 'jug ste sangs rgyas    dang byang chub sems dpa' rnams kyis byang chub sems dpa'i spyod pa lam bzhag bar btang snyoms su bkod ce na / / "
"2960614","TD4056E.TXT.r_6;TD4056E.TXT.r_7"," 'di dag rnam par rig tsam nyid // / +yod pa ma yin don snang phyir // / ","0.0#TD4034.1E.TXT.r#960610#960617#TD4034.1E.TXT.r_9106;TD4034.1E.TXT.r_9107;TD4034.1E.TXT.r_9108# nyan thos kyi rigs ma nges pa de dag dang po nas theg pa chen po'i spyod pa la spyod du 'jug ste sangs rgyas    dang byang chub sems dpa' rnams kyis byang chub sems dpa'i spyod pa lam bzhag bar btang snyoms su bkod ce na / / +lan du gnas skabs nges pa la ltos nas btang snyoms su bzhag ste / / "
"2960622","TD4056E.TXT.r_8;TD4056E.TXT.r_9"," dper na rab rib can dag gis // / +skra zla la  sogs med mthong bzhin // / ","0.0#TD4034.1E.TXT.r#960618#960628#TD4034.1E.TXT.r_9107;TD4034.1E.TXT.r_9108;TD4034.1E.TXT.r_9109# lan du gnas skabs nges pa la ltos nas btang snyoms su bzhag ste / / +de dag sngar nyan thos kyi spyod pa ma spyad par theg pa chen po'i spyod pa la dgod du mi rung bas na de'i phyir  btang snyoms su bkod pa lta bur blta'o // / "
"2960631","TD4056E.TXT.r_10;TD4056E.TXT.r_11"," gal te rnam rig don min na // / +yul dang dus la nges med cing // / ","0.0#TD4034.1E.TXT.r#960626#960637#TD4034.1E.TXT.r_9108;TD4034.1E.TXT.r_9109;TD4034.1E.TXT.r_9110# de dag sngar nyan thos kyi spyod pa ma spyad par theg pa chen po'i spyod pa la dgod du mi rung bas na de'i phyir  btang snyoms su bkod pa lta bur blta'o // / "
"2960640","TD4056E.TXT.r_12;TD4056E.TXT.r_13;TD4056E.TXT.r_14"," sems kyang nges med ma yin la // / +bya ba byed pa'ang mi rigs 'gyur // / +yul la sogs pa nges 'grub ste // / ","0.0#TD4034.1E.TXT.r#960633#960645#TD4034.1E.TXT.r_9109;TD4034.1E.TXT.r_9110# gong du nyan thos kyi rigs ma nges pa rnams drang ba'i phyir theg pa gcig tu bshad do zhes glengs ba las / / "
"2960650","TD4056E.TXT.r_15;TD4056E.TXT.r_16"," rmi 'dra'o sems kyang des pa med // / +yi dags bzhin te thams  cad kyis // / ","0.0#TD4034.1E.TXT.r#960646#960654#TD4034.1E.TXT.r_9110;TD4034.1E.TXT.r_9111;TD4034.1E.TXT.r_9112;TD4034.1E.TXT.r_9113# nyan thos kyi rigs ma nges pa theg pa chen por 'jug pa phyi nang du yod pa bstan pa'i phyir / / +nyan thos ma nges rnam gnyis te // / "
"2960659","TD4056E.TXT.r_17;TD4056E.TXT.r_18"," klung la rnag la sogs mthong bzhin // / +bya byed rmi lam gnod pa 'dra // / ","0.0#TD4034.1E.TXT.r#960655#960664#TD4034.1E.TXT.r_9112;TD4034.1E.TXT.r_9113;TD4034.1E.TXT.r_9114# theg pa'i  don mthong ma mthong ba'o // / +zhes smos te / / +nyan thos rigs ma nges pa theg pa chen po'i sgor zhugs nas mngon par 'tshang rgya bar 'gyur ba rnam pa gnyis te / / "
"2960669","TD4056E.TXT.r_19;TD4056E.TXT.r_20;TD4056E.TXT.r_21"," thams cad sems can dmyal ba bzhin // / +dmyal ba'i srung ma sogs mthong dang / / +de dag gis ni gnod phyir ro // / ","0.0#TD4034.1E.TXT.r#960665#960674#TD4034.1E.TXT.r_9114;TD4034.1E.TXT.r_9115;TD4034.1E.TXT.r_9116# nyan thos rigs ma nges pa theg pa chen po'i sgor zhugs nas mngon par 'tshang rgya bar 'gyur ba rnam pa gnyis te / / ","0.013#TD4029E.TXT.r#2139251#2139252#TD4029E.TXT.r_2435;TD4029E.TXT.r_2436# nyan thos ma nges pa yang rnam pa gnyis te / / +theg pa'i don mthong ba dang theg pa'i don ma mthong ba'o zhes bya ba ni bden pa mthong ba dang bden pa ma mthong ba'o zhes bya ba'i don to // / ","0.027#TD4034.1E.TXT.r#962906#962906#TD4034.1E.TXT.r_9386# mngon par sangs rgyas par 'byung ba zhes bya ba ni ji ltar ma 'ongs pa'i de bzhin gshegs pa rnams kyis pha rol tu phyin pa drug  spyad nas bla na med pa'i byang chub tu mngon par 'tshang rgya bar 'gyur ro zhes bya ba'i don to // / ","0.029#TD4093.1E.TXT.r#768075#768075#TD4093.1E.TXT.r_201;TD4093.1E.TXT.r_203# mthong ba ni rnam pa gnyis te / / +pa'i don mthong ba dang  yang dag pa ma yin pa'i don mthong ba'o // / "
"2960679","TD4056E.TXT.r_22;TD4056E.TXT.r_23;TD4056E.TXT.r_24"," ji ltar dud 'gro mtho ris su // / +'byung ba de ltar dmyal ba  min / / +yi dags min te 'di lta bur // / ","0.0#TD4034.1E.TXT.r#960675#960684#TD4034.1E.TXT.r_9115;TD4034.1E.TXT.r_9116;TD4034.1E.TXT.r_9117# theg pa'i don mthong ba dang  theg pa'i don ma mthong ba'o // / +de la theg pa zhes bya ba ni bden pa bzhi la bya ste / / "
