
"0","",""
"1511324","TD4085E.TXT.r_1;TD4085E.TXT.r_2;TD4085E.TXT.r_3"," rgya gar skad du / / +ma dhya ma aa lam k'a ra au pa de sha / / +bod skad du / / ","0.0#TD4016.1E.TXT.r#511324#511328#TD4016.1E.TXT.r_8087;TD4016.1E.TXT.r_8088;TD4016.1E.TXT.r_8089# sems can mtshan mas bcings pa gang dag  dang / / +gnas ngan len gyis bcings pa gang yin pa // / "
"1511333","TD4085E.TXT.r_4;TD4085E.TXT.r_5"," dbu ma rgyan gyi man  ngag / / +rje btsun ma sgrol ma la phyag 'tshal lo // / ","0.0#TD4016.1E.TXT.r#511329#511338#TD4016.1E.TXT.r_8088;TD4016.1E.TXT.r_8089;TD4016.1E.TXT.r_8090;TD4016.1E.TXT.r_8091# gnas ngan len gyis bcings pa gang yin pa // / +zhi gnas lhag mthong dag ni goms byas na // / +de nas rnam par grol ba 'thob par 'gyur // / "
"1511343","TD4085E.TXT.r_6;TD4085E.TXT.r_7"," sku gnyis kyi ni gnas khyab pa'i // / +gang zhig nyi zla gza' skar bzhin // / ","0.0#TD4016.1E.TXT.r#511339#511349#TD4016.1E.TXT.r_8091;TD4016.1E.TXT.r_8092;TD4016.1E.TXT.r_8093;TD4016.1E.TXT.r_8094# zhes bya ba ni gnyis pa tshigs su bcad pa smos nas mdor bstan pa nyid do // / +'di yang rnam pa gsum du dbye ste / / "
"1511354","TD4085E.TXT.r_8;TD4085E.TXT.r_9;TD4085E.TXT.r_10"," bde ba chen po nyid kyi sku // / +rtag par rdo rje 'chang la 'dud // / +byams pa thogs med kyis gsungs shing // / ","0.0#TD4016.1E.TXT.r#511350#511361#TD4016.1E.TXT.r_8093;TD4016.1E.TXT.r_8094;TD4016.1E.TXT.r_8095# dang po tshig gnyis  kyis ni don zab ba nyid du bsngags pa nyid do // / +tshig bar ma bzhis ni mngon par zhen pa dag skyon dang bcas par bstan to // / "
"1511366","TD4085E.TXT.r_11;TD4085E.TXT.r_12;TD4085E.TXT.r_13"," klu sgrub kyis kyang bzhed pa yi // / +tshad ma  lung dang ldan pa yis // / +bden pa gnyis 'dir bshad par bya // / ","0.0#TD4016.1E.TXT.r#511362#511371#TD4016.1E.TXT.r_8095;TD4016.1E.TXT.r_8096# tha ma'i tshig gnyis kyis ni gang rnal 'byor bsgom pa de dag 'bras bu thob pa nyid du bstan to // / "
"1511375","TD4085E.TXT.r_14;TD4085E.TXT.r_15;TD4085E.TXT.r_16"," de la bden pa gnyis ni don dam pa dang kun rdzob bo // / +don dam pa yang rnam pa gsum ste // / +don dam pa ni de bzhin nyid do // / ","0.0#TD4016.1E.TXT.r#511370#511380#TD4016.1E.TXT.r_8095;TD4016.1E.TXT.r_8096;TD4016.1E.TXT.r_8097;TD4016.1E.TXT.r_8098# tha ma'i tshig gnyis kyis ni gang rnal 'byor bsgom pa de dag 'bras bu thob pa nyid du bstan to // / +de la 'du byed khams zhes bya ba la 'du byed ni 'di lta ste / / "
"1511384","TD4085E.TXT.r_17;TD4085E.TXT.r_18"," sgrub pa don dam pa ni yang dag pa'i ye shes so // / +thob  par bya ba'i don dam pa ni mya ngan las 'das pa'o // / ","0.0#TD4016.1E.TXT.r#511379#511388#TD4016.1E.TXT.r_8097;TD4016.1E.TXT.r_8098;TD4016.1E.TXT.r_8099;TD4016.1E.TXT.r_8100# rnam  par gyur pa 'dus byas kyi 'du byed rnams so // / +khams ni ngo bo nyid kyi don to // / "
"1511393","TD4085E.TXT.r_19;TD4085E.TXT.r_20;TD4085E.TXT.r_21"," ji skad du / / +don dang thob dang sgrub pa dang / / +don dam rnam pa gsum du 'dod // / ","0.0#TD4016.1E.TXT.r#511389#511396#TD4016.1E.TXT.r_8099;TD4016.1E.TXT.r_8100;TD4016.1E.TXT.r_8101# 'di yang bshad pa rnam pa gnyis yod de / / +kha cig na re 'dus byas kyi rang gi ngo bo nyid ni khams zhes bya'o zhe'o // / "
"1511401","TD4085E.TXT.r_22;TD4085E.TXT.r_23;TD4085E.TXT.r_24"," ces bshad pa lta bu'o // / +kun rdzob kyang rnam pa gsum ste / / +brtags pa'i kun rdzob ni chos thams cad kun brtags pa'i rang bzhin no // / ","0.0#TD4016.1E.TXT.r#511397#511405#TD4016.1E.TXT.r_8100;TD4016.1E.TXT.r_8101;TD4016.1E.TXT.r_8102;TD4016.1E.TXT.r_8103# kha cig na re 'dus byas kyi rang gi ngo bo nyid ni khams zhes bya'o zhe'o // / +kha cig na re 'du byed rnams ni de bzhin nyid kyis ngo bo nyid byed pas / / "
"1511410","TD4085E.TXT.r_25;TD4085E.TXT.r_26"," shes pa'i kun rdzob ni log pa'i shes pa thams cad do // / +brjod pa'i kun rdzob ni sgra dang rtog pas don dam pa ston par byed pa'o // / ","0.0#TD4016.1E.TXT.r#511406#511416#TD4016.1E.TXT.r_8102;TD4016.1E.TXT.r_8103;TD4016.1E.TXT.r_8104# de'i  phyir 'du byed kyi khams zhes bya'o zhes bshad de / / +des ni 'du byed kyi khams DON DAM PA YIN PAR bstan to // / "
