
"0","",""
"105301","TD4004E.TXT.r_1;TD4004E.TXT.r_2"," rgya gar skad du / / +a'arya aa ti dzny'a na ma h'a y'a na s'u tra britti / / ","0.013#TD4003E.TXT.r#425369#425374#TD4003E.TXT.r_1;TD4003E.TXT.r_2;TD4003E.TXT.r_3# RGYA GAR SKAD DU / / +a'arya AA TI DZNYA NA S'U tra by'a khy'a na / / ","0.026#TD4029E.TXT.r#2120483#2120487#TD4029E.TXT.r_1;TD4029E.TXT.r_2;TD4029E.TXT.r_3# RGYA GAR SKAD DU / / +ma H'A Y'A NA S'U TRA aa lam ka ra t'i ka / / ","0.028#TD4020E.TXT.r#2519814#2519814#TD4020E.TXT.r_1;TD4020E.TXT.r_2# RGYA GAR SKAD DU / / +ma H'A Y'A NA S'U TRA aa lam ka ra n'a ma k'a ri k'a / / "
"105311","TD4004E.TXT.r_3;TD4004E.TXT.r_4"," bod skad du / / +'phags pa 'da' ka ye shes zhes bya ba theg pa chen po'i mdo'i 'grel pa / / "
"105320","TD4004E.TXT.r_5;TD4004E.TXT.r_6"," sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo // / +rang gzhan don grub dri med blo ldan pa // / "
"105333","TD4004E.TXT.r_7"," sku gnyis ldan pa'i 'dren pa de la phyag 'tshal nas // / "
"105341","TD4004E.TXT.r_8;TD4004E.TXT.r_9"," chos nyid don gsal 'da' ka ye shes kyi // / +don gsal phyir ni 'bad pa chen po bya // / "
"105352","TD4004E.TXT.r_10"," 'di skad bdag gis thos pa'i dus gcig na zhes bya ba la sogs pa gsungs te / / ","0.025#TD4034.1E.TXT.r#983879#983879#TD4034.1E.TXT.r_11993# 'di SKAD BDAG GIS THOS PA'I DUS GCIG NA ZHES BYA BA NAS rdzogs kyi bar du  mdo sde gcig gi nang nas tshig ji nas ji 'byung ba dang  tshig ji snyed cig 'byung ba dang  kun shes par byed do zhes bya ba'i don to // / "
"105361","TD4004E.TXT.r_11"," de la nyan thos pa kha cig gis log par rtog pa  bsal ba'i ched du tshig gi cha rnam pa bzhi dang ldan par bshad pa'o // / "
"105373","TD4004E.TXT.r_12"," bcom ldan 'das 'og min lha'i rgyal po'i khang bzangs na bzhugs te zhes bya ba la sogs pa gsungs te / / "
"105382","TD4004E.TXT.r_13;TD4004E.TXT.r_14"," bcom ldan 'das ni nyon mongs pa dang nye ba'i nyon mongs pa thams cad bcom pas so // / +ldan pa  ni yon tan drug dang ldan pas so // / "
"105391","TD4004E.TXT.r_15;TD4004E.TXT.r_16;TD4004E.TXT.r_17"," 'das pa ni 'khor ba dang mya ngan las 'das pa gnyis ka la mi gnas pa ste / / +mngon par rtogs pa las kyang / / +tshu rol pha rol mtha' la min // / "
"105403","TD4004E.TXT.r_18;TD4004E.TXT.r_19;TD4004E.TXT.r_20"," de dag bar na mi gnas shing // / +dus rnams mnyam pa nyid shes pas // / +zhes bshad / / "
"105411","TD4004E.TXT.r_22;TD4004E.TXT.r_23;TD4004E.TXT.r_24"," 'khor ba dang ni mya ngan 'das // / +'di gnyis yod pa ma yin te // / +'khor ba yongs su shes pa la // / "
