
"0","",""
"1588284","TD4012E.TXT.r_24;TD4012E.TXT.r_25"," phyogs bcu'i zhes bya ba la sogs pa'o // / +de bzhin gshegs pa thams cad la chos kyi 'khor lo rab tu bskor bar bskul ba las brtsams te gsungs pa / / ","0.0#TD4068E.TXT.r#588279#588291#TD4068E.TXT.r_2201;TD4068E.TXT.r_2202;TD4068E.TXT.r_2203# de gnyi ga sems pa dang  shes  rab kyi bye brag la gdags par 'dra na yang rtog pa ni sems rtsing ba'i rang bzhin dpyod pa ni sems zhib pa'i rang bzhin yin pa'i phyir ro // / "
"1588296","TD4012E.TXT.r_26;TD4012E.TXT.r_27"," gang rnams phyogs bcu'i 'jig rten sgron ma zhes bya ba la sogs pa'o // / +de bzhin gshegs pa    bzhugs par gsol ba ni / / ","0.0#TD4068E.TXT.r#588292#588301#TD4068E.TXT.r_2203;TD4068E.TXT.r_2204# gong du 'du byed kyi phung po bshad pa'i skabs su 'du byed rnams gang zhe na zhes dris nas / / ","0.013#TD4068E.TXT.r#575722#575726#TD4068E.TXT.r_665;TD4068E.TXT.r_666# gzugs dang tshor ba'i phung po bshad pa'i  skabs pas 'du byed kyi phung po bshad pa'i skabs su chos mang du bstan cing 'chad pas na 'du byed rnams gang zhe na zhes dris so // / +lan du tshor ba dang 'du shes las gzhan pa sems las byung ba'i chos rnams dang sems dang mi ldan pa rnams so zhes bya ba smos te / / "
"1588305","TD4012E.TXT.r_28;TD4012E.TXT.r_29"," mya ngan 'das ston gang ba zhed ces bya ba la sogs pa'o // / +dge ba'i rtsa ba rab tu bsags pa yongs su bsngo ba ni / / ","0.0#TD4068E.TXT.r#588300#588312#TD4068E.TXT.r_2203;TD4068E.TXT.r_2204;TD4068E.TXT.r_2205# gong du 'du byed kyi phung po bshad pa'i skabs su 'du byed rnams gang zhe na zhes dris nas / / +lan du tshor ba dang 'du shes las  gzhan pa sems las byung ba'i chos rnams kyi bdag nyid dang  sems dang mi ldan pa'i 'du byed rnams kyi bdag nyid do zhes glengs pa las 'du byed sems las byung ba rnams ni bshad zin to // / ","0.027#TD4066E.TXT.r#2112350#2112350#TD4066E.TXT.r_1444# 'du byed kyi phung po ni tshor ba dang 'du shes las gzhan pa sems las byung ba'i bdag nyid dang  sems dang ldan pa ma yin pa'i 'du byed kyi bdag nyid do zhes bshad pa de la sems las byung ba rnams bshad zin to // / "
"1588317","TD4012E.TXT.r_30;TD4012E.TXT.r_31"," phyag 'tshal ba dang zhes bya ba la sogs pa gsungs pa'o // / +kun du bzang po'i smon lam rab tu dbye ba ni rnam pa bcu drug go // / ","0.0#TD4068E.TXT.r#588313#588322#TD4068E.TXT.r_2204;TD4068E.TXT.r_2205;TD4068E.TXT.r_2206# lan du tshor ba dang 'du shes las  gzhan pa sems las byung ba'i chos rnams kyi bdag nyid dang  sems dang mi ldan pa'i 'du byed rnams kyi bdag nyid do zhes glengs pa las 'du byed sems las byung ba rnams ni bshad zin to // / +da ni sems dang mi ldan pa'i 'du byed rnams bshad dgos te / / "
"1588327","TD4012E.TXT.r_32;TD4012E.TXT.r_33"," 'di lta ste / / +bsam pa dang  byang chub kyi sems mi brjed pa dang  mi chags pa'i sbyor ba dang  sems can la phan gdags pa dang  go cha dang  skal pa mnyam pa'i byang chub sems dpa' dang  'grogs pa dang  dag pa'i bshes gnyen dang 'grogs pa dang  de bzhin gshegs pa  mngon du 'gyur ba dang  dam pa'i chos yongs su gzung ba dang  mi zad pa'i mdzod rab tu rnyed pa dang  'jug pa dang  stobs dang  gnyen po dang  las dang  rjes su slob par bsngo ba dang  bsdu ba'o // / ","0.0#TD4068E.TXT.r#588323#588337#TD4068E.TXT.r_2206;TD4068E.TXT.r_2207# de'i phyir sems dang mi ldan  pa'i 'du byed rnams gang zhe na zhes dris so // / ","0.0#TD4068E.TXT.r#588337#588354#TD4068E.TXT.r_2207;TD4068E.TXT.r_2208;TD4068E.TXT.r_2209# gnas pa dang  dmigs pa dang  rnam pa dang  dus dang  rdzas mnyam pas sems dang mnyam du skye zhing sems kyi rjes su 'brang ba med pa'i phyir sems dang mi ldan pa'i 'du byed ces bya'o // / "
"1588359","TD4012E.TXT.r_34;TD4012E.TXT.r_35"," de la bsam pa ni rnam pa gsum ste / / +de bzhin gshegs pa'i  dgongs pa yongs su bskang ba'i bsam pa ni gang gsungs pa / / ","0.0#TD4068E.TXT.r#588355#588365#TD4068E.TXT.r_2208;TD4068E.TXT.r_2209;TD4068E.TXT.r_2210# nyan thos rnam par smra ba pa rnams ni sems  dang mi ldan pa'i 'du byed thams cad re re nas rdzas su yod par 'dod kyang / / +rnam par rig pa tsam du lta ba'i tshul gyis de dag btags pa tsam du yod par zad kyi rdzas su yod pa ma yin par bstan cing / / "
"1588368","TD4012E.TXT.r_36;TD4012E.TXT.r_37;TD4012E.TXT.r_38"," 'das pa'i sangs rgyas rnams dang zhes bya ba la sogs pa'o // / +sangs rgyas kyi zhing yongs su sbyang ba'i bsam pa ni / / +phyogs bcu ga la'i zhing zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588361#588376#TD4068E.TXT.r_2209;TD4068E.TXT.r_2210;TD4068E.TXT.r_2211# rnam par rig pa tsam du lta ba'i tshul gyis de dag btags pa tsam du yod par zad kyi rdzas su yod pa ma yin par bstan cing / / "
"1588380","TD4012E.TXT.r_39;TD4012E.TXT.r_40"," sems can la phan pa dang bde ba'i bsam pa ni gang  gsungs pa / / +phyogs bcu'i sems can zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588375#588384#TD4068E.TXT.r_2210;TD4068E.TXT.r_2211;TD4068E.TXT.r_2212# de dag btags pa tsam du yod par yang ji la gdags pa bstan pa'i phyir / / +gang dag    gzugs dang sems dang sems las byung ba'i dus su gdags pa ste / / ","0.023#TD4068E.TXT.r#588861#588864#TD4068E.TXT.r_2253;TD4068E.TXT.r_2254# rigs 'dra ba'am / / +gzhan yang gzugs dang  sems dang sems las byung ba'i dus su gdags pa yang sems dang mi ldan pa'i 'du byed yin par bsdu'o // / ","0.025#TD4068E.TXT.r#588823#588823#TD4068E.TXT.r_2249# gzugs dang sems dang sems las byung ba'i dus su gdags pa de nyid dang gzhan du mi gdags pa'i 'du byed sems  dang mi ldan pa de dag gang zhe na zhes dris pa'i don to // / "
"1588389","TD4012E.TXT.r_41"," gnyen po dang bcas pas mi mthun pa'i phyogs spang ba bstan pa ni byang chub kyi sems mi nyams pa ste / / ","0.0#TD4068E.TXT.r#588385#588392#TD4068E.TXT.r_2212# de dag ni sems dang mi ldan pa'i 'du byed yin no zhes ma smos su zin kyang sems dang mi ldan pa'i 'du byed bshad pa'i skabs yin pas gang gzugs kyi dus la gdags pa dang  sems kyi dus la gdags pa dang   sems las byung ba'i dus la gdags pa de dag ni 'du byed sems dang mi ldan pa'o zhes bya ba'o // / "
"1588397","TD4012E.TXT.r_42;TD4012E.TXT.r_43;TD4012E.TXT.r_44"," gang gsungs pa / / +byang chub spyod pa dag ni bdag spyod cing // / +zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588393#588402#TD4068E.TXT.r_2212# de dag ni sems dang mi ldan pa'i 'du byed yin no zhes ma smos su zin kyang sems dang mi ldan pa'i 'du byed bshad pa'i skabs yin pas gang gzugs kyi dus la gdags pa dang  sems kyi dus la gdags pa dang   sems las byung ba'i dus la gdags pa de dag ni 'du byed sems dang mi ldan pa'o zhes bya ba'o // / "
