
"0","",""
"549131","TD4005E.TXT.r_1;TD4005E.TXT.r_2;TD4005E.TXT.r_3"," rgya gar skad du / / +bo dhi  patti re sha na britti / / +bod skad du / / ","0.022#TD4006E.TXT.r#1084503#1084503#TD4006E.TXT.r_1;TD4006E.TXT.r_2# RGYA GAR SKAD DU / / +bo dhi sy'a patti de sha britta bo dhi satva shiksh'a kra ma n'a ma / / ","0.029#TD4043E.TXT.r#355407#355407#TD4043E.TXT.r_1;TD4043E.TXT.r_2# RGYA GAR SKAD DU / / +yo ga tsarya bhu'u mi by'a khya / / "
"549140","TD4005E.TXT.r_4;TD4005E.TXT.r_5"," byang chub kyi ltung ba bshags pa'i 'grel ba / / +'phags pa 'jam dpal la phyag 'tshal lo // / "
"549149","TD4005E.TXT.r_6;TD4005E.TXT.r_7"," bcom ldan 'das sh'akya thub pa la phyag 'tshal lo // / +bde gshegs gang zhig mi rtog thugs chud rtog med thams cad mkhyen // / "
"549165","TD4005E.TXT.r_8"," thugs rje chen pos  'gro don mdzad pa'i goo tam phyag 'tshal nas // / "
"549173","TD4005E.TXT.r_9;TD4005E.TXT.r_10"," byang chub sems dpa'i ltung ba dag byed byang chub ltung bshags ni // / +sems can kun la phan phyir lung dang man ngag gis bshad bya // / "
"549187","TD4005E.TXT.r_11"," rnam pa thams cad mkhyen pa'i sangs rgyas bcom ldan 'das sku gsum dang ldan pa'i sangs rgyas  sh'akya thub pas sems can thams cad kyi don du dam pa'i chos mang po gsungs pa thams cad bsdus pa ni lung gi chos gsung rab yan lag bcu gnyis su 'dus te / / "
"549209","TD4005E.TXT.r_12;TD4005E.TXT.r_13"," de'i nang nas mdo'i sde zhes bya bar 'dir 'gyur la / / +bcu gnyis po yang bsdus pas sde snod gsum ste / / "
"549221","TD4005E.TXT.r_14;TD4005E.TXT.r_15"," de las    'di ni mdo sde zhes bya bar yang 'gyur la / / +gtsor ni theg pa chen po'i 'dul ba yin te / / "
"549229","TD4005E.TXT.r_16;TD4005E.TXT.r_17"," gzhi dang yan lag gnyis ka ston pa'i phyir ro // / +de la sngon byung ni byang chub sems dpa' ltad mo can la sogs pa las dang po pa so lngas rgyal po'i khab tu bsod snyoms la byon pas chang 'tshong ma'i bu  'og tu shi ba'i ltung ba bshags pa'i don du 'phags pa nye ba 'khor la bskur te bcom ldan 'das kyis gsungs pa'o // / "
"549263","TD4005E.TXT.r_18"," rjes su 'jug pa ni byang chub sems dpa'i rigs can gyi lam gyi yan lag tu 'gyur ro // / "
"549272","TD4005E.TXT.r_19"," yang na rgyal po'i khab kyi bram ze khams pa skyes zhes bya bas nya pa so lnga la  lam log pa bstan pas nya mgo bo so lnga bar gyur pa'i don du yin no zhes la la nas bshad de // / "
"549291","TD4005E.TXT.r_20;TD4005E.TXT.r_21"," de ni dkon mchog brtsegs pa'i gzhung ma yin no // / +de nyid bshad pa ni dgos pa la sogs pa la sogs pa bzhir shes par bya'o // / "
"549301","TD4005E.TXT.r_22;TD4005E.TXT.r_23;TD4005E.TXT.r_24"," de dag gang zhe na / / +dgos pa'i don la ni rnam pa lnga ste / / +brjod bya  ni byang chub sems dpa'i ltung ba dang de 'dag pa'i thabs so // / "
"549313","TD4005E.TXT.r_25;TD4005E.TXT.r_26"," rjod byed ni gzhung de dag go // / +dgos pa ni ltung ba de dag par byed pa'o // / "
"549322","TD4005E.TXT.r_27;TD4005E.TXT.r_28;TD4005E.TXT.r_29"," dgos pa'i yang dgos pa ni / / +des sangs rgyas nyid 'thob pa'o // / +'brel pa ni thabs dang thabs las byung ba ste shugs kyis bstan pa'o // / ","0.029#TD4051E.TXT.r#1267853#1267853#TD4051E.TXT.r_5273# des na mngon par rdzogs par sangs rgyas pa des de dag kyang mngon par rdzogs par sangs rgyas par 'gyur te / / "
"549334","TD4005E.TXT.r_30;TD4005E.TXT.r_31;TD4005E.TXT.r_32"," bsdus pa'i don ni phung po gsum mam / / +bdun dag pa'am / / +yang na stobs bzhi kho na yin no // / "
"549344","TD4005E.TXT.r_33;TD4005E.TXT.r_34"," zhar la brgal lan la sogs pa gsum yang shes par bya'o // / +man ngag ni mngon par rtogs pa ste / / "
"549353","TD4005E.TXT.r_35;TD4005E.TXT.r_36"," mtshams med pa la sogs pa byas pa chen pos ni / / +bar ma chad par shin tu 'gyod  pas stobs bzhi po 'dis zla ba 'am lo la sogs par yan lag lngas sa la gtugs shing bshags pas dag pa'i mtshan ma 'byung zhing dag par 'gyur ro // / "
