
"0","",""
"2793943","TD4055E.TXT.r_1;TD4055E.TXT.r_2;TD4055E.TXT.r_3"," rgya gar skad du / / +tring shi ka k'a ri k'a / / +bod skad du / / ","0.0#TD4093.1E.TXT.r#793942#793947#TD4093.1E.TXT.r_4547;TD4093.1E.TXT.r_4548# gzugs la sogs pa yul gyi yul la ni ma yin no // / +de'i phyir khyad par 'di las mig la sogs pa dang  gzugs la sogs pa  rnams rnam par shes pa skyed pa'i rgyur khyad par med kyang rten nyid dang yul nyid du 'grub pa yin te / / "
"2793952","TD4055E.TXT.r_4;TD4055E.TXT.r_5"," sum cu pa'i tshig le'ur byas pa / / +'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / ","0.0#TD4093.1E.TXT.r#793948#793957#TD4093.1E.TXT.r_4548;TD4093.1E.TXT.r_4549# de'i phyir khyad par 'di las mig la sogs pa dang  gzugs la sogs pa  rnams rnam par shes pa skyed pa'i rgyur khyad par med kyang rten nyid dang yul nyid du 'grub pa yin te / / "
"2793962","TD4055E.TXT.r_6;TD4055E.TXT.r_7;TD4055E.TXT.r_8"," bdag dang chos dd  su nyer 'dogs pa // / +sna tshogs dag ni gang byung ba // / +de ni rnam par shes par gyur // / ","0.0#TD4093.1E.TXT.r#793958#793974#TD4093.1E.TXT.r_4548;TD4093.1E.TXT.r_4549;TD4093.1E.TXT.r_4550;TD4093.1E.TXT.r_4551;TD4093.1E.TXT.r_4552# de'i phyir khyad par 'di las mig la sogs pa dang  gzugs la sogs pa  rnams rnam par shes pa skyed pa'i rgyur khyad par med kyang rten nyid dang yul nyid du 'grub pa yin te / / +de'i phyir nang gi dang phyi'i nyid kyang yin pa'o // / "
"2793971","TD4055E.TXT.r_9;TD4055E.TXT.r_10"," gyur pa de yang rnam gsum ste // / +rnam par smin dang ngar sems dang / / "
"2793979","TD4055E.TXT.r_11;TD4055E.TXT.r_12;TD4055E.TXT.r_13"," yul la rnam par  rig pa'o // / +de la kun gzhi rnam shes ni // / +rnam smin sa bon thams cad pa // / ","0.0#TD4093.1E.TXT.r#793975#793984#TD4093.1E.TXT.r_4551;TD4093.1E.TXT.r_4552;TD4093.1E.TXT.r_4553# de lta na 'o na rnam par shes pa'i khams drug po dag  ces bya ba rgyas par 'byung ngo // / +de dag yid kyi khams nyid du ma gyur pa zhes bya ba na ni drug po 'das ma thag pa'i gnas skabs ma thob pa'o // / "
"2793989","TD4055E.TXT.r_14;TD4055E.TXT.r_15;TD4055E.TXT.r_16"," de ni len pa dag dang gnas // / +rnam par rig pa mi rig pa // / +rtag tu reg dang yid byed dang / / ","0.0#TD4093.1E.TXT.r#793985#793993#TD4093.1E.TXT.r_4552;TD4093.1E.TXT.r_4553;TD4093.1E.TXT.r_4554;TD4093.1E.TXT.r_4555# de dag yid kyi khams nyid du ma gyur pa zhes bya ba na ni drug po 'das ma thag pa'i gnas skabs ma thob pa'o // / +da ltar ba'am ma 'ongs pa ni sems kyi rten ma yin te / / "
"2793997","TD4055E.TXT.r_17;TD4055E.TXT.r_18;TD4055E.TXT.r_19"," rig  dang 'du shes sems par ldan // / +de la tshor ba btang snyoms te // / +de ni ma bsgribs lung ma bstan // / ","0.0#TD4093.1E.TXT.r#793992#794003#TD4093.1E.TXT.r_4553;TD4093.1E.TXT.r_4554;TD4093.1E.TXT.r_4555;TD4093.1E.TXT.r_4556;TD4093.1E.TXT.r_4557# da ltar ba'am ma 'ongs pa ni sems kyi rten ma yin te / / +drug po 'das ma thag pa yi // / +rnam shes gang yin de yid do // / ","0.024#TD4091E.TXT.r#696558#696559#TD4091E.TXT.r_274;TD4091E.TXT.r_275;TD4091E.TXT.r_276# gzhan ni gang yang med mod kyi 'on kyang de dag nyid / / +drug po 'das ma thag pa yi // / +rnam shes gang yin de yid do // / ","0.024#TD4095E.TXT.r#64545#64545#TD4095E.TXT.r_303;TD4095E.TXT.r_304;TD4095E.TXT.r_305# de dag nyid / / +drug po 'das ma thag pa yi // / +rnam shes gang yin de yid do // / ","0.027#TD4092.1E.TXT.r#1411443#1411444#TD4092.1E.TXT.r_1281;TD4092.1E.TXT.r_1282# drug po 'das ma thag pa yi // / +rnam shes gang yin de yid do // / "
"2794007","TD4055E.TXT.r_20;TD4055E.TXT.r_21;TD4055E.TXT.r_22"," reg la sogs pa'ang de bzhin no // / +de ni rgyun 'bab chu bo bzhin // / +dgra bcom  nyid na de ldog go // / ","0.0#TD4093.1E.TXT.r#794001#794012#TD4093.1E.TXT.r_4556;TD4093.1E.TXT.r_4557;TD4093.1E.TXT.r_4558;TD4093.1E.TXT.r_4559# zhes  de'i tshe yid kyi khams nyid du rnam par gzhag pa'i phyir ro // / "
"2794016","TD4055E.TXT.r_23;TD4055E.TXT.r_24"," de la gnas te rab 'byung zhing // / +de la dmigs pa yid ces bya // / ","0.0#TD4093.1E.TXT.r#794011#794021#TD4093.1E.TXT.r_4557;TD4093.1E.TXT.r_4558;TD4093.1E.TXT.r_4559;TD4093.1E.TXT.r_4560;TD4093.1E.TXT.r_4561# gang gis yang de'i tshe na yang zhes bya ba la / / +'das pa'am da ltar byung ba yin yang rung ste / / +mig gi rnam par shes pa'i khams la sogs pa de dag nyid de dag ste / / "
"2794025","TD4055E.TXT.r_25;TD4055E.TXT.r_26;TD4055E.TXT.r_27"," rnam shes ngar sems bdag nyid can // / +bsgribs la lung du ma bstan pa'i // / +nyon mongs     // / ","0.0#TD4093.1E.TXT.r#794020#794029#TD4093.1E.TXT.r_4560;TD4093.1E.TXT.r_4561;TD4093.1E.TXT.r_4562# yid kyi khams yin no // / +rnam par shes pa  'das pa la ni sngar ma byung ba'i yid kyi khams nyid du 'gyur ba'am / / "
"2794034","TD4055E.TXT.r_28;TD4055E.TXT.r_29;TD4055E.TXT.r_30"," bzhi dang rtag tu 'grogs // / +bdag tu lta dang bdag tu rmongs // / +bdag rgyal bdag chags 'du shes pa // / ","0.0#TD4093.1E.TXT.r#794030#794041#TD4093.1E.TXT.r_4562;TD4093.1E.TXT.r_4563# mig la sogs pa'i rnam par shes pa'i khams nyid sngar yod pa 'am ldog pa med de / / "
"2794046","TD4055E.TXT.r_31;TD4055E.TXT.r_32"," gang du skyes pa de'i'o gzhan // / +reg sogs kyang de dgra bcom med // / ","0.0#TD4093.1E.TXT.r#794042#794050#TD4093.1E.TXT.r_4563;TD4093.1E.TXT.r_4564;TD4093.1E.TXT.r_4565# rnam par shes pa nyid rnam par shes pa'i gzhan gyi rten gyi dngos pos yid kyi khams su 'jog pa'i phyir ro // / "
"2794055","TD4055E.TXT.r_33;TD4055E.TXT.r_34"," 'gog  pa'i snyoms par 'jug la med // / +'jig rten 'das pa'i lam na'ang med // / ","0.0#TD4093.1E.TXT.r#794051#794059#TD4093.1E.TXT.r_4564;TD4093.1E.TXT.r_4565;TD4093.1E.TXT.r_4566;TD4093.1E.TXT.r_4567# de'i phyir  yid kyi mtshan nyid las mi 'da'o // / +de lta ma yin na zhes bya ba 'byung ste / / "
"2794064","TD4055E.TXT.r_35;TD4055E.TXT.r_36;TD4055E.TXT.r_37"," 'di ni gyur pa gnyis pa'o // / +gsum pa yul rnam drug po la // / +dmigs pa gang yin de dag ste // / ","0.0#TD4093.1E.TXT.r#794060#794077#TD4093.1E.TXT.r_4566;TD4093.1E.TXT.r_4567;TD4093.1E.TXT.r_4568;TD4093.1E.TXT.r_4569# de lta ma yin na ci ltar 'gyur zhe na / / +gal te rnam par shes pa da ltar 'byung ba dang  ma 'ongs pa'i yid kyi khams su mi 'gyur na ni 'das pa yang yid kyi khams dang  mig la sogs par shes par mi  mi 'gyur ro // / "
"2794074","TD4055E.TXT.r_38;TD4055E.TXT.r_39"," dge dang mi dge gnyi ga min // / +kun tu 'gro dang bye brag des // / ","0.0#TD4090.1E.TXT.r#1601464#1601464#TD4090.1E.TXT.r_1207# de lta ma yin na yid kyi khams 'das pa kho na yin par 'gyur gyi ma 'ongs pa dang da ltar byung ba yin par ni mi 'gyur ba zhig na khams bco brgyad po dag ni dus gsum pa yin par yang 'dod do // / "
"2794082","TD4055E.TXT.r_40;TD4055E.TXT.r_41"," sems las byung ba dge ba dang / / +de bzhin nyon mongs nye nyon mongs // / ","0.0#TD4093.1E.TXT.r#794078#794085#TD4093.1E.TXT.r_4569;TD4093.1E.TXT.r_4570# yid kyi khams 'das pa kho na yin par 'gyur gyi zhes bya ba rgyas par 'byung ngo // / "
"2794090","TD4055E.TXT.r_42;TD4055E.TXT.r_43;TD4055E.TXT.r_44"," tshor ba gsum dang de mtshungs ldan // / +dang po'i reg la sogs pa dang / / +'dun mos dran dang bcas pa  dang ; / / ","0.0#TD4093.1E.TXT.r#794086#794097#TD4093.1E.TXT.r_4569;TD4093.1E.TXT.r_4570;TD4093.1E.TXT.r_4571;TD4093.1E.TXT.r_4572# yid kyi khams 'das pa kho na yin par 'gyur gyi zhes bya ba rgyas par 'byung ngo // / +gal te yid kyi khams 'das pa kho na yin par 'gyur na cir 'gyur zhe na / / "
"2794101","TD4055E.TXT.r_45;TD4055E.TXT.r_46"," ting nge 'dzin blo bye brag des // / +dad dang ngo tsha khrel yod dang / / ","0.0#TD4093.1E.TXT.r#794096#794105#TD4093.1E.TXT.r_4570;TD4093.1E.TXT.r_4571;TD4093.1E.TXT.r_4572;TD4093.1E.TXT.r_4573;TD4093.1E.TXT.r_4574# gal te yid kyi khams 'das pa kho na yin par 'gyur na cir 'gyur zhe na / / +de'i phyir / / +khams bco brgyad po dag ni zhes bya ba smos so // / "
"2794110","TD4055E.TXT.r_47;TD4055E.TXT.r_48"," ma chags la sogs gsum brtson 'grus // / +shin tu sbyangs dang bag yod bcas // / ","0.0#TD4093.1E.TXT.r#794106#794115#TD4093.1E.TXT.r_4573;TD4093.1E.TXT.r_4574;TD4093.1E.TXT.r_4575;TD4093.1E.TXT.r_4576# yang ci'i phyir de ltar 'dod ce na / / +de'i phyir gal te rnam par shes pa ma 'ongs pa dang zhes bya ba la sogs pa smos so // / "
"2794120","TD4055E.TXT.r_49;TD4055E.TXT.r_50"," rnam mi 'tshe dge nyon mongs ni // / +'dod chags  khong khro gti mug dang / / ","0.0#TD4093.1E.TXT.r#794116#794124#TD4093.1E.TXT.r_4575;TD4093.1E.TXT.r_4576;TD4093.1E.TXT.r_4577;TD4093.1E.TXT.r_4578;TD4093.1E.TXT.r_4579# de nyid la rgyu bshad pa ni / / +mtshan nyid ni dus rnams su 'khrul pa med do zhes bya ba ste / / "
"2794129","TD4055E.TXT.r_51;TD4055E.TXT.r_52;TD4055E.TXT.r_53"," nga rgyal lta ba the tshom mo // / +khro dang khon du 'dzin pa dang / / +'chab dang 'tshig dang phrag dog dang / / ","0.0#TD4093.1E.TXT.r#794125#794132#TD4093.1E.TXT.r_4577;TD4093.1E.TXT.r_4578;TD4093.1E.TXT.r_4579;TD4093.1E.TXT.r_4580# 'khrul pa rnams ni ma 'ongs pa gzhan dag yin zhing / / +da ltar byung ba gzhan dag yin la / / +'das pa  gzhan yin pa'o // / "
"2794137","TD4055E.TXT.r_54;TD4055E.TXT.r_55"," ser sna dang ni sgyur bcas dang / / +gyo rgyags rnam 'tshe ngo tsha med // / ","0.0#TD4093.1E.TXT.r#794133#794142#TD4093.1E.TXT.r_4580;TD4093.1E.TXT.r_4581;TD4093.1E.TXT.r_4582# de'i phyir rnam par shes pa ma 'ongs pa dang  da ltar byung ba'i mtshan nyid gang yin pa de nyid 'das pa'i yang yin te / / +rnam par shes pa ma 'ongs pa dang  da ltar byung ba yang yid kyi khams kyi mtshan nyid rnam par gnas pa'i phyir / / ","0.017#TD4090.1E.TXT.r#1601483#1601484#TD4090.1E.TXT.r_1208# gal te yang rnam par shes pa ma 'ongs pa  dang da ltar byung ba yid kyi khams kyi mtshan nyid ma yin par gyur na 'das pa'i dus na yang yid kyi khams su rnam par gzhag par mi 'gyur te / / "
"2794147","TD4055E.TXT.r_56;TD4055E.TXT.r_57;TD4055E.TXT.r_58"," khrel med    rmugs dang rgod pa dang / / +ma dad pa dang le lo dang / / +bag med pa dang brjed ngas dang / / ","0.0#TD4093.1E.TXT.r#794143#794151#TD4093.1E.TXT.r_4581;TD4093.1E.TXT.r_4582;TD4093.1E.TXT.r_4583# rnam par shes pa ma 'ongs pa dang  da ltar byung ba yang yid kyi khams kyi mtshan nyid rnam par gnas pa'i phyir / / +'das pa'i dus su  de'i mtshan nyid 'khrul pa med do // / "
"2794156","TD4055E.TXT.r_59;TD4055E.TXT.r_60;TD4055E.TXT.r_61"," rnam gyeng shes bzhin ma yin dang / / +'gyod dang gnyid kyang de bzhin te // / +rtog pa dang ni dpyod pa dang / / ","0.0#TD4093.1E.TXT.r#794152#794159#TD4093.1E.TXT.r_4583;TD4093.1E.TXT.r_4584;TD4093.1E.TXT.r_4585# de'i phyir rnam par shes pa rnams la rnam par shes pa'i rten gyi rang bzhin nyid ni thams cad kyi tshe yod pa ma yin la / / "
"2794164","TD4055E.TXT.r_62;TD4055E.TXT.r_63"," nye ba'i nyon mongs gnyis rnam gnyis // / +lnga rnams rtsa ba'i rnam shes las // / ","0.0#TD4093.1E.TXT.r#794160#794170#TD4093.1E.TXT.r_4584;TD4093.1E.TXT.r_4585;TD4093.1E.TXT.r_4586;TD4093.1E.TXT.r_4587# drug po 'das ma thag pa yi // / +rnam shes gang yin de yid do // / "
"2794175","TD4055E.TXT.r_64;TD4055E.TXT.r_65"," ji  lta'i rkyen las 'byung ba ni // / +rnam shes lhan cig gam ma yin // / ","0.0#TD4093.1E.TXT.r#794171#794178#TD4093.1E.TXT.r_4587;TD4093.1E.TXT.r_4588# de'i phyir 'das pa dang  ma 'ongs pa dang  da ltar byung ba'i rnam par shes pa'i khams drug car yang nang gi yin no zhes bya bar grub bo // / "
"2794183","TD4055E.TXT.r_66;TD4055E.TXT.r_67;TD4055E.TXT.r_68"," chu la rlabs rnams ji bzhin no // / +yid kyi rnam shes 'byung ba ni // / +rtag tu'o 'du shes med pa dang / / ","0.0#TD4093.1E.TXT.r#794179#794187#TD4093.1E.TXT.r_4588;TD4093.1E.TXT.r_4589;TD4093.1E.TXT.r_4590# chos zhes bya ba ni brten pa dang bcas zhes bya ba la / / +brten pa dang bcas pa kho na'o zhes bya bar nges par gzung ste / / "
"2794192","TD4055E.TXT.r_69;TD4055E.TXT.r_70"," snyoms par 'jug pa rnam gnyis dang / / +sems med gnyid dang brgyal ma gtogs // / ","0.0#TD4093.1E.TXT.r#794187#794195#TD4093.1E.TXT.r_4589;TD4093.1E.TXT.r_4590;TD4093.1E.TXT.r_4591;TD4093.1E.TXT.r_4592# brten pa dang bcas pa kho na'o zhes bya bar nges par gzung ste / / +lhag ma ni de dang  mtshungs pa dag kyang yin zhes 'byung ba'i phyir ro // / "
"2794200","TD4055E.TXT.r_71;TD4055E.TXT.r_72"," rnam par shes  par gyur pa 'di // / +rnam rtog yin te de yis gang // / ","0.0#TD4090.1E.TXT.r#1601512#1601516#TD4090.1E.TXT.r_1215# gang zhig RNAM PAR SHES PA GANG gi yul du nges la gal te de la rnam par shes pa de skyes pa 'am skyes pa'i chos can gyi yul de ni brten pa dang bcas pa zhes bya la / / ","0.0#TD4093.1E.TXT.r#794196#794211#TD4093.1E.TXT.r_4591;TD4093.1E.TXT.r_4592;TD4093.1E.TXT.r_4593# 'di ni brten pa dang bcas pa'i yul gyi mtshan nyid do // / +yul gang zhig RNAM PAR SHES PA GANG gi dmigs par nges la / / ","0.027#TD4091E.TXT.r#698908#698908#TD4091E.TXT.r_744;TD4091E.TXT.r_745# RNAM PAR SHES PA GANG gi yul du gang nges la / / +gal te der rnam par shes pa de skyes pa'am skye ba'i chos kyi yul de ni brten pa dang bcas pa zhes bya la / / "
"2794208","TD4055E.TXT.r_73;TD4055E.TXT.r_74"," rnam brtags de med des na 'di // / +thams cad rnam par rig pa tsam // / "
"2794216","TD4055E.TXT.r_75;TD4055E.TXT.r_76;TD4055E.TXT.r_77"," rnam shes sa bon thams cad pa // / +phan tshun dag gi dbang gis na // / +de lta de ltar 'gyur bar 'gro // / ","0.0#TD4093.1E.TXT.r#794212#794221#TD4093.1E.TXT.r_4593;TD4093.1E.TXT.r_4594;TD4093.1E.TXT.r_4595;TD4093.1E.TXT.r_4596# gal te yul de la rnam par shes pa skyes pa 'am zhes bya brgyas par sbyar bar bya'o // / +skye ba'i chos can zhes  bya ba ni mi skye ba'i chos can las khyad par du byed pa'o // / "
"2794225","TD4055E.TXT.r_78;TD4055E.TXT.r_79"," des na rnam rtog de de skye // / +las kyi bag  chags 'dzin gnyis kyi // / ","0.0#TD4093.1E.TXT.r#794220#794229#TD4093.1E.TXT.r_4594;TD4093.1E.TXT.r_4595;TD4093.1E.TXT.r_4596# skye ba'i chos can zhes  bya ba ni mi skye ba'i chos can las khyad par du byed pa'o // / +de ltar na de ni gzung ba 'dzin par 'gyur ba yin la / / "
"2794234","TD4055E.TXT.r_80;TD4055E.TXT.r_81;TD4055E.TXT.r_82"," bag chags bcas pas snga ma yis // / +rnam par smin pa zad nas gzhan // / +rnam smin skyed pa de yin no // / ","0.0#TD4093.1E.TXT.r#794230#794247#TD4093.1E.TXT.r_4596;TD4093.1E.TXT.r_4597;TD4093.1E.TXT.r_4598;TD4093.1E.TXT.r_4599;TD4093.1E.TXT.r_4600# chos kyi khams kyang gzung ba 'dzin par 'gyur ba de lta bu'i mtshan nyid can yin pas brten pa dang bcas pa zhes bya'o // / "
"2794244","TD4055E.TXT.r_83;TD4055E.TXT.r_84"," rnam par rtog pa gang gang gis // / +dngos po gang gang rnam brtags pa // / ","0.0#TD4090.1E.TXT.r#1601529#1601531#TD4090.1E.TXT.r_1215;TD4090.1E.TXT.r_1216# gang zhig RNAM PAR SHES PA GANG gi yul du nges la gal te de la rnam par shes pa de skyes pa 'am skyes pa'i chos can gyi yul de ni brten pa dang bcas pa zhes bya la / / +gang la yid kyi rnam par shes pa mtha' yas pa ma skyes pa'am skye bar mi 'gyur ba'i chos kyi khams  gang yin pa de ni 'ga' yang med de / / ","0.0#TD4095E.TXT.r#66726#66729#TD4095E.TXT.r_710;TD4095E.TXT.r_711;TD4095E.TXT.r_712# rten dang brten par dmigs pa gang rang gi las  byed pa de ni rten pa dang bcas pa'o // / +gang la yid kyi rnam par shes pa mtha' yas pa ma skyes pa'am / / "
"2794252","TD4055E.TXT.r_85;TD4055E.TXT.r_86;TD4055E.TXT.r_87"," de nyid kun tu brtags pa yi // / +ngo bo nyid med de med do // / +gzhan gyi dbang gi ngo bo nyid // / ","0.0#TD4093.1E.TXT.r#794248#794257#TD4093.1E.TXT.r_4599;TD4093.1E.TXT.r_4600;TD4093.1E.TXT.r_4601# gang la yid kyi rnam par shes pa mtha' yas pa ma skyes pa'am / / +skye bar mi 'gyur ba'i chos kyi khams dus gsum pa dang  dus med pa gang yin pa de ni 'ga' yang med do // / "
"2794261","TD4055E.TXT.r_88;TD4055E.TXT.r_89"," rnam rtog yin te rkyen las byung // / +grub ni de la snga ma po // / ","0.0#TD4093.1E.TXT.r#794256#794265#TD4093.1E.TXT.r_4600;TD4093.1E.TXT.r_4601;TD4093.1E.TXT.r_4602;TD4093.1E.TXT.r_4603;TD4093.1E.TXT.r_4604;TD4093.1E.TXT.r_4605# skye bar mi 'gyur ba'i chos kyi khams dus gsum pa dang  dus med pa gang yin pa de ni 'ga' yang med do // / +mtha' yas pa zhes bya ba ni yongs su bgrang     // / "
"2794269","TD4055E.TXT.r_90;TD4055E.TXT.r_91;TD4055E.TXT.r_92"," rtag tu med par gyur pa gang // / +de phyir de nyid gzhan dbang las // / +gzhan min gzhan ma yin pa'ang min // / ","0.0#TD4093.1E.TXT.r#794264#794276#TD4093.1E.TXT.r_4602;TD4093.1E.TXT.r_4603;TD4093.1E.TXT.r_4604;TD4093.1E.TXT.r_4605;TD4093.1E.TXT.r_4606;TD4093.1E.TXT.r_4607# du med pa'o // / +ci ltar zhe na / / +'di ltar zhes bya ba smos te / / ","0.018#TD4090.1E.TXT.r#1601542#1601542#TD4090.1E.TXT.r_1217# 'di ltar 'phags pa'i gang zag thams cad ni gdon mi za bar chos thams cad la bdag med do snyam pa'i sems 'di skye'o // / "
"2794281","TD4055E.TXT.r_93;TD4055E.TXT.r_94;TD4055E.TXT.r_95"," mi rtag pa sogs bzhin du brjod // / +de ma mthong bar de mi mthong // / +ngo bo nyid ni rnam gsum gyis // / ","0.0#TD4093.1E.TXT.r#794277#794286#TD4093.1E.TXT.r_4607;TD4093.1E.TXT.r_4608;TD4093.1E.TXT.r_4609# 'phags pa'i gang zag thams cad la ni gdon mi za bar chos thams cad bdag med do snyam pa'i shes pa 'di skye ste / / "
"2794291","TD4055E.TXT.r_96;TD4055E.TXT.r_97"," ngo bo nyid med rnam gsum la // / +dgongs nas chos rnams thams cad kyi // / ","0.0#TD4093.1E.TXT.r#794287#794294#TD4093.1E.TXT.r_4608;TD4093.1E.TXT.r_4609;TD4093.1E.TXT.r_4610# de'i phyir  chos kyi khams ni rtag tu brten pa dang bcas pa yin no // / +de'i dmigs pa yang rang gi ngo bo dang lhan cig tu byung ba ma gtogs pa zhes bya ba la / / "
"2794299","TD4055E.TXT.r_98;TD4055E.TXT.r_99;TD4055E.TXT.r_100"," ngo bo nyid med bstan pa yin // / +dang po pa ni mtshan nyid kyi // / +ngo bo nyid med gzhan pa yang // / ","0.0#TD4093.1E.TXT.r#794295#794303#TD4093.1E.TXT.r_4609;TD4093.1E.TXT.r_4610# de'i dmigs pa yang rang gi ngo bo dang lhan cig tu byung ba ma gtogs pa zhes bya ba la / / +chos thams cad bdag med do snyam pa'i shes pa de'i dmigs pa yang rang gi bdag nyid la byed par 'gal bas de nyid kyis de mi  'dzin pa'i phyir rang gi ngo bo ste / / "
