
"0","",""
"106916","TD4099E.TXT.r_1;TD4099E.TXT.r_2;TD4099E.TXT.r_3;TD4099E.TXT.r_4"," rgya gar skad du / / +au d'an brga / / +bod skad du / / +ched du brjod pa'i tshoms / / "
"106926","TD4099E.TXT.r_5;TD4099E.TXT.r_6;TD4099E.TXT.r_7"," bam po dang po / / +thams cad mkhyen pa la phyag 'tshal lo // / +bkra shis par gyur dd  cig / / "
"106935","TD4099E.TXT.r_8;TD4099E.TXT.r_9;TD4099E.TXT.r_10"," rgyal bas ched du brjod gsungs pa // / +bdag gis rab tu bshad par bya // / +gnyid dang rmugs pa rnams sol la // / "
"106945","TD4099E.TXT.r_11;TD4099E.TXT.r_12;TD4099E.TXT.r_13"," yid la dga' ba bskyed de nyon // / +thams cad mkhyen pa skyob  pa po // / +thub pa chen po thugs brtse ba // / "
"106955","TD4099E.TXT.r_14;TD4099E.TXT.r_15"," sku yi tha ma 'dzin pa'i tshe // / +bcom ldan 'das kyis 'di skad gsungs // / "
"106963","TD4099E.TXT.r_16;TD4099E.TXT.r_17"," kye ma 'dus byas rnams mi rtag / / +skye zhing 'jig pa'i chos  can yin // / "
"106972","TD4099E.TXT.r_18;TD4099E.TXT.r_19;TD4099E.TXT.r_20"," skyes nas 'jig par 'gyur ba ste // / +de dag nye bar zhi ba bde // / +de ltar rab tu 'bar ba la // / "
"106980","TD4099E.TXT.r_21;TD4099E.TXT.r_22"," ci zhig dgar yod mgur ci yod // / +mun pa'i nang zhugs gnas pa dag / / "
"106989","TD4099E.TXT.r_23;TD4099E.TXT.r_24;TD4099E.TXT.r_25"," ci phyir sgron ma tshol mi byed // / +rus pa thi ba'i mdog 'dra ba // / +bor ba gang yin 'di dag ni // / "
"106999","TD4099E.TXT.r_26;TD4099E.TXT.r_27"," phyogs dang phyogs su rnam 'thor ba // / +de mthong 'di la ci zhig dga' // / "
"107007","TD4099E.TXT.r_28;TD4099E.TXT.r_29;TD4099E.TXT.r_30;TD4099E.TXT.r_31"," gang gi nub mo     // / +kho na nas // / +mngal du dang por zhugs pa'i mi // / +de ni sdod med 'gror 'gyur zhing // / "
"107019","TD4099E.TXT.r_32;TD4099E.TXT.r_33"," song ba las kyang ldog pa med // / +snga dro skye bo mang mthong ba // / "
"107027","TD4099E.TXT.r_34;TD4099E.TXT.r_35"," phyi dro kha cig mthong mi 'gyur // / +phyi dro skye bo mang  mthong ba // / "
"107037","TD4099E.TXT.r_36;TD4099E.TXT.r_37;TD4099E.TXT.r_38"," snga dro kha cig mthong mi 'gyur // / +skyes pa bud med mang po dang / / +dar la bab pa'ang 'chi 'gyur na // / "
"107048","TD4099E.TXT.r_39;TD4099E.TXT.r_40"," de la mi 'di gzhon zhes te // / +gson pa'i gdeng drod ci zhig yod // / "
"107056","TD4099E.TXT.r_41;TD4099E.TXT.r_42"," kha cig mngal du 'chi bar  'gyur // / +de bzhin kha cig btsas pa'i sar // / "
"107064","TD4099E.TXT.r_43;TD4099E.TXT.r_44"," de bzhin kha cig gog tsam la // / +de bzhin kha cig yongs rgyug na // / "
"107072","TD4099E.TXT.r_45;TD4099E.TXT.r_46;TD4099E.TXT.r_47"," la la rgan dang la la gzhon // / +la la dar la bab pa'i mi // / +rim gyis rab tu 'gro 'gyur te // / "
