
"0","",""
"1966576","TD4015E.TXT.r_23;TD4015E.TXT.r_24"," mi yi seng ge zhes  pa la ; / +gang gi phyir seng ge zhes bya bas thams cad skrag cing rang ni gang la yang 'jigs pa med pa'o // / ","0.0#TD4034.1E.TXT.r#966571#966580#TD4034.1E.TXT.r_9826;TD4034.1E.TXT.r_9827;TD4034.1E.TXT.r_9828# gzhan yang snyoms pa yid la byed pa dang chen po'i bdag nyid dmigs pa yid la byed pa dang  lan 'dod pa'i yid la byed  pa dang  re ba yid la byed pa dang  rgyun du yid la byed pa ste / / ","0.0#TD4034.1E.TXT.r#967026#967029#TD4034.1E.TXT.r_9877;TD4034.1E.TXT.r_9878# gzhan yang ma 'ongs pa'i dus na mthong bas  'jug pa yid la byed pa dang  mnyam par rtog pa yid la byed pa dang  mchog tu 'dzin pa yid la byed pa ste / / +yid la byed pa de dag gis kyang khams rgyas par 'gyur ro zhes bya ba'i don to // / ","0.019#TD4034.1E.TXT.r#965009#965012#TD4034.1E.TXT.r_9647;TD4034.1E.TXT.r_9648# gzhan yang ngo tsha ba yid la byed pa dang  dga' ba yid la byed pa dang  mi skyo ba yid la byed pa dang  'god pa yid  la byed pa dang  brjod pa yid la byed pa ste / / +yid la byed pa de dag gis kyang pha rol tu phyin pa'i khams rgyas par 'gyur ro zhes bya ba'i don to // / "
"1966585","TD4015E.TXT.r_25"," sangs rgyas bcom ldan 'das kyang lha dang bcas pa'i 'jig rten la de dang 'dra ba yin bas de'i phyir seng ge dang 'dra bas na seng ge ste / / ","0.0#TD4034.1E.TXT.r#966581#966591#TD4034.1E.TXT.r_9827;TD4034.1E.TXT.r_9828# yid la byed pa de dag gis kyang khams rgyas par 'gyur ro zhes bya ba'i don to // / +sems can la la ni pha rol tu phyin pa la 'jog la la mi 'jog pa ma yin gyi sems can thams cad pha rol tu phyin pa la 'jog pa ni snyoms pa yid  la byed pa zhes bya'o // / "
"1966596","TD4015E.TXT.r_26;TD4015E.TXT.r_28;TD4015E.TXT.r_29"," mi'i skye ba yang dag par bstan pa'o // / +seng ge  yang de yin pas na mi'i seng ge ste / / +sangs rgyas bcom ldan 'das so // / ","0.0#TD4034.1E.TXT.r#966592#966600#TD4034.1E.TXT.r_9828;TD4034.1E.TXT.r_9829# sems can la la ni pha rol tu phyin pa la 'jog la la mi 'jog pa ma yin gyi sems can thams cad pha rol tu phyin pa la 'jog pa ni snyoms pa yid  la byed pa zhes bya'o // / "
"1966605","TD4015E.TXT.r_30;TD4015E.TXT.r_31"," de la bdag gis phyag 'tshal ba ni btud pa'o // / +thams cad ces pa ni smra ba'i bsam pa'i dbang gi phyogs gcig la yang thams cad kyi sgra mthong bas ma lus par yongs su gzung ba'i don du ma lus zhes gsungs  so ; / / ","0.0#TD4034.1E.TXT.r#966601#966618#TD4034.1E.TXT.r_9829;TD4034.1E.TXT.r_9830# pha rol tu phyin pa drug la spyad na bde ba dang pan pa 'ba' zhig du 'gyur gyi gnod pa'i dngos po ni cung zad mi 'gyur ro zhes bya ba mthong ba ni bdag nyid chen po dmigs pa yid la byed pa zhes bya'o // / "
"1966622","TD4015E.TXT.r_32;TD4015E.TXT.r_33"," lus dang ngag dang yid dang bas zhes pa ni mchog tu dad pa skyes pas so // / +rab tu dang ba'i sems kyis bslang ba'i phyir lus dang ngag rab tu dang ba'o // / ","0.0#TD4034.1E.TXT.r#966617#966633#TD4034.1E.TXT.r_9830;TD4034.1E.TXT.r_9831# sems can pha rol tu phyin pa spyod du bcug pa las pha rol tu phyin pa drug gi  yon tan dang ldan pa mthong na sems can 'di dag gis ni bdag la phan btags so snyam du sems pa ni lan 'dod pa yid la byed pa'o zhes bya'o // / "
"1966638","TD4015E.TXT.r_34;TD4015E.TXT.r_35"," da ni so sor rnam par phye nas lus la sogs pa'i phyag 'tshal ba gsungs pa la / / +dang por re zhig lus kyis phyag 'tshal ba ni / / ","0.0#TD4034.1E.TXT.r#966634#966644#TD4034.1E.TXT.r_9830;TD4034.1E.TXT.r_9831;TD4034.1E.TXT.r_9832# sems can pha rol tu phyin pa spyod du bcug pa las pha rol tu phyin pa drug gi  yon tan dang ldan pa mthong na sems can 'di dag gis ni bdag la phan btags so snyam du sems pa ni lan 'dod pa yid la byed pa'o zhes bya'o // / +pha rol tu phyin pa drug la spyod pa'i sems can rnams gnas gsum thob par shog shig ces re ba ni yid la byed pa zhes bya ste / / "
"1966649","TD4015E.TXT.r_36;TD4015E.TXT.r_37"," bzang por spyod pa'i smon  lam stobs kyis ni // / +zhes bya ba la sogs pa la bzang po ni dge ba'o // / ","0.0#TD4034.1E.TXT.r#966645#966654#TD4034.1E.TXT.r_9831;TD4034.1E.TXT.r_9832# pha rol tu phyin pa drug la spyod pa'i sems can rnams gnas gsum thob par shog shig ces re ba ni yid la byed pa zhes bya ste / / +gnas gsum  ni byang chub sems dpa'i sa'i mthar thug par re ba dang  sangs rgyas kyi sa'i mthar thug par re ba dang  sems can gyi don re ba'o // / "
"1966658","TD4015E.TXT.r_38;TD4015E.TXT.r_39;TD4015E.TXT.r_40"," bzang po yang de / / +spyod pa yang de ste byang chub sems dpa'i spyod pa zhes bya ba'i don to // / +de'i don du smon lam ni smon pa dang don du gnyer ba'o // / ","0.0#TD4034.1E.TXT.r#966652#966663#TD4034.1E.TXT.r_9832;TD4034.1E.TXT.r_9833# gnas gsum  NI BYANG CHUB SEMS DPA'I SA'I mthar thug par re ba dang  sangs rgyas kyi sa'i mthar thug par re ba dang  sems can gyi don re ba'o // / "
"1966668","TD4015E.TXT.r_41"," de'i stobs ni bdud la sogs pas zil gyis mi non cing mi mthun pa'i phyogs las rgyal ba  ste ; / ","0.0#TD4034.1E.TXT.r#966664#966673#TD4034.1E.TXT.r_9833;TD4034.1E.TXT.r_9834# de la byang chub sems dpa'i sa'i mthar thug par re ba ni sbyin pas sa dang mthar thug par re ba nas ye shes kyi sa bcu'i mthar thug par re ba'o // / "
"1966678","TD4015E.TXT.r_42;TD4015E.TXT.r_43"," de'i phyir de'i stobs zhes pa'o // / +'di lta bur gyur pa'i rnam pa las gzhan pas ni bya ba 'grub par mi 'gyur ro // / ","0.0#TD4034.1E.TXT.r#966674#966684#TD4034.1E.TXT.r_9834;TD4034.1E.TXT.r_9835# sangs rgyas  kyi sa'i mthar thug par reb ni sa bcu 'das nas sangs rgyas kyi sa thob par shog shig ces re ba'o // / "
"1966689","TD4015E.TXT.r_44;TD4015E.TXT.r_45"," sangs rgyas gcig la sems kyis dmigs pa'i phyir / / +ji ltar sangs rgyas kyi zhing la rdul dang mnyam pa'i lus kho na yid kyis bstod pas gzhan phyag tu ji ltar 'gyur zhe na / / ","0.0#TD4034.1E.TXT.r#966685#966702#TD4034.1E.TXT.r_9835;TD4034.1E.TXT.r_9836# sems can don re ba ni sangs rgyas nas sems can thams cad la phan pa dang bde ba byed par shog shig ces zer ba'o // / "
"1966707","TD4015E.TXT.r_46;TD4015E.TXT.r_47;TD4015E.TXT.r_49"," gsungs pa / / +rgyal ba thams cad yid kyis mngon sum du // / +de bzhin gshegs pa thams cad re re yang sems kyis mngon sum du zhes pa'i don to // / ","0.0#TD4034.1E.TXT.r#966703#966713#TD4034.1E.TXT.r_9836;TD4034.1E.TXT.r_9837;TD4034.1E.TXT.r_9838;TD4034.1E.TXT.r_9839# bar 'ga' pha rol tu phyin pa la spyod par 'ga' mi spyod pa lta bu ma yin  gyi chu'i rgyun bzhin du rgyun mi 'chad par spyod pa ni rgyun du yid la byed pa zhes bya'o // / "
"1966718","TD4015E.TXT.r_50"," zhing gi rdul snyed ces bya ba la sogs pa la sangs rgyas kyi zhing gi rdul dang mnyam pa'i lus kyis phyag 'tshal ba'o // / ","0.0#TD4034.1E.TXT.r#966714#966724#TD4034.1E.TXT.r_9837;TD4034.1E.TXT.r_9838;TD4034.1E.TXT.r_9839;TD4034.1E.TXT.r_9840;TD4034.1E.TXT.r_9841;TD4034.1E.TXT.r_9842# sangs rgyas bstan pa sgrub tshun chad // / +mi gnas pa yi sems pa ste // / +de 'grib 'phel ba'i sems can la // / "
"1966728","TD4015E.TXT.r_51;TD4015E.TXT.r_52"," snyed ces pa'i sgras ni mtshungs pa'i  rnam grangs te / / +bye brag med par phyogs bcu dus gsum na bzhugs pa ma lus pa'i sangs rgyas kyi zhing gi rdul dang mnyam pa'i de'i grangs kyi lus kyis phyag 'tshal ba'o // / ","0.0#TD4034.1E.TXT.r#966723#966732#TD4034.1E.TXT.r_9841;TD4034.1E.TXT.r_9842;TD4034.1E.TXT.r_9843# zhes bya ba la / / +gzhan yang dag par sbyor ba yid la    byed pa dang  mi dga' ba yid la byed pa dang  dga' ba yid la byed pa ste / / ","0.0#TD4034.1E.TXT.r#966732#966740#TD4034.1E.TXT.r_9842;TD4034.1E.TXT.r_9843;TD4034.1E.TXT.r_9844# gzhan yang dag par sbyor ba yid la    byed pa dang  mi dga' ba yid la byed pa dang  dga' ba yid la byed pa ste / / +des kyang khams rgyas par 'gyur ro zhes bya ba'i don to // / ","0.012#TD4034.1E.TXT.r#967029#967029#TD4034.1E.TXT.r_9878# yid la byed pa de dag gis kyang khams rgyas par 'gyur ro zhes bya ba'i don to // / ","0.028#TD4034.1E.TXT.r#965011#965011#TD4034.1E.TXT.r_9648# yid la byed pa de dag gis kyang pha rol tu phyin pa'i khams rgyas par 'gyur ro zhes bya ba'i don to // / "
"1966744","TD4015E.TXT.r_53;TD4015E.TXT.r_55"," rgyal ba kun la rab tu phyag 'tshal lo // / +rgyal ba ni nyon mongs pa'i sgra 'am / / ","0.0#TD4034.1E.TXT.r#966739#966749#TD4034.1E.TXT.r_9844;TD4034.1E.TXT.r_9845;TD4034.1E.TXT.r_9846# de la yang dag pa'i sbyor ba yid la byed pa ni dang po byang chub tu sems bskyed nas / / "
"1966753","TD4015E.TXT.r_56;TD4015E.TXT.r_57"," bdud las rgyal  ba ste sangs rgyas bcom ldan 'das la de skad du brjod do // / +ji skad gsungs pa / / ","0.0#TD4034.1E.TXT.r#966748#966758#TD4034.1E.TXT.r_9845;TD4034.1E.TXT.r_9846;TD4034.1E.TXT.r_9847# mnyan pa dang sems par byed pa las brtsams te / / +mthar sangs rgyas  pa ma thob kyi bar du bar ma dor brtson 'grus mi 'dor ba ni yang dag par sbyor ba yid la byed pa zhes bya'o // / "
